Variable:,tas
,"Korea, Democratic People's Republic of",Chagang-do,Kaesong-si,Kangwon-do,Hamgyong-bukto,Hwanghae-bukto,P'yongan-bukto,P'yongyang-si,Hamgyong-namdo,Hwanghae-namdo,P'yongan-namdo,Yanggang-do
1938,5.27,3.52,9.64,8.15,3.73,8.57,7.00,8.77,4.10,9.83,6.66,-0.10
1939,5.80,4.04,10.22,8.69,4.18,9.12,7.57,9.30,4.63,10.38,7.22,0.38
1940,5.18,3.43,9.60,8.07,3.59,8.49,6.95,8.67,4.02,9.75,6.60,-0.24
1941,5.07,3.27,9.68,8.10,3.21,8.54,6.96,8.71,3.86,9.84,6.58,-0.47
1942,5.24,3.46,9.78,8.20,3.52,8.63,7.05,8.80,4.06,9.88,6.69,-0.20
1943,5.58,3.86,9.97,8.41,4.06,8.84,7.33,9.01,4.44,10.12,6.92,0.24
1944,5.17,3.41,9.68,8.09,3.47,8.55,6.98,8.72,3.99,9.84,6.59,-0.27
1945,4.53,2.72,9.12,7.52,2.71,7.99,6.40,8.16,3.31,9.30,6.01,-0.99
1946,5.58,3.83,10.02,8.48,3.95,8.90,7.34,9.07,4.43,10.13,6.95,0.20
1947,3.94,2.16,8.49,6.89,2.31,7.29,5.65,7.41,2.78,8.57,5.30,-1.45
1948,5.84,4.10,10.27,8.70,4.27,9.15,7.57,9.34,4.68,10.45,7.21,0.47
1949,5.54,3.83,9.85,8.32,4.01,8.77,7.29,9.01,4.36,10.09,6.92,0.24
1950,5.65,3.87,10.22,8.64,3.88,9.10,7.43,9.28,4.46,10.40,7.12,0.16
1951,5.62,3.83,10.21,8.63,3.94,9.01,7.30,9.15,4.47,10.19,7.05,0.21
1952,5.15,3.36,9.65,8.11,3.42,8.54,6.91,8.72,3.98,9.80,6.62,-0.32
1953,5.20,3.33,9.83,8.30,3.49,8.66,6.90,8.77,4.04,9.89,6.65,-0.28
1954,4.98,3.04,9.84,8.32,3.22,8.61,6.65,8.55,3.76,9.83,6.38,-0.61
1955,5.51,3.67,10.00,8.49,3.93,8.88,7.24,9.01,4.30,10.19,6.89,0.08
1956,4.17,2.35,8.69,7.17,2.57,7.57,5.91,7.69,2.98,8.88,5.55,-1.28
1957,4.43,2.52,9.02,7.49,2.97,7.83,6.04,7.86,3.25,9.10,5.75,-0.98
1958,5.40,3.56,9.91,8.39,3.77,8.77,7.11,8.87,4.26,10.04,6.78,-0.03
1959,6.01,4.20,10.51,8.99,4.48,9.35,7.73,9.45,4.81,10.60,7.34,0.63
1960,5.54,3.61,10.37,8.87,3.64,9.15,7.24,9.16,4.37,10.36,7.03,-0.08
1961,6.09,4.25,10.60,9.08,4.50,9.44,7.83,9.56,4.94,10.70,7.49,0.69
1962,5.29,3.47,9.86,8.34,3.61,8.71,7.08,8.84,4.10,9.96,6.72,-0.20
1963,5.08,3.43,9.35,7.78,3.53,8.26,6.94,8.53,3.90,9.60,6.47,-0.24
1964,5.30,3.32,10.28,8.71,3.33,9.04,7.01,9.00,4.09,10.24,6.79,-0.37
1965,4.93,3.07,9.56,8.03,3.00,8.46,6.83,8.66,3.75,9.77,6.49,-0.68
1966,5.13,3.28,9.81,8.21,3.38,8.61,6.91,8.70,3.94,9.92,6.58,-0.40
1967,5.31,3.49,9.80,8.24,3.83,8.63,7.02,8.72,4.14,9.90,6.66,-0.05
1968,5.31,3.49,9.76,8.19,3.79,8.63,7.06,8.80,4.14,9.92,6.71,-0.07
1969,4.29,2.36,9.11,7.55,2.40,7.91,6.01,7.94,3.12,9.15,5.80,-1.35
1970,4.96,3.17,9.41,7.83,3.43,8.28,6.69,8.44,3.80,9.56,6.33,-0.39
1971,5.13,3.35,9.56,8.04,3.56,8.47,6.92,8.64,3.90,9.76,6.50,-0.28
1972,5.24,3.41,9.82,8.29,3.50,8.70,7.00,8.81,4.06,9.95,6.68,-0.27
1973,5.74,3.99,10.17,8.63,4.11,9.08,7.54,9.25,4.54,10.35,7.13,0.33
1974,4.77,3.05,9.14,7.58,3.13,8.08,6.64,8.34,3.55,9.40,6.20,-0.65
1975,6.05,4.38,10.31,8.76,4.55,9.26,7.89,9.53,4.80,10.59,7.40,0.74
1976,4.93,3.10,9.46,7.94,3.25,8.34,6.69,8.50,3.75,9.60,6.37,-0.54
1977,5.40,3.60,10.07,8.48,3.47,8.95,7.27,9.10,4.18,10.25,6.93,-0.20
1978,5.84,3.96,10.61,9.03,3.99,9.45,7.61,9.52,4.61,10.70,7.33,0.23
1979,5.94,4.14,10.56,8.95,4.17,9.40,7.75,9.55,4.72,10.68,7.38,0.45
1980,4.78,3.05,9.16,7.51,3.21,8.09,6.62,8.35,3.54,9.42,6.20,-0.58
1981,5.05,3.38,9.25,7.60,3.55,8.24,6.94,8.61,3.81,9.67,6.48,-0.26
1982,6.15,4.51,10.37,8.77,4.67,9.33,8.02,9.66,4.89,10.72,7.52,0.87
1983,5.86,4.19,10.18,8.58,4.07,9.17,7.86,9.55,4.61,10.61,7.38,0.41
1984,5.12,3.42,9.58,7.91,3.34,8.51,7.02,8.80,3.87,9.89,6.61,-0.35
1985,5.29,3.49,9.91,8.29,3.64,8.73,6.97,8.82,4.09,9.95,6.69,-0.14
1986,4.99,3.32,9.33,7.68,3.35,8.28,6.89,8.61,3.73,9.68,6.45,-0.39
1987,5.51,3.71,10.18,8.58,3.62,9.03,7.35,9.18,4.27,10.30,7.02,-0.05
1988,5.76,4.11,10.04,8.40,4.13,9.00,7.67,9.36,4.52,10.38,7.21,0.41
1989,6.39,4.67,10.73,9.10,4.80,9.68,8.25,9.99,5.20,10.95,7.83,1.03
1990,6.32,4.49,10.97,9.36,4.70,9.76,8.03,9.83,5.10,11.08,7.68,0.88
1991,5.71,3.95,10.27,8.59,4.06,9.12,7.51,9.26,4.47,10.47,7.09,0.32
1992,5.92,4.14,10.47,8.86,4.27,9.32,7.68,9.44,4.69,10.63,7.29,0.51
1993,5.49,3.84,9.82,8.19,3.89,8.76,7.34,9.02,4.26,10.15,6.87,0.17
1994,6.59,4.80,11.21,9.60,4.80,10.05,8.40,10.19,5.37,11.35,8.05,1.09
1995,6.04,4.38,10.32,8.76,4.53,9.22,7.85,9.43,4.85,10.53,7.39,0.74
1996,5.60,3.87,10.04,8.45,4.01,8.89,7.39,9.05,4.38,10.19,6.98,0.24
1997,6.30,4.56,10.78,9.18,4.61,9.65,8.17,9.81,5.07,10.97,7.73,0.88
1998,6.89,5.15,11.33,9.80,5.23,10.22,8.71,10.38,5.67,11.53,8.28,1.53
1999,6.39,4.67,10.83,9.24,4.66,9.75,8.25,9.94,5.16,11.08,7.83,0.96
2000,5.88,4.07,10.54,8.90,4.11,9.34,7.74,9.46,4.64,10.62,7.34,0.38
2001,6.14,4.35,10.80,9.18,4.33,9.59,7.98,9.73,4.92,10.91,7.61,0.64
2002,6.35,4.70,10.62,9.09,4.60,9.65,8.29,9.87,5.10,11.03,7.79,0.96
2003,6.21,4.62,10.33,8.80,4.68,9.35,8.09,9.58,5.02,10.70,7.57,0.99
2004,6.82,5.12,11.06,9.53,5.21,10.08,8.69,10.31,5.64,11.39,8.25,1.47
2005,5.67,3.93,10.06,8.51,4.03,8.99,7.50,9.19,4.48,10.27,7.10,0.26
2006,6.11,4.43,10.52,8.93,4.45,9.39,7.97,9.56,4.87,10.73,7.49,0.76
2007,6.86,5.19,11.08,9.52,5.42,10.03,8.71,10.24,5.64,11.31,8.21,1.58
2008,6.57,4.91,10.82,9.26,5.23,9.65,8.35,9.83,5.39,10.93,7.85,1.37
2009,5.99,4.21,10.70,9.08,4.17,9.44,7.82,9.56,4.74,10.77,7.44,0.49
2010,5.59,3.74,10.39,8.73,3.90,8.99,7.29,9.08,4.44,10.25,6.97,0.14
2011,5.58,3.86,10.07,8.48,4.02,8.83,7.37,8.98,4.40,10.13,6.95,0.23
2012,5.41,3.63,10.05,8.43,3.70,8.79,7.19,8.92,4.19,10.10,6.81,-0.04
2013,5.90,4.05,10.61,8.99,4.16,9.36,7.64,9.48,4.69,10.65,7.33,0.41
2014,6.61,4.96,10.88,9.35,4.89,9.90,8.56,10.12,5.39,11.22,8.07,1.19
2015,6.77,5.08,11.16,9.60,5.09,10.05,8.65,10.24,5.58,11.36,8.19,1.37
2016,6.63,4.83,11.36,9.72,4.75,10.13,8.48,10.26,5.38,11.45,8.10,1.11
2017,6.67,4.97,11.02,9.47,4.99,10.00,8.55,10.21,5.46,11.33,8.12,1.24
2018,6.40,4.66,10.87,9.27,4.73,9.71,8.26,9.88,5.21,11.03,7.83,0.98
2019,7.16,5.44,11.53,9.97,5.53,10.43,9.02,10.62,5.98,11.71,8.58,1.77
2020,6.83,5.12,11.16,9.62,5.24,10.07,8.67,10.27,5.67,11.35,8.23,1.47
