Variable:,tas
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1911,6.24,14.69,8.38,15.14,17.49,5.14,20.50,19.94,14.97,23.97,7.81,0.19,13.34,14.61,16.10,14.03,17.06,3.31,6.28,2.65,6.92,-2.59,9.47,12.05,15.32,7.20,8.50,11.20,5.27,-3.03,14.81,15.41
1912,6.26,14.82,8.65,15.35,17.45,5.18,20.55,19.90,15.02,23.85,8.10,-0.46,13.66,14.82,16.19,14.16,17.11,2.91,6.15,2.63,7.23,-2.59,9.91,12.24,15.35,7.79,8.54,11.41,5.32,-2.97,14.87,15.40
1913,6.22,14.72,8.66,15.33,17.44,5.19,20.44,19.80,14.96,23.72,8.11,-0.11,13.58,14.72,16.11,13.98,17.05,3.11,6.17,2.88,7.25,-2.63,9.94,12.10,15.19,7.78,8.48,11.35,5.06,-3.17,14.80,15.31
1914,6.70,15.69,9.56,15.90,17.98,5.23,21.10,20.49,15.38,24.40,8.96,0.85,14.43,15.62,16.90,15.13,17.81,4.20,7.39,3.30,7.25,-2.58,10.29,13.22,16.24,8.28,8.66,12.41,5.62,-3.01,14.87,16.10
1915,6.42,15.25,8.44,15.47,18.17,5.18,21.20,20.40,15.23,24.39,7.98,-1.07,13.89,15.18,16.65,14.55,17.67,2.35,5.89,2.30,7.13,-2.43,9.86,12.48,15.94,7.73,8.79,11.37,5.71,-2.56,15.18,16.03
1916,6.38,14.87,8.78,15.15,17.70,5.02,20.58,19.94,15.09,23.83,8.14,0.29,13.49,14.67,16.12,14.26,17.17,3.44,6.54,2.68,6.67,-2.48,9.44,12.33,15.60,7.42,8.83,11.59,5.35,-2.71,15.35,15.64
1917,6.22,14.44,8.41,15.16,16.89,5.04,20.04,19.61,14.90,23.48,7.83,0.19,13.30,14.49,15.85,13.74,16.71,3.11,6.00,2.61,6.68,-2.53,9.48,11.92,14.85,7.27,8.67,11.20,5.59,-3.17,15.00,14.88
1918,6.24,14.71,8.63,15.14,17.23,4.90,20.34,19.83,15.01,23.74,8.01,0.37,13.36,14.57,16.06,14.12,16.96,3.51,6.52,2.73,6.30,-2.54,9.27,12.20,15.30,7.23,8.64,11.45,5.12,-2.95,15.00,15.26
1919,6.50,15.21,9.17,15.63,17.64,5.16,20.80,20.21,15.34,24.03,8.56,0.27,13.99,15.16,16.53,14.58,17.42,3.68,6.83,2.98,7.07,-2.42,9.99,12.71,15.71,7.94,9.01,11.98,5.12,-2.83,15.52,15.61
1920,6.48,15.24,9.56,15.51,17.58,5.23,20.64,20.04,15.20,23.92,8.89,0.73,14.07,15.12,16.35,14.71,17.30,4.12,7.26,3.23,7.30,-2.48,10.07,12.94,15.83,8.13,8.84,12.35,4.71,-2.82,15.24,15.65
1921,6.52,14.92,9.07,15.57,17.60,5.06,20.74,20.31,15.43,24.08,8.41,0.71,13.68,14.89,16.43,14.27,17.27,3.89,6.89,3.05,6.83,-2.51,9.76,12.47,15.48,7.70,8.94,11.86,5.24,-2.59,15.45,15.51
1922,6.64,15.40,9.30,15.95,17.83,5.35,21.10,20.57,15.68,24.40,8.68,-0.45,14.24,15.42,16.80,14.69,17.59,3.16,6.61,2.76,7.56,-2.39,10.33,12.81,15.86,8.22,9.15,12.08,5.66,-2.56,15.67,15.82
1923,6.66,15.26,9.00,16.19,17.72,5.50,21.20,20.80,15.89,24.63,8.45,0.06,14.21,15.56,17.02,14.43,17.59,3.33,6.41,2.85,7.68,-2.35,10.48,12.56,15.62,8.17,9.29,11.77,5.43,-2.61,15.70,15.71
1924,6.65,15.11,9.25,16.00,17.78,5.46,21.14,20.61,15.70,24.43,8.65,-0.07,14.15,15.34,16.80,14.30,17.48,3.35,6.64,2.98,7.68,-2.34,10.43,12.66,15.46,8.25,9.21,12.01,5.41,-2.58,15.67,15.53
1925,6.59,15.13,9.07,15.79,17.41,5.35,20.60,20.04,15.24,23.80,8.51,1.03,14.11,15.33,16.58,14.26,17.35,4.01,6.84,3.37,7.42,-2.55,10.26,12.48,15.35,8.04,8.83,11.80,5.55,-3.10,14.96,15.36
1926,6.71,15.37,9.30,16.09,17.74,5.33,20.92,20.46,15.71,24.11,8.70,0.72,14.18,15.44,16.78,14.58,17.59,3.86,6.85,3.31,7.37,-2.39,10.32,12.72,15.71,8.12,9.32,12.04,5.46,-2.88,15.66,15.70
1927,6.65,15.49,9.40,16.12,17.50,5.35,20.80,20.43,15.70,24.11,8.79,0.48,14.35,15.55,16.78,14.77,17.53,3.76,6.95,3.11,7.40,-2.44,10.40,12.92,15.83,8.24,9.25,12.19,5.38,-2.92,15.50,15.67
1928,6.67,15.51,9.39,16.30,17.95,5.46,21.23,20.61,15.87,24.41,8.78,0.19,14.45,15.70,17.06,14.59,17.82,3.49,6.78,2.94,7.81,-2.35,10.70,12.84,15.70,8.44,9.43,12.17,4.99,-2.53,15.71,15.76
1929,6.48,15.33,9.29,15.86,17.94,5.25,21.19,20.53,15.61,24.42,8.65,0.09,14.11,15.29,16.74,14.57,17.68,3.51,6.84,2.92,7.30,-2.47,10.18,12.74,15.79,8.08,9.10,12.09,4.71,-2.74,15.57,15.80
1930,6.56,15.26,9.59,15.76,18.08,5.33,21.08,20.36,15.49,24.22,8.92,0.66,14.08,15.19,16.59,14.60,17.62,4.10,7.27,3.24,7.56,-2.46,10.27,12.91,15.91,8.21,9.08,12.35,4.76,-2.86,15.44,15.92
1931,6.49,14.88,9.10,15.92,17.92,5.43,21.20,20.70,15.81,24.58,8.48,-0.34,13.87,15.05,16.53,14.13,17.33,3.00,6.43,2.85,7.56,-2.34,10.23,12.47,15.37,8.00,9.37,11.84,4.84,-2.54,15.89,15.53
1932,6.85,15.25,9.55,16.11,17.63,5.76,20.86,20.24,15.52,24.08,8.97,1.15,14.43,15.53,16.68,14.57,17.43,4.33,7.38,3.72,8.00,-2.19,10.71,12.93,15.66,8.54,9.30,12.27,5.37,-2.57,15.41,15.61
1933,6.66,15.17,8.87,16.11,17.98,5.72,21.15,20.56,15.84,24.35,8.31,0.44,13.97,15.28,16.67,14.43,17.56,3.56,6.60,3.04,7.62,-2.04,10.35,12.44,15.70,7.93,9.57,11.63,5.20,-2.83,15.79,15.86
1934,6.41,15.21,8.84,15.73,17.70,5.17,20.67,20.09,15.39,23.80,8.27,1.01,13.83,15.10,16.42,14.54,17.39,3.80,6.69,3.10,7.04,-2.45,9.94,12.46,15.74,7.73,9.08,11.63,4.44,-2.75,15.43,15.76
1935,6.77,15.78,9.83,16.07,18.28,5.47,21.37,20.69,15.79,24.47,9.16,0.74,14.43,15.61,16.99,15.15,18.01,4.22,7.55,3.39,7.47,-2.08,10.35,13.25,16.33,8.37,9.32,12.63,4.75,-2.52,15.70,16.26
1936,6.25,15.07,8.65,15.51,17.81,4.91,20.82,19.94,15.08,23.79,8.07,0.03,13.87,15.17,16.51,14.18,17.50,3.01,6.09,2.48,6.92,-2.54,9.83,12.11,15.37,7.64,8.69,11.42,4.77,-2.69,15.11,15.59
1937,6.51,15.56,9.51,15.86,18.37,5.18,21.48,20.67,15.67,24.49,8.90,-0.09,14.34,15.43,16.87,14.93,17.92,3.52,6.99,2.80,7.48,-2.24,10.33,13.06,16.19,8.32,9.14,12.41,4.35,-2.52,15.66,16.19
1938,6.87,15.88,9.76,16.12,18.43,5.49,21.41,20.55,15.66,24.25,9.13,0.92,14.73,15.89,17.21,15.03,18.19,4.09,7.19,3.50,7.75,-2.04,10.72,13.14,16.22,8.64,9.19,12.55,5.11,-2.48,15.32,16.31
1939,6.93,15.64,9.94,16.06,17.95,5.83,21.18,20.38,15.52,24.07,9.30,1.13,14.62,15.74,16.96,14.95,17.80,4.43,7.63,3.72,7.95,-1.90,10.74,13.30,15.96,8.65,9.24,12.77,5.36,-2.62,15.20,15.75
1940,6.93,15.70,9.77,16.11,18.06,5.82,21.38,20.60,15.68,24.38,9.13,0.45,14.67,15.86,17.15,14.88,17.96,3.84,7.08,3.35,7.93,-1.90,10.71,13.12,15.87,8.63,9.19,12.54,5.85,-2.65,15.24,15.91
1941,7.21,15.99,9.90,16.54,18.61,6.47,21.55,20.68,15.90,24.59,9.33,-0.39,15.01,16.19,17.30,15.13,18.21,3.37,7.09,3.34,8.49,-1.30,11.21,13.37,16.23,8.97,9.68,12.73,6.34,-2.20,15.59,16.38
1942,6.99,15.74,9.91,16.54,18.29,5.94,21.36,20.71,16.06,24.44,9.31,0.06,14.81,16.02,17.20,14.93,17.94,3.74,7.21,3.39,8.10,-1.73,11.01,13.24,16.00,8.87,9.69,12.64,5.38,-2.29,15.88,16.09
1943,6.90,15.66,10.04,16.11,18.17,5.43,21.29,20.63,15.75,24.37,9.38,1.33,14.59,15.75,17.13,14.84,17.82,4.42,7.55,3.69,7.65,-2.14,10.63,13.27,15.94,8.66,9.23,12.80,5.11,-2.48,15.47,15.87
1944,6.58,15.51,9.45,15.54,18.14,4.98,21.00,20.10,15.17,23.94,8.81,0.69,14.20,15.29,16.59,14.71,17.65,3.86,7.12,3.13,7.12,-2.25,10.05,12.90,15.87,8.07,8.86,12.25,4.93,-2.42,15.17,15.94
1945,6.73,15.42,9.70,16.27,17.56,5.90,20.57,20.14,15.63,23.58,9.13,-0.08,14.76,15.83,16.72,14.50,17.32,3.14,6.79,3.36,8.11,-1.69,10.96,13.00,15.56,8.77,9.42,12.43,5.04,-2.57,15.44,15.65
1946,7.26,16.13,10.04,16.76,18.83,6.30,21.83,21.22,16.48,24.64,9.43,0.65,14.96,16.26,17.66,15.24,18.46,4.14,7.48,3.64,8.35,-1.29,11.16,13.44,16.46,8.91,10.01,12.86,5.40,-2.10,16.13,16.62
1947,6.63,15.49,8.33,16.22,17.79,5.66,20.71,20.13,15.59,23.75,7.94,0.07,14.44,15.83,16.85,14.44,17.68,2.74,5.78,2.40,7.85,-1.64,10.68,12.30,15.55,8.00,9.47,11.24,5.22,-2.18,15.54,15.87
1948,7.05,15.99,9.99,16.06,18.28,5.89,21.18,20.39,15.55,24.17,9.36,1.86,14.77,15.87,17.04,15.30,18.03,4.68,7.64,4.00,8.00,-1.77,10.81,13.47,16.36,8.68,9.23,12.78,5.32,-2.57,15.24,16.35
1949,6.77,15.75,9.69,16.05,18.23,5.38,21.39,20.63,15.63,24.50,9.09,1.31,14.51,15.73,17.12,14.93,18.00,4.39,7.52,3.59,7.53,-2.26,10.48,13.18,16.05,8.37,9.09,12.51,4.84,-2.74,15.28,16.18
1950,6.47,15.48,9.52,15.52,18.18,5.09,21.14,20.11,15.05,24.07,8.81,0.51,14.13,15.29,16.60,14.79,17.86,4.07,7.40,3.31,7.26,-2.48,10.14,12.94,16.03,8.09,8.73,12.29,4.58,-2.86,15.01,16.08
1951,6.54,15.32,9.21,15.67,18.01,5.20,20.75,19.93,15.19,23.76,8.62,0.81,14.00,15.23,16.40,14.61,17.51,4.08,7.25,3.27,7.26,-2.57,10.12,12.72,15.87,7.99,8.84,11.99,4.97,-2.64,15.09,15.91
1952,6.42,15.11,8.91,15.75,18.20,5.19,21.31,20.46,15.41,24.44,8.33,-0.21,13.89,15.16,16.52,14.40,17.53,3.56,6.92,2.67,7.30,-2.35,10.14,12.41,15.75,7.82,9.06,11.72,4.64,-2.43,15.39,15.90
1953,6.88,15.94,9.29,16.03,18.29,5.89,21.17,20.26,15.40,24.20,8.75,0.51,14.52,15.70,16.82,15.31,17.93,3.79,7.01,3.28,7.93,-1.96,10.64,13.01,16.53,8.27,9.29,12.09,5.57,-2.31,15.36,16.44
1954,6.23,15.01,8.87,15.38,18.24,5.08,21.13,20.04,14.97,24.20,8.21,0.24,13.62,14.89,16.29,14.31,17.53,3.32,6.61,2.52,7.05,-2.27,9.87,12.30,15.67,7.59,8.99,11.65,4.07,-2.54,14.96,15.83
1955,6.60,15.44,9.76,15.62,17.92,5.27,21.01,20.05,15.02,24.14,9.01,0.66,14.21,15.34,16.55,14.76,17.61,4.15,7.35,3.23,7.34,-2.58,10.30,13.01,15.97,8.34,8.87,12.49,5.29,-2.77,14.76,15.92
1956,6.13,14.75,8.42,15.36,17.90,4.91,20.87,19.82,14.84,23.90,7.77,-0.63,13.38,14.88,16.28,13.96,17.39,2.67,6.01,2.08,6.77,-2.93,9.62,11.86,15.42,7.25,8.60,11.27,5.15,-2.66,14.73,15.59
1957,6.15,14.70,8.52,15.37,17.85,4.94,20.82,19.83,14.81,23.86,7.94,0.19,13.57,14.91,16.23,13.93,17.32,3.08,6.16,2.31,6.92,-2.93,9.86,12.04,15.34,7.55,8.56,11.52,4.94,-2.96,14.76,15.52
1958,6.82,15.30,9.54,15.70,18.11,5.52,21.18,20.20,15.24,24.21,8.88,0.73,14.07,15.28,16.62,14.58,17.66,3.97,7.18,3.49,7.48,-2.04,10.24,12.83,15.88,8.20,9.18,12.31,5.44,-2.18,15.23,15.89
1959,6.76,15.71,9.70,15.88,18.41,5.28,21.29,20.15,15.19,24.22,9.09,1.60,14.50,15.71,16.84,15.01,17.98,4.80,7.81,3.63,7.34,-2.54,10.43,13.21,16.31,8.40,8.88,12.56,5.05,-2.71,14.98,16.27
1960,6.63,15.69,9.64,15.80,18.42,5.39,21.36,20.31,15.31,24.36,9.03,0.02,14.39,15.51,16.78,15.02,17.95,3.75,7.19,3.23,7.57,-2.28,10.43,13.08,16.31,8.42,9.06,12.42,4.83,-2.55,15.32,16.31
1961,6.82,16.15,10.13,15.90,18.27,5.06,21.21,20.29,15.33,24.23,9.52,1.04,14.88,15.87,16.96,15.49,17.97,4.65,7.88,3.63,7.41,-2.74,10.55,13.68,16.66,8.74,8.92,12.94,5.36,-2.73,15.11,16.52
1962,6.51,15.30,9.39,15.52,17.67,4.90,20.80,19.91,14.99,23.85,8.78,0.80,14.11,15.21,16.46,14.65,17.31,3.96,7.20,3.17,7.00,-2.99,10.02,12.96,15.76,8.00,8.59,12.24,5.63,-3.08,14.81,15.67
1963,6.75,15.31,9.43,15.80,18.14,5.33,21.27,20.39,15.49,24.25,8.77,1.11,13.96,15.39,16.96,14.51,17.80,4.08,7.14,3.73,7.21,-2.81,10.00,12.64,15.87,7.97,8.72,12.05,6.01,-3.18,15.02,16.00
1964,6.43,15.35,8.85,15.29,18.16,5.06,21.02,20.02,14.97,23.98,8.26,0.17,13.78,15.02,16.43,14.69,17.60,3.52,6.88,2.88,7.05,-2.46,9.75,12.53,16.13,7.56,8.83,11.75,5.00,-2.52,14.95,16.08
1965,6.48,15.22,9.75,15.49,17.87,5.30,21.10,20.22,15.09,24.22,9.08,-0.45,14.19,15.16,16.52,14.62,17.36,3.13,6.90,3.14,7.39,-2.90,10.22,13.06,15.71,8.36,8.44,12.43,5.76,-3.26,14.83,15.66
1966,6.64,15.58,9.42,15.86,18.37,5.38,21.54,20.58,15.45,24.60,8.80,-0.09,14.38,15.48,16.85,14.95,17.78,3.47,6.91,2.90,7.53,-2.35,10.40,13.01,16.22,8.25,9.06,12.15,5.35,-2.71,15.35,16.18
1967,6.17,15.10,8.90,15.13,17.77,4.43,20.65,19.65,14.73,23.56,8.30,1.14,13.70,14.81,16.13,14.50,17.23,4.20,7.09,3.06,6.51,-3.26,9.46,12.62,15.76,7.49,8.31,11.80,4.64,-3.34,14.69,15.73
1968,6.44,15.37,9.21,15.32,17.76,4.99,20.83,19.91,14.90,23.81,8.66,1.32,14.18,15.23,16.50,14.66,17.48,4.14,7.15,3.11,6.99,-2.82,9.89,12.93,15.82,7.94,8.39,12.12,5.23,-3.27,14.76,15.78
1969,6.15,14.52,8.33,15.46,17.57,5.35,20.56,19.87,15.14,23.66,7.71,-1.11,13.34,14.68,16.08,13.81,16.94,2.48,5.91,2.08,7.23,-2.01,9.81,11.79,15.20,7.28,9.02,11.11,4.70,-2.48,15.27,15.34
1970,6.29,14.88,8.85,15.21,17.62,4.70,20.55,19.70,14.79,23.62,8.21,0.44,13.65,14.77,16.02,14.25,16.99,3.65,6.72,2.73,6.75,-2.92,9.63,12.39,15.51,7.49,8.47,11.63,5.23,-2.69,14.89,15.52
1971,6.60,15.24,9.15,15.41,18.03,5.43,20.72,19.68,14.85,23.57,8.52,0.94,13.83,15.00,16.29,14.62,17.52,3.92,7.04,3.24,7.33,-2.42,9.96,12.69,15.93,7.79,8.56,11.99,5.78,-2.88,14.60,15.94
1972,6.56,14.92,9.33,15.54,18.01,5.47,20.92,20.04,15.10,23.91,8.61,0.25,13.79,14.99,16.41,14.26,17.44,3.66,6.98,3.13,7.33,-1.97,10.03,12.55,15.56,7.94,8.93,12.04,5.08,-2.49,15.05,15.65
1973,6.91,15.48,9.75,16.00,18.26,5.54,21.29,20.45,15.53,24.38,9.05,0.87,14.31,15.48,16.79,14.87,17.78,4.32,7.57,3.58,7.69,-2.35,10.54,13.10,16.03,8.39,9.14,12.54,5.83,-2.59,15.38,16.04
1974,6.43,15.16,9.20,15.36,18.09,5.09,20.83,19.81,14.83,23.69,8.54,0.21,13.93,15.09,16.41,14.49,17.56,3.47,6.80,2.82,7.15,-2.36,9.99,12.63,15.72,7.91,8.70,12.00,4.99,-2.46,14.73,15.80
1975,6.88,15.59,10.30,15.64,18.19,5.14,20.95,20.06,15.17,23.93,9.55,2.09,14.39,15.36,16.56,15.04,17.67,5.12,8.12,4.14,7.35,-2.54,10.33,13.44,16.17,8.65,8.87,12.98,5.28,-2.69,15.15,16.09
1976,6.26,15.04,9.00,15.02,17.70,4.61,20.48,19.54,14.57,23.51,8.33,0.31,13.70,14.83,16.06,14.37,17.22,3.42,6.66,2.83,6.62,-2.78,9.57,12.44,15.57,7.61,8.35,11.73,5.06,-2.71,14.69,15.57
1977,6.60,15.46,9.68,15.59,18.43,4.96,21.25,20.10,14.96,24.15,9.05,0.17,14.37,15.33,16.54,14.91,17.74,3.71,7.26,3.07,7.21,-2.84,10.35,13.19,16.08,8.42,8.50,12.55,5.74,-2.80,14.74,16.15
1978,6.84,15.97,9.86,15.98,18.30,5.43,21.06,20.20,15.35,24.01,9.20,0.76,14.69,15.80,16.94,15.37,18.00,4.11,7.53,3.53,7.52,-2.49,10.55,13.48,16.42,8.52,8.78,12.74,5.93,-3.01,15.05,16.33
1979,6.89,15.77,9.73,15.90,18.40,5.37,21.17,20.37,15.45,24.20,9.06,0.72,14.39,15.62,16.92,15.14,18.02,4.32,7.65,3.50,7.52,-2.33,10.41,13.17,16.32,8.33,8.99,12.51,5.78,-2.59,15.47,16.36
1980,6.76,15.00,9.38,15.46,18.30,5.41,21.20,20.44,15.27,24.29,8.70,0.34,13.87,14.98,16.49,14.32,17.56,3.56,6.76,3.18,7.36,-2.23,10.08,12.57,15.57,8.06,8.79,12.08,6.13,-2.58,15.41,15.85
1981,6.79,15.27,9.64,15.63,18.21,5.47,21.13,20.35,15.34,24.22,9.00,0.76,14.17,15.23,16.59,14.65,17.62,4.06,7.28,3.34,7.45,-2.02,10.22,13.06,15.80,8.27,9.02,12.59,5.66,-2.68,15.37,15.95
1982,6.97,15.57,10.43,15.45,18.21,5.41,21.01,20.20,15.12,24.05,9.69,1.77,14.39,15.24,16.52,15.00,17.68,5.14,8.26,4.15,7.55,-2.45,10.39,13.54,16.09,8.77,8.63,13.18,5.94,-2.86,15.02,16.16
1983,6.73,15.71,10.38,15.64,18.47,4.78,21.01,20.19,15.29,23.94,9.63,1.08,14.39,15.45,16.82,15.10,17.97,4.51,8.07,3.72,7.09,-3.23,10.13,13.60,16.22,8.60,8.44,13.21,5.86,-3.21,14.99,16.37
1984,6.36,15.02,9.30,15.12,17.73,4.76,20.38,19.62,14.81,23.37,8.59,0.50,13.65,14.76,16.01,14.41,17.16,3.75,7.15,2.86,6.66,-2.35,9.55,12.63,15.66,7.66,8.74,12.10,4.72,-2.32,15.08,15.74
1985,6.56,15.31,9.06,15.47,18.06,5.22,20.72,19.97,15.07,23.70,8.46,0.67,13.90,15.13,16.47,14.62,17.58,3.87,6.96,2.97,7.19,-2.49,9.95,12.54,15.99,7.85,8.54,11.94,5.39,-2.39,14.95,16.11
1986,6.67,15.48,9.51,15.60,18.13,5.13,21.06,20.28,15.23,24.12,8.89,1.06,14.25,15.38,16.73,14.76,17.78,3.99,7.19,3.41,7.20,-2.63,10.15,12.98,15.98,8.18,8.67,12.42,5.54,-2.89,15.07,16.07
1987,7.02,15.74,9.97,16.05,18.61,5.98,21.69,20.94,15.82,24.81,9.33,0.13,14.55,15.59,17.07,15.07,18.13,3.80,7.35,3.39,8.12,-1.76,10.77,13.26,16.30,8.78,9.28,12.74,5.85,-2.42,15.61,16.41
1988,7.09,15.66,10.05,15.63,18.17,5.63,20.90,20.13,15.27,23.92,9.35,1.50,14.38,15.39,16.59,15.04,17.72,4.62,7.88,3.83,7.48,-1.61,10.24,13.36,16.20,8.42,9.15,12.89,5.85,-2.03,15.46,16.22
1989,7.05,15.48,10.49,15.38,18.15,5.45,21.11,20.19,15.04,24.21,9.75,2.15,14.24,15.10,16.45,15.03,17.60,5.28,8.44,4.30,7.61,-2.24,10.29,13.58,16.18,8.64,8.79,13.24,5.81,-2.54,15.09,16.10
1990,7.32,15.96,10.22,15.90,18.51,5.80,21.43,20.55,15.47,24.55,9.56,2.23,14.66,15.65,17.00,15.48,18.07,5.08,8.14,4.29,7.97,-1.96,10.69,13.67,16.72,8.79,8.91,13.00,6.47,-2.42,15.25,16.64
1991,6.92,15.22,9.91,15.39,18.33,5.53,21.44,20.46,15.16,24.60,9.11,1.20,14.03,15.07,16.51,14.64,17.67,4.39,7.60,3.72,7.74,-2.17,10.36,13.01,15.85,8.36,8.76,12.63,6.00,-2.68,15.38,16.02
1992,6.68,15.34,9.99,15.34,17.72,4.98,20.80,19.99,14.94,23.93,9.22,1.43,14.15,15.19,16.48,14.76,17.44,4.57,7.79,3.79,7.14,-2.84,10.07,13.22,15.88,8.31,8.27,12.78,5.68,-3.03,14.85,15.75
1993,6.73,15.06,9.84,15.15,18.03,5.12,21.00,20.05,14.89,24.11,9.07,1.47,13.83,14.82,16.15,14.50,17.33,4.45,7.63,3.72,7.07,-2.44,9.84,13.03,15.58,8.06,8.50,12.58,5.55,-2.52,15.15,15.79
1994,7.31,16.23,10.79,15.88,18.50,5.77,21.42,20.43,15.40,24.47,10.04,1.69,14.95,15.76,16.79,15.70,18.07,5.08,8.47,4.36,7.98,-1.99,10.87,14.06,16.85,9.15,9.14,13.55,6.13,-2.34,15.60,16.65
1995,7.08,15.67,10.40,15.82,17.86,5.05,20.83,20.02,15.17,23.91,9.64,2.20,14.69,15.66,16.63,15.03,17.63,5.14,8.18,4.34,7.34,-2.59,10.64,13.56,16.08,8.82,8.82,13.06,5.94,-2.40,15.38,15.90
1996,6.75,15.33,9.88,15.24,17.96,5.00,20.85,19.92,14.87,23.91,9.12,1.31,14.14,15.10,16.25,14.69,17.44,4.47,7.65,3.56,6.99,-2.43,10.08,13.10,15.87,8.31,8.59,12.58,5.56,-2.38,15.23,15.84
1997,7.12,15.94,10.71,15.90,18.22,5.56,21.12,20.26,15.26,24.29,9.94,1.86,14.94,15.75,16.71,15.39,17.82,5.10,8.38,4.30,7.95,-2.95,11.05,13.86,16.50,9.22,8.62,13.42,6.65,-3.34,15.18,16.24
1998,7.82,16.54,11.15,16.51,19.18,6.30,21.93,21.08,16.09,24.96,10.39,2.20,15.42,16.38,17.52,15.90,18.72,5.66,8.85,4.93,8.51,-1.56,11.53,14.21,17.11,9.70,9.54,13.74,6.73,-1.96,16.06,17.06
1999,7.63,15.97,11.03,16.16,18.58,6.12,21.51,20.54,15.59,24.44,10.25,1.44,15.16,15.98,17.06,15.38,18.12,4.93,8.38,4.46,8.38,-1.64,11.40,14.03,16.45,9.61,9.39,13.69,6.94,-1.70,15.75,16.38
