Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1940,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14
1941,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20
1942,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.25
1943,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67
1944,24.84,24.84,24.84,24.84,24.84,24.84,24.84,24.84
1945,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39
1946,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53
1947,24.84,24.84,24.84,24.84,24.84,24.84,24.84,24.84
1948,24.84,24.84,24.84,24.84,24.84,24.84,24.84,24.84
1949,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54
1950,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35
1951,24.87,24.87,24.87,24.87,24.87,24.87,24.87,24.87
1952,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.93
1953,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78
1954,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.62
1955,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60
1956,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.48
1957,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68
1958,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18
1959,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.81
1960,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.04
1961,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83
1962,24.88,24.88,24.88,24.88,24.88,24.88,24.88,24.88
1963,25.03,25.03,25.03,25.03,25.03,25.03,25.03,25.03
1964,24.88,24.88,24.88,24.88,24.88,24.88,24.88,24.88
1965,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75
1966,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97
1967,24.73,24.73,24.73,24.73,24.73,24.73,24.73,24.73
1968,24.80,24.80,24.80,24.80,24.80,24.80,24.80,24.80
1969,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28
1970,25.11,25.11,25.11,25.11,25.11,25.11,25.11,25.11
1971,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75
1972,24.98,24.98,24.98,24.98,24.98,24.98,24.98,24.98
1973,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05
1974,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.71
1975,24.73,24.73,24.73,24.73,24.73,24.73,24.73,24.73
1976,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61
1977,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13
1978,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24
1979,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23
1980,25.62,25.62,25.62,25.62,25.62,25.62,25.62,25.62
1981,25.59,25.59,25.59,25.59,25.59,25.59,25.59,25.59
1982,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23
1983,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80
1984,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24
1985,25.17,25.17,25.17,25.17,25.17,25.17,25.17,25.17
1986,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32
1987,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88
1988,25.53,25.53,25.53,25.53,25.53,25.53,25.53,25.53
1989,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.19
1990,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50
1991,25.54,25.54,25.54,25.54,25.54,25.54,25.54,25.54
1992,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48
1993,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65
1994,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50
1995,25.69,25.69,25.69,25.69,25.69,25.69,25.69,25.69
1996,25.44,25.44,25.44,25.44,25.44,25.44,25.44,25.44
1997,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61
1998,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01
1999,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50
2000,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29
2001,25.64,25.64,25.64,25.64,25.64,25.64,25.64,25.64
2002,25.83,25.83,25.83,25.83,25.83,25.83,25.83,25.83
2003,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72
2004,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47
2005,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87
2006,25.68,25.68,25.68,25.68,25.68,25.68,25.68,25.68
2007,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65
2008,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38
2009,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79
2010,26.07,26.07,26.07,26.07,26.07,26.07,26.07,26.07
2011,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63
2012,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78
2013,25.85,25.85,25.85,25.85,25.85,25.85,25.85,25.85
2014,25.86,25.86,25.86,25.86,25.86,25.86,25.86,25.86
2015,26.04,26.04,26.04,26.04,26.04,26.04,26.04,26.04
2016,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03
2017,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88
2018,25.55,25.55,25.55,25.55,25.55,25.55,25.55,25.55
2019,25.94,25.94,25.94,25.94,25.94,25.94,25.94,25.94
2020,25.98,25.98,25.98,25.98,25.98,25.98,25.98,25.98
