Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1918,9.37,14.09,11.69,7.80,12.02,10.96,8.60,13.92,6.90,6.83,11.58,12.19,10.72,11.05,7.69
1919,9.03,13.71,11.30,7.48,11.65,10.59,8.26,13.58,6.58,6.51,11.22,11.80,10.36,10.73,7.35
1920,9.39,14.20,11.77,7.79,12.12,11.02,8.63,14.09,6.83,6.72,11.66,12.25,10.79,11.10,7.70
1921,9.65,14.45,12.02,8.05,12.37,11.28,8.89,14.32,7.10,7.00,11.92,12.52,11.04,11.35,7.96
1922,9.66,14.40,11.99,8.08,12.33,11.25,8.88,14.23,7.17,7.09,11.87,12.49,11.01,11.32,7.97
1923,9.29,13.90,11.54,7.76,11.88,10.81,8.52,13.66,6.88,6.83,11.47,12.03,10.58,10.94,7.63
1924,10.30,14.76,12.39,8.85,12.73,11.70,9.52,14.49,8.06,8.05,12.39,12.91,11.48,11.84,8.69
1925,9.15,13.77,11.39,7.62,11.74,10.66,8.37,13.53,6.78,6.73,11.33,11.90,10.43,10.78,7.50
1926,9.26,13.83,11.46,7.76,11.81,10.74,8.48,13.58,6.92,6.88,11.40,11.96,10.50,10.87,7.62
1927,9.07,13.82,11.41,7.49,11.76,10.66,8.29,13.73,6.57,6.51,11.30,11.91,10.41,10.73,7.38
1928,10.10,14.71,12.33,8.57,12.67,11.61,9.32,14.49,7.71,7.67,12.28,12.85,11.37,11.68,8.45
1929,9.39,14.06,11.64,7.83,11.98,10.91,8.60,13.96,6.97,6.93,11.57,12.16,10.66,10.98,7.72
1930,8.77,13.43,11.01,7.21,11.35,10.28,7.98,13.32,6.34,6.31,10.95,11.53,10.04,10.39,7.10
1931,8.95,13.62,11.20,7.40,11.55,10.47,8.17,13.54,6.53,6.49,11.13,11.71,10.23,10.58,7.28
1932,9.12,13.78,11.34,7.56,11.69,10.61,8.33,13.69,6.71,6.67,11.31,11.86,10.38,10.72,7.46
1933,9.57,14.27,11.85,8.01,12.21,11.11,8.79,14.16,7.11,7.06,11.78,12.36,10.86,11.18,7.90
1934,9.67,14.21,11.81,8.17,12.16,11.11,8.88,14.03,7.37,7.34,11.80,12.33,10.87,11.22,8.04
1935,9.95,14.57,12.16,8.43,12.52,11.44,9.18,14.39,7.56,7.52,12.13,12.68,11.20,11.52,8.31
1936,9.41,14.00,11.58,7.89,11.93,10.88,8.63,13.84,7.06,7.02,11.57,12.10,10.65,10.99,7.77
1937,9.12,13.75,11.35,7.58,11.69,10.60,8.33,13.61,6.72,6.69,11.30,11.86,10.37,10.72,7.47
1938,10.35,15.06,12.68,8.77,13.03,11.93,9.59,14.89,7.86,7.79,12.60,13.19,11.68,11.97,8.68
1939,9.34,13.89,11.47,7.86,11.82,10.75,8.58,13.71,7.02,6.98,11.49,12.00,10.55,10.90,7.73
1940,9.29,13.81,11.44,7.81,11.78,10.72,8.52,13.55,6.98,6.94,11.42,11.95,10.49,10.86,7.67
1941,9.34,13.90,11.54,7.83,11.88,10.80,8.57,13.67,7.00,6.97,11.49,12.04,10.57,10.92,7.69
1942,9.68,14.34,11.95,8.14,12.30,11.21,8.92,14.14,7.26,7.22,11.88,12.45,10.96,11.29,8.00
1943,9.32,14.11,11.70,7.68,12.09,10.95,8.52,13.92,6.82,6.80,11.57,12.20,10.67,10.97,7.57
1944,9.44,14.14,11.77,7.86,12.13,11.02,8.62,13.94,7.00,6.96,11.68,12.27,10.77,11.07,7.73
1945,9.15,13.87,11.47,7.56,11.83,10.72,8.36,13.67,6.71,6.68,11.38,11.97,10.47,10.77,7.44
1946,9.47,14.33,11.93,7.77,12.27,11.15,8.67,14.14,6.89,6.86,11.78,12.42,10.87,11.13,7.69
1947,9.49,14.15,11.76,7.93,12.09,11.03,8.68,13.93,7.09,7.06,11.70,12.27,10.79,11.08,7.81
1948,9.87,14.67,12.25,8.26,12.59,11.50,9.08,14.47,7.35,7.29,12.15,12.76,11.24,11.49,8.15
1949,9.60,14.29,11.92,8.04,12.26,11.16,8.81,14.08,7.16,7.11,11.81,12.41,10.90,11.20,7.91
1950,9.74,14.63,12.19,8.08,12.52,11.39,8.93,14.47,7.17,7.09,12.05,12.70,11.13,11.35,7.99
1951,9.41,14.10,11.68,7.82,12.03,10.94,8.58,13.88,7.00,6.99,11.61,12.20,10.70,11.00,7.71
1952,9.66,14.32,11.95,8.09,12.31,11.21,8.88,14.09,7.22,7.16,11.87,12.45,10.97,11.29,7.99
1953,9.64,14.42,12.01,8.01,12.36,11.26,8.86,14.22,7.10,7.05,11.92,12.52,11.01,11.29,7.93
1954,10.05,14.67,12.29,8.53,12.64,11.58,9.29,14.45,7.65,7.58,12.25,12.80,11.33,11.66,8.41
1955,10.31,15.09,12.70,8.70,13.03,11.94,9.56,14.88,7.76,7.69,12.61,13.20,11.69,11.96,8.60
1956,10.52,15.20,12.82,8.98,13.15,12.10,9.77,14.98,8.05,7.97,12.76,13.33,11.85,12.15,8.86
1957,10.02,14.68,12.33,8.45,12.70,11.60,9.25,14.45,7.56,7.49,12.25,12.82,11.35,11.68,8.34
1958,10.03,14.82,12.43,8.42,12.78,11.69,9.24,14.61,7.48,7.41,12.33,12.92,11.42,11.68,8.31
1959,9.75,14.43,12.02,8.20,12.37,11.28,8.92,14.23,7.33,7.27,11.95,12.53,11.03,11.31,8.07
1960,9.87,14.51,12.09,8.34,12.44,11.35,9.07,14.29,7.49,7.46,12.04,12.60,11.12,11.44,8.21
1961,9.86,14.53,12.14,8.31,12.48,11.41,9.08,14.30,7.42,7.36,12.08,12.64,11.17,11.47,8.19
1962,10.47,15.18,12.79,8.90,13.16,12.05,9.70,14.96,8.00,7.92,12.72,13.30,11.81,12.12,8.79
1963,9.56,14.35,11.94,7.94,12.30,11.18,8.77,14.19,7.03,6.95,11.84,12.44,10.92,11.19,7.85
1964,9.69,14.38,12.00,8.13,12.36,11.25,8.90,14.18,7.24,7.18,11.91,12.50,10.99,11.30,8.00
1965,9.48,14.08,11.72,7.96,12.07,11.00,8.72,13.84,7.09,7.05,11.65,12.21,10.75,11.11,7.82
1966,9.73,14.33,11.94,8.21,12.27,11.21,8.95,14.12,7.36,7.31,11.90,12.45,10.97,11.29,8.08
1967,9.84,14.56,12.14,8.27,12.48,11.40,9.06,14.36,7.37,7.30,12.07,12.66,11.15,11.44,8.16
1968,9.80,14.49,12.12,8.22,12.50,11.39,9.05,14.27,7.33,7.28,12.03,12.62,11.14,11.47,8.11
1969,9.74,14.28,11.91,8.25,12.27,11.20,8.97,14.04,7.42,7.37,11.87,12.42,10.96,11.31,8.11
1970,10.44,15.16,12.79,8.85,13.13,12.04,9.70,14.94,7.92,7.83,12.71,13.29,11.80,12.08,8.76
1971,10.72,15.35,12.98,9.20,13.28,12.26,10.01,15.11,8.29,8.22,12.94,13.48,12.02,12.33,9.09
1972,9.86,14.55,12.20,8.31,12.50,11.45,9.12,14.33,7.37,7.28,12.11,12.69,11.20,11.48,8.21
1973,10.28,15.10,12.72,8.65,13.06,11.96,9.55,14.90,7.68,7.57,12.59,13.21,11.70,11.97,8.57
1974,10.32,15.17,12.75,8.66,13.08,11.97,9.58,14.97,7.73,7.66,12.65,13.27,11.73,11.98,8.62
1975,10.27,14.99,12.62,8.69,12.95,11.87,9.50,14.78,7.76,7.67,12.53,13.12,11.62,11.90,8.59
1976,9.41,14.09,11.69,7.86,12.02,10.93,8.61,13.91,7.01,6.96,11.61,12.19,10.68,10.97,7.76
1977,9.41,14.01,11.66,7.87,12.03,10.93,8.62,13.79,7.03,7.00,11.58,12.15,10.67,11.01,7.74
1978,10.31,14.83,12.48,8.82,12.83,11.77,9.55,14.57,7.97,7.92,12.47,12.98,11.55,11.91,8.70
1979,10.20,14.96,12.58,8.59,12.96,11.83,9.44,14.75,7.68,7.60,12.47,13.08,11.56,11.87,8.50
1980,9.96,14.55,12.20,8.45,12.55,11.47,9.16,14.34,7.59,7.54,12.11,12.69,11.21,11.54,8.30
1981,10.46,15.22,12.84,8.86,13.19,12.10,9.70,15.00,7.92,7.84,12.73,13.34,11.83,12.12,8.76
1982,9.70,14.34,11.94,8.17,12.30,11.22,8.90,14.13,7.31,7.27,11.87,12.45,10.97,11.29,8.04
1983,9.66,14.42,12.05,8.05,12.40,11.29,8.88,14.24,7.12,7.06,11.93,12.54,11.03,11.31,7.94
1984,10.28,14.91,12.53,8.75,12.89,11.80,9.49,14.69,7.89,7.83,12.47,13.04,11.56,11.86,8.63
1985,10.40,14.96,12.57,8.90,12.92,11.84,9.61,14.73,8.07,8.02,12.53,13.09,11.62,11.96,8.78
1986,10.27,14.81,12.45,8.79,12.82,11.71,9.45,14.59,7.95,7.90,12.38,12.96,11.47,11.83,8.65
1987,10.24,14.71,12.38,8.79,12.74,11.68,9.48,14.46,7.93,7.87,12.35,12.89,11.45,11.83,8.65
1988,10.41,15.13,12.80,8.85,13.17,12.07,9.69,14.92,7.84,7.72,12.69,13.28,11.81,12.13,8.74
1989,10.51,15.09,12.77,8.97,13.12,12.06,9.77,14.87,8.07,8.01,12.71,13.26,11.81,12.16,8.86
1990,10.49,15.17,12.84,8.92,13.21,12.13,9.77,14.95,7.96,7.86,12.76,13.34,11.87,12.18,8.83
1991,9.69,14.34,12.00,8.13,12.39,11.27,8.93,14.13,7.24,7.17,11.92,12.50,11.02,11.36,8.03
1992,9.08,13.77,11.38,7.48,11.74,10.65,8.29,13.58,6.63,6.59,11.30,11.91,10.40,10.69,7.40
1993,9.38,13.84,11.47,7.89,11.81,10.75,8.57,13.64,7.15,7.13,11.45,12.00,10.53,10.87,7.78
1994,9.78,14.39,12.04,8.24,12.41,11.32,9.04,14.17,7.35,7.26,11.99,12.55,11.08,11.41,8.14
1995,10.11,15.03,12.63,8.42,13.01,11.87,9.38,14.84,7.41,7.30,12.51,13.14,11.59,11.86,8.37
1996,10.02,14.80,12.40,8.39,12.77,11.65,9.26,14.63,7.47,7.40,12.32,12.91,11.41,11.69,8.31
1997,9.79,14.51,12.14,8.22,12.48,11.39,9.02,14.29,7.31,7.23,12.03,12.63,11.13,11.42,8.11
1998,10.87,15.78,13.39,9.24,13.73,12.60,10.12,15.57,8.20,8.07,13.24,13.88,12.33,12.58,9.14
1999,10.76,15.39,13.01,9.24,13.36,12.27,9.99,15.18,8.35,8.28,12.95,13.52,12.03,12.34,9.14
2000,10.26,14.99,12.61,8.66,12.97,11.85,9.46,14.76,7.78,7.71,12.53,13.11,11.60,11.88,8.58
2001,10.36,15.13,12.72,8.77,13.08,11.95,9.54,14.91,7.89,7.81,12.61,13.22,11.70,11.96,8.67
2002,10.15,14.81,12.43,8.62,12.79,11.69,9.37,14.59,7.73,7.66,12.34,12.93,11.44,11.75,8.51
2003,10.12,14.89,12.53,8.51,12.90,11.78,9.36,14.67,7.56,7.47,12.40,13.02,11.51,11.79,8.43
2004,9.54,14.21,11.84,7.96,12.21,11.10,8.74,14.00,7.12,7.09,11.76,12.34,10.84,11.15,7.84
2005,10.58,15.27,12.89,9.02,13.25,12.16,9.78,15.03,8.11,8.03,12.80,13.40,11.91,12.20,8.92
2006,9.89,14.60,12.25,8.31,12.63,11.52,9.13,14.37,7.39,7.30,12.12,12.73,11.25,11.57,8.20
2007,10.22,14.99,12.56,8.66,12.89,11.78,9.47,14.78,7.71,7.61,12.47,13.08,11.54,11.81,8.57
2008,10.28,14.96,12.58,8.75,12.94,11.83,9.53,14.73,7.83,7.74,12.50,13.07,11.59,11.90,8.65
2009,9.85,14.57,12.17,8.29,12.51,11.41,9.07,14.38,7.39,7.32,12.06,12.67,11.15,11.45,8.18
2010,10.54,15.23,12.84,8.99,13.20,12.11,9.78,15.01,8.05,7.96,12.77,13.36,11.86,12.16,8.89
2011,10.39,15.13,12.75,8.81,13.10,12.00,9.66,14.93,7.85,7.76,12.66,13.24,11.75,12.04,8.72
2012,10.07,14.60,12.25,8.57,12.62,11.54,9.30,14.39,7.75,7.72,12.21,12.74,11.30,11.66,8.44
2013,10.68,15.19,12.84,9.20,13.20,12.16,9.91,14.94,8.37,8.30,12.83,13.34,11.93,12.25,9.06
2014,10.25,14.89,12.51,8.71,12.87,11.77,9.47,14.68,7.85,7.80,12.44,13.01,11.53,11.84,8.59
2015,10.14,14.77,12.36,8.62,12.71,11.62,9.35,14.59,7.76,7.71,12.30,12.86,11.38,11.70,8.48
2016,10.85,15.65,13.26,9.26,13.61,12.49,10.10,15.44,8.29,8.16,13.13,13.75,12.22,12.46,9.16
2017,10.63,15.35,12.96,9.07,13.31,12.20,9.87,15.14,8.16,8.08,12.86,13.46,11.96,12.24,8.96
2018,10.80,15.51,13.15,9.27,13.51,12.42,10.08,15.28,8.28,8.14,13.07,13.64,12.16,12.44,9.16
2019,10.65,15.43,13.07,9.07,13.42,12.31,9.88,15.19,8.09,7.94,12.93,13.56,12.03,12.28,8.96
2020,10.61,15.36,12.98,9.04,13.32,12.23,9.85,15.12,8.10,7.98,12.86,13.48,11.96,12.22,8.93
