Variable:,tas
,Bhutan,Bumthang,Chhukha,Dagana,Gasa,Haa,Lhuentse,Monggar,Paro,Pemagatshel,Punakha,Samdrupjongkhar,Samtse,Sarpang,Thimphu,Trashigang,Trashiyangtse,Trongsa,Tsirang,Wangduephodrang,Zhemgang
1911,11.01,6.60,14.88,13.27,1.08,7.01,9.95,16.72,2.50,19.89,4.39,18.97,15.54,18.30,2.89,13.97,10.76,11.62,16.64,9.22,16.85
1912,11.13,6.72,15.00,13.38,1.19,7.15,10.08,16.85,2.62,20.02,4.50,19.09,15.66,18.44,2.99,14.09,10.89,11.75,16.77,9.34,16.99
1913,10.90,6.50,14.76,13.15,0.98,6.91,9.86,16.63,2.39,19.80,4.29,18.87,15.42,18.20,2.78,13.87,10.67,11.52,16.53,9.11,16.76
1914,11.05,6.64,14.93,13.31,1.12,7.09,9.99,16.76,2.57,19.94,4.43,19.01,15.58,18.35,2.94,14.01,10.81,11.67,16.68,9.26,16.91
1915,11.66,7.27,15.51,13.89,1.71,7.66,10.61,17.38,3.14,20.55,5.03,19.64,16.16,18.95,3.52,14.64,11.43,12.28,17.29,9.86,17.52
1916,11.43,7.06,15.23,13.62,1.47,7.38,10.43,17.20,2.87,20.37,4.76,19.47,15.88,18.75,3.25,14.47,11.25,12.07,17.08,9.63,17.32
1917,11.04,6.67,14.84,13.23,1.08,6.98,10.04,16.82,2.45,19.98,4.37,19.08,15.46,18.34,2.85,14.08,10.87,11.66,16.66,9.22,16.92
1918,11.08,6.69,14.92,13.32,1.15,7.07,10.04,16.81,2.55,19.98,4.45,19.09,15.57,18.38,2.94,14.09,10.87,11.70,16.71,9.27,16.95
1919,11.51,7.12,15.33,13.73,1.55,7.45,10.50,17.26,2.92,20.43,4.85,19.55,15.94,18.80,3.33,14.55,11.33,12.13,17.12,9.70,17.38
1920,11.50,7.11,15.35,13.74,1.56,7.50,10.46,17.23,2.97,20.40,4.86,19.49,16.01,18.81,3.35,14.49,11.28,12.13,17.13,9.71,17.38
1921,11.49,7.09,15.36,13.74,1.55,7.51,10.44,17.21,3.00,20.38,4.87,19.46,16.02,18.79,3.38,14.46,11.25,12.11,17.12,9.70,17.35
1922,11.65,7.27,15.47,13.87,1.70,7.61,10.63,17.39,3.10,20.56,5.00,19.67,16.11,18.94,3.49,14.68,11.46,12.27,17.27,9.85,17.52
1923,11.61,7.21,15.49,13.87,1.69,7.64,10.56,17.32,3.12,20.48,5.00,19.56,16.13,18.91,3.50,14.57,11.37,12.22,17.24,9.82,17.46
1924,11.78,7.39,15.64,14.03,1.84,7.79,10.73,17.50,3.27,20.67,5.15,19.76,16.30,19.09,3.65,14.76,11.55,12.41,17.42,9.99,17.65
1925,10.89,6.52,14.73,13.11,0.93,6.87,9.87,16.64,2.35,19.81,4.24,18.90,15.38,18.18,2.74,13.90,10.68,11.51,16.51,9.08,16.76
1926,11.36,6.97,15.19,13.58,1.41,7.34,10.34,17.11,2.81,20.28,4.71,19.39,15.83,18.65,3.20,14.38,11.17,11.98,16.99,9.57,17.22
1927,11.22,6.82,15.08,13.46,1.27,7.23,10.16,16.94,2.70,20.11,4.59,19.20,15.74,18.53,3.08,14.20,10.99,11.84,16.86,9.42,17.08
1928,11.61,7.21,15.47,13.84,1.66,7.62,10.58,17.35,3.09,20.51,4.96,19.59,16.13,18.90,3.46,14.59,11.39,12.23,17.24,9.81,17.47
1929,11.35,6.96,15.19,13.57,1.39,7.34,10.31,17.08,2.82,20.26,4.70,19.34,15.85,18.65,3.20,14.33,11.13,11.97,16.97,9.54,17.22
1930,11.27,6.88,15.13,13.51,1.33,7.28,10.24,17.01,2.76,20.19,4.64,19.26,15.79,18.57,3.14,14.27,11.06,11.89,16.90,9.46,17.13
1931,11.67,7.28,15.51,13.90,1.72,7.66,10.64,17.41,3.14,20.59,5.04,19.67,16.17,18.98,3.53,14.66,11.45,12.29,17.30,9.88,17.55
1932,11.65,7.25,15.49,13.88,1.70,7.64,10.60,17.38,3.12,20.55,5.00,19.64,16.15,18.95,3.51,14.64,11.43,12.27,17.29,9.85,17.51
1933,11.35,6.97,15.16,13.55,1.39,7.29,10.35,17.12,2.76,20.29,4.70,19.41,15.78,18.63,3.17,14.41,11.19,11.96,16.95,9.52,17.22
1934,11.45,7.07,15.27,13.66,1.49,7.42,10.42,17.20,2.90,20.38,4.80,19.49,15.92,18.74,3.29,14.48,11.25,12.07,17.07,9.64,17.32
1935,11.81,7.45,15.62,14.02,1.89,7.78,10.79,17.56,3.27,20.72,5.19,19.79,16.25,19.11,3.67,14.81,11.61,12.44,17.45,10.02,17.68
1936,11.62,7.26,15.43,13.83,1.69,7.59,10.62,17.38,3.06,20.53,4.99,19.61,16.06,18.91,3.46,14.62,11.43,12.25,17.25,9.83,17.49
1937,11.72,7.38,15.49,13.90,1.78,7.64,10.76,17.50,3.13,20.65,5.06,19.75,16.11,19.01,3.54,14.77,11.58,12.36,17.34,9.92,17.60
1938,11.75,7.38,15.56,13.96,1.82,7.71,10.75,17.50,3.20,20.66,5.10,19.74,16.20,19.05,3.59,14.75,11.57,12.38,17.38,9.96,17.62
1939,11.71,7.32,15.56,13.95,1.76,7.70,10.68,17.44,3.17,20.60,5.07,19.69,16.19,19.01,3.56,14.70,11.50,12.33,17.34,9.92,17.56
1940,11.57,7.19,15.42,13.81,1.63,7.56,10.53,17.30,3.03,20.47,4.95,19.54,16.05,18.88,3.42,14.54,11.34,12.20,17.21,9.78,17.45
1941,11.80,7.39,15.69,14.06,1.87,7.84,10.73,17.50,3.32,20.68,5.19,19.74,16.35,19.10,3.69,14.73,11.53,12.42,17.43,10.01,17.66
1942,11.92,7.54,15.78,14.16,1.99,7.94,10.89,17.65,3.41,20.81,5.30,19.89,16.44,19.22,3.79,14.89,11.70,12.55,17.55,10.13,17.79
1943,11.65,7.27,15.51,13.89,1.73,7.66,10.61,17.37,3.14,20.53,5.04,19.61,16.17,18.94,3.53,14.62,11.42,12.28,17.28,9.87,17.50
1944,11.86,7.48,15.71,14.09,1.93,7.86,10.84,17.59,3.34,20.75,5.24,19.83,16.36,19.16,3.73,14.84,11.65,12.48,17.49,10.07,17.72
1945,11.61,7.22,15.43,13.83,1.68,7.56,10.59,17.34,3.05,20.51,4.97,19.61,16.07,18.91,3.46,14.62,11.41,12.24,17.24,9.82,17.48
1946,11.90,7.52,15.71,14.09,1.95,7.86,10.90,17.66,3.35,20.82,5.25,19.91,16.35,19.17,3.74,14.92,11.73,12.52,17.50,10.09,17.77
1947,11.98,7.59,15.83,14.21,2.04,7.98,10.94,17.71,3.46,20.87,5.35,19.93,16.48,19.28,3.84,14.94,11.75,12.60,17.61,10.19,17.84
1948,11.51,7.12,15.38,13.76,1.61,7.55,10.46,17.22,3.03,20.38,4.91,19.45,16.04,18.79,3.41,14.45,11.27,12.12,17.11,9.71,17.36
1949,11.06,6.67,14.92,13.30,1.12,7.07,10.01,16.78,2.55,19.95,4.43,19.02,15.58,18.36,2.93,14.03,10.83,11.69,16.70,9.27,16.92
1950,11.41,7.02,15.28,13.67,1.48,7.43,10.37,17.13,2.91,20.29,4.79,19.36,15.92,18.71,3.29,14.36,11.18,12.03,17.05,9.62,17.27
1951,11.63,7.22,15.51,13.90,1.72,7.66,10.58,17.34,3.14,20.48,5.04,19.52,16.17,18.95,3.53,14.54,11.38,12.26,17.30,9.86,17.47
1952,11.69,7.33,15.48,13.88,1.78,7.64,10.67,17.42,3.11,20.59,5.07,19.70,16.12,18.96,3.52,14.70,11.48,12.33,17.30,9.91,17.56
1953,11.77,7.42,15.61,13.99,1.86,7.79,10.75,17.48,3.27,20.66,5.16,19.73,16.28,19.04,3.65,14.74,11.54,12.38,17.36,9.99,17.62
1954,11.64,7.22,15.46,13.86,1.76,7.65,10.62,17.39,3.14,20.53,5.05,19.60,16.12,18.92,3.53,14.62,11.44,12.23,17.23,9.86,17.48
1955,11.48,7.05,15.39,13.78,1.53,7.55,10.36,17.14,3.01,20.37,4.86,19.45,16.04,18.82,3.38,14.37,11.17,12.12,17.15,9.69,17.39
1956,11.69,7.30,15.51,13.87,1.76,7.82,10.68,17.45,3.30,20.52,5.08,19.63,16.21,18.92,3.60,14.67,11.50,12.29,17.28,9.87,17.49
1957,11.57,7.18,15.43,13.80,1.59,7.61,10.53,17.30,3.10,20.44,4.93,19.50,16.18,18.86,3.45,14.53,11.33,12.19,17.21,9.77,17.41
1958,12.18,7.74,16.09,14.45,2.25,8.22,11.12,17.86,3.70,21.04,5.57,20.08,16.84,19.48,4.08,15.08,11.93,12.79,17.84,10.41,18.01
1959,11.66,7.30,15.50,13.91,1.69,7.61,10.64,17.40,3.10,20.51,5.00,19.58,16.16,18.95,3.50,14.63,11.45,12.32,17.32,9.89,17.51
1960,11.89,7.52,15.72,14.13,1.78,7.82,10.88,17.69,3.30,20.84,5.08,19.95,16.35,19.24,3.67,14.96,11.71,12.55,17.57,10.08,17.82
1961,11.69,7.36,15.46,13.87,1.67,7.59,10.75,17.47,3.07,20.64,4.98,19.72,16.08,19.02,3.47,14.74,11.56,12.33,17.35,9.86,17.59
1962,11.37,7.01,15.23,13.69,1.24,7.22,10.37,17.13,2.70,20.37,4.55,19.42,15.77,18.76,3.14,14.38,11.18,12.04,17.09,9.62,17.30
1963,11.10,6.68,15.01,13.44,0.89,6.96,10.01,16.89,2.43,20.18,4.26,19.24,15.61,18.57,2.86,14.13,10.84,11.76,16.87,9.32,17.10
1964,11.67,7.35,15.47,13.88,1.76,7.63,10.70,17.42,3.12,20.58,5.02,19.58,16.12,19.00,3.52,14.51,11.45,12.35,17.35,9.94,17.55
1965,10.89,6.48,14.77,13.15,0.78,6.81,9.82,16.67,2.27,19.91,4.07,18.96,15.47,18.32,2.64,13.88,10.64,11.55,16.64,9.09,16.85
1966,11.57,7.18,15.45,13.88,1.49,7.47,10.54,17.33,2.95,20.54,4.81,19.60,16.06,18.97,3.38,14.57,11.34,12.23,17.29,9.80,17.50
1967,11.05,6.69,14.94,13.36,1.01,6.93,10.04,16.82,2.42,19.98,4.31,19.07,15.52,18.40,2.85,14.07,10.83,11.71,16.73,9.28,16.96
1968,10.97,6.60,14.84,13.26,0.88,6.87,9.96,16.75,2.34,19.92,4.21,19.00,15.46,18.33,2.75,14.01,10.76,11.63,16.66,9.19,16.89
1969,11.67,7.33,15.52,13.96,1.67,7.56,10.68,17.40,3.05,20.56,4.96,19.63,16.11,18.99,3.50,14.63,11.48,12.34,17.34,9.94,17.54
1970,11.52,7.11,15.40,13.78,1.63,7.57,10.48,17.22,3.05,20.38,4.96,19.43,16.11,18.81,3.44,14.44,11.27,12.13,17.16,9.74,17.35
1971,11.19,6.81,15.04,13.42,1.30,7.21,10.16,16.94,2.70,20.03,4.61,19.14,15.62,18.43,3.08,14.22,10.99,11.81,16.76,9.39,17.04
1972,11.70,7.31,15.56,13.96,1.87,7.77,10.66,17.35,3.26,20.49,5.18,19.56,16.15,18.95,3.65,14.57,11.45,12.31,17.31,9.95,17.48
1973,11.75,7.38,15.60,14.01,1.86,7.77,10.74,17.44,3.26,20.59,5.13,19.66,16.17,19.02,3.65,14.68,11.53,12.38,17.38,10.00,17.57
1974,11.74,7.41,15.55,13.95,2.00,7.80,10.77,17.43,3.29,20.50,5.22,19.53,16.15,18.91,3.68,14.59,11.55,12.38,17.27,10.05,17.50
1975,11.70,7.31,15.56,13.92,1.88,7.78,10.67,17.39,3.26,20.52,5.18,19.58,16.22,18.94,3.62,14.62,11.47,12.30,17.29,9.91,17.50
1976,11.66,7.25,15.52,13.89,1.80,7.71,10.60,17.33,3.19,20.51,5.12,19.57,16.17,18.94,3.57,14.58,11.41,12.27,17.29,9.86,17.49
1977,11.38,6.94,15.32,13.68,1.56,7.48,10.28,17.02,3.00,20.19,4.88,19.25,16.00,18.65,3.38,14.27,11.09,11.96,17.00,9.59,17.17
1978,11.26,6.85,15.15,13.53,1.29,7.25,10.20,16.99,2.72,20.17,4.62,19.25,15.79,18.59,3.11,14.24,11.01,11.87,16.90,9.45,17.15
1979,11.84,7.36,15.79,14.15,1.85,7.93,10.71,17.52,3.40,20.77,5.18,19.83,16.48,19.21,3.74,14.76,11.53,12.42,17.54,10.02,17.71
1980,11.67,7.23,15.58,13.95,1.75,7.74,10.58,17.36,3.21,20.55,5.09,19.62,16.27,18.99,3.58,14.62,11.38,12.27,17.31,9.87,17.52
1981,11.55,7.17,15.42,13.80,1.61,7.55,10.52,17.30,3.03,20.45,4.96,19.53,16.04,18.84,3.43,14.55,11.32,12.17,17.16,9.75,17.42
1982,11.49,7.08,15.35,13.71,1.56,7.53,10.42,17.23,3.00,20.41,4.88,19.49,16.06,18.79,3.37,14.48,11.23,12.09,17.11,9.66,17.37
1983,11.20,6.78,15.05,13.41,1.23,7.24,10.11,16.96,2.71,20.19,4.54,19.25,15.76,18.55,3.05,14.20,10.93,11.80,16.84,9.35,17.13
1984,11.81,7.40,15.58,13.93,2.03,7.88,10.75,17.56,3.36,20.71,5.31,19.76,16.29,19.07,3.71,14.79,11.59,12.40,17.37,9.95,17.68
1985,11.81,7.38,15.64,13.98,2.02,7.94,10.72,17.51,3.42,20.67,5.32,19.72,16.38,19.06,3.76,14.73,11.54,12.38,17.39,9.97,17.63
1986,11.39,6.99,15.19,13.55,1.47,7.48,10.34,17.13,2.95,20.31,4.78,19.38,15.90,18.65,3.27,14.38,11.17,11.99,16.97,9.56,17.25
1987,11.64,7.23,15.48,13.87,1.64,7.65,10.60,17.38,3.12,20.58,4.95,19.66,16.14,18.98,3.48,14.63,11.45,12.26,17.30,9.84,17.53
1988,12.06,7.68,15.86,14.24,2.18,8.07,11.03,17.83,3.56,20.96,5.47,20.02,16.54,19.34,3.93,15.07,11.86,12.68,17.66,10.25,17.93
1989,11.69,7.29,15.51,13.86,1.90,7.80,10.64,17.38,3.30,20.53,5.18,19.60,16.22,18.91,3.64,14.62,11.44,12.28,17.25,9.87,17.50
1990,11.62,7.16,15.53,13.89,1.78,7.71,10.49,17.28,3.22,20.49,5.09,19.58,16.19,18.90,3.58,14.56,11.32,12.18,17.22,9.78,17.46
1991,11.32,6.90,15.11,13.38,1.59,7.58,10.23,17.00,3.05,20.12,4.91,19.18,15.96,18.48,3.31,14.24,11.05,11.87,16.79,9.45,17.12
1992,11.08,6.63,14.95,13.21,1.27,7.39,9.95,16.76,2.85,19.89,4.62,18.98,15.79,18.27,3.08,14.03,10.77,11.63,16.58,9.21,16.89
1993,11.50,7.08,15.30,13.57,1.82,7.77,10.41,17.21,3.24,20.28,5.14,19.34,16.15,18.62,3.52,14.41,11.22,12.05,16.93,9.62,17.29
1994,11.74,7.35,15.51,13.84,1.84,7.84,10.70,17.53,3.32,20.60,5.20,19.69,16.27,18.92,3.65,14.76,11.52,12.35,17.22,9.90,17.61
1995,12.02,7.65,15.80,14.14,2.12,8.16,10.99,17.73,3.63,20.91,5.40,19.96,16.57,19.27,3.92,14.96,11.80,12.65,17.59,10.23,17.88
1996,11.74,7.31,15.61,13.97,1.88,7.76,10.69,17.43,3.26,20.63,5.14,19.72,16.36,19.01,3.64,14.74,11.52,12.31,17.32,9.92,17.57
1997,11.05,6.63,14.97,13.33,1.01,7.11,9.99,16.75,2.55,19.94,4.41,19.04,15.67,18.36,2.93,14.03,10.79,11.69,16.69,9.28,16.93
1998,12.23,7.78,16.17,14.52,2.39,8.36,11.10,17.84,3.83,21.02,5.72,20.11,16.89,19.45,4.21,15.12,11.89,12.82,17.79,10.47,18.02
1999,12.38,8.01,16.23,14.62,2.50,8.44,11.34,18.07,3.92,21.19,5.79,20.33,16.94,19.63,4.29,15.31,12.13,13.02,17.99,10.61,18.21
2000,11.53,7.09,15.39,13.77,1.71,7.61,10.45,17.17,3.09,20.33,4.98,19.47,16.15,18.71,3.47,14.46,11.27,12.12,17.04,9.77,17.32
2001,12.18,7.76,16.05,14.42,2.24,8.21,11.14,17.93,3.67,21.11,5.54,20.14,16.73,19.50,4.04,15.12,11.93,12.80,17.82,10.36,18.08
2002,11.88,7.43,15.76,14.13,1.92,7.92,10.84,17.63,3.37,20.81,5.23,19.85,16.45,19.20,3.73,14.83,11.64,12.48,17.50,10.05,17.78
2003,11.93,7.51,15.81,14.17,2.05,7.98,10.89,17.65,3.45,20.82,5.31,19.89,16.49,19.20,3.81,14.88,11.69,12.53,17.53,10.12,17.78
2004,11.96,7.55,15.88,14.23,2.06,8.05,10.89,17.67,3.49,20.85,5.34,19.87,16.59,19.26,3.84,14.84,11.67,12.57,17.59,10.16,17.83
2005,12.19,7.78,16.09,14.45,2.30,8.26,11.14,17.88,3.71,21.05,5.56,20.15,16.78,19.46,4.06,15.18,11.96,12.79,17.80,10.39,18.03
2006,12.65,8.22,16.58,14.92,2.76,8.75,11.58,18.35,4.20,21.51,6.03,20.55,17.26,19.93,4.54,15.54,12.37,13.25,18.26,10.85,18.49
2007,12.51,8.12,16.43,14.79,2.67,8.59,11.44,18.18,4.05,21.36,5.91,20.39,17.11,19.81,4.41,15.38,12.21,13.12,18.15,10.73,18.34
2008,12.12,7.69,16.04,14.39,2.18,8.21,11.07,17.85,3.64,21.01,5.48,20.03,16.73,19.44,3.98,14.99,11.84,12.73,17.76,10.31,18.00
2009,12.87,8.44,16.73,15.10,2.96,8.91,11.83,18.61,4.37,21.77,6.22,20.84,17.41,20.17,4.72,15.83,12.64,13.47,18.49,11.04,18.74
2010,12.78,8.38,16.69,15.05,2.90,8.85,11.70,18.45,4.32,21.62,6.16,20.67,17.37,20.07,4.67,15.67,12.49,13.39,18.42,10.99,18.61
2011,12.06,7.61,15.92,14.28,2.12,8.09,11.04,17.83,3.53,21.00,5.38,20.05,16.61,19.38,3.88,15.04,11.85,12.66,17.68,10.21,17.97
2012,11.76,7.33,15.58,13.95,1.99,7.83,10.72,17.43,3.32,20.59,5.20,19.68,16.31,18.95,3.69,14.70,11.54,12.35,17.27,9.99,17.57
2013,11.86,7.41,15.73,14.10,2.12,7.96,10.81,17.50,3.43,20.63,5.34,19.76,16.46,19.02,3.82,14.77,11.62,12.43,17.36,10.10,17.62
2014,12.17,7.82,15.97,14.36,2.31,8.19,11.19,17.94,3.67,21.01,5.59,20.11,16.63,19.35,4.07,15.20,12.00,12.76,17.65,10.36,18.00
2015,11.92,7.57,15.73,14.12,2.04,7.90,10.92,17.68,3.38,20.77,5.29,19.86,16.38,19.13,3.77,14.92,11.73,12.55,17.46,10.13,17.76
2016,12.32,7.98,16.20,14.58,2.48,8.38,11.30,18.04,3.86,21.10,5.77,20.17,16.85,19.50,4.26,15.28,12.09,12.93,17.84,10.55,18.11
2017,12.28,7.94,16.08,14.47,2.41,8.26,11.30,18.05,3.75,21.11,5.66,20.20,16.73,19.47,4.15,15.31,12.11,12.89,17.80,10.48,18.10
2018,11.89,7.59,15.62,14.02,1.98,7.80,10.95,17.71,3.29,20.75,5.20,19.85,16.27,19.09,3.68,14.97,11.77,12.54,17.40,10.09,17.76
2019,12.08,7.73,15.89,14.28,2.22,8.08,11.07,17.82,3.57,20.91,5.50,20.01,16.54,19.27,3.97,15.08,11.89,12.69,17.61,10.29,17.90
2020,11.96,7.66,15.73,14.13,2.07,7.88,11.01,17.77,3.39,20.81,5.31,19.92,16.37,19.19,3.79,15.02,11.82,12.61,17.53,10.17,17.81
