Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1991,27.33,27.33,27.33,27.33,27.33,27.36,27.33,27.33,27.33,27.33
1992,27.26,27.26,27.26,27.26,27.26,27.28,27.26,27.26,27.26,27.26
1993,27.19,27.19,27.19,27.19,27.19,27.21,27.19,27.19,27.19,27.19
1994,27.26,27.26,27.26,27.26,27.26,27.28,27.26,27.26,27.26,27.26
1995,27.37,27.37,27.37,27.37,27.37,27.39,27.37,27.37,27.37,27.37
1996,27.31,27.31,27.31,27.31,27.31,27.33,27.31,27.31,27.31,27.31
1997,27.69,27.69,27.69,27.69,27.69,27.71,27.69,27.69,27.69,27.69
1998,27.98,27.98,27.98,27.98,27.98,28.00,27.98,27.98,27.98,27.98
1999,27.28,27.28,27.28,27.28,27.28,27.30,27.28,27.28,27.28,27.28
2000,27.46,27.46,27.46,27.46,27.46,27.48,27.46,27.46,27.46,27.46
2001,27.57,27.57,27.57,27.57,27.57,27.59,27.57,27.57,27.57,27.57
2002,27.91,27.91,27.91,27.91,27.91,27.93,27.91,27.91,27.91,27.91
2003,27.61,27.61,27.61,27.61,27.61,27.63,27.61,27.61,27.61,27.61
2004,27.59,27.59,27.59,27.59,27.59,27.60,27.59,27.59,27.59,27.59
2005,27.59,27.59,27.59,27.59,27.59,27.61,27.59,27.59,27.59,27.59
2006,27.43,27.43,27.43,27.43,27.43,27.45,27.43,27.43,27.43,27.43
2007,27.42,27.42,27.42,27.42,27.42,27.44,27.42,27.42,27.42,27.42
2008,27.28,27.28,27.28,27.28,27.28,27.30,27.28,27.28,27.28,27.28
2009,27.53,27.53,27.53,27.53,27.53,27.55,27.53,27.53,27.53,27.53
2010,27.83,27.83,27.83,27.83,27.83,27.84,27.83,27.83,27.83,27.83
2011,27.53,27.53,27.53,27.53,27.53,27.54,27.53,27.53,27.53,27.53
2012,27.62,27.62,27.62,27.62,27.62,27.64,27.62,27.62,27.62,27.62
2013,27.77,27.77,27.77,27.77,27.77,27.79,27.77,27.77,27.77,27.77
2014,27.78,27.78,27.78,27.78,27.78,27.80,27.78,27.78,27.78,27.78
2015,27.88,27.88,27.88,27.88,27.88,27.90,27.88,27.88,27.88,27.88
2016,28.09,28.09,28.09,28.09,28.09,28.11,28.09,28.09,28.09,28.09
2017,27.70,27.70,27.70,27.70,27.70,27.72,27.70,27.70,27.70,27.70
2018,27.74,27.74,27.74,27.74,27.74,27.76,27.74,27.74,27.74,27.74
2019,28.12,28.12,28.12,28.12,28.12,28.14,28.12,28.12,28.12,28.12
2020,27.93,27.93,27.93,27.93,27.93,27.95,27.93,27.93,27.93,27.93
