Variable:,tas
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1938,8.17,6.39,5.94,8.32,7.91,7.62,10.98,7.97,9.63,9.78,8.53,9.16,8.28
1939,8.26,6.48,6.01,8.43,8.02,7.73,11.05,8.07,9.69,9.81,8.64,9.29,8.40
1940,6.74,5.05,4.72,6.91,6.42,6.23,9.70,6.56,7.97,7.99,7.07,7.74,6.86
1941,7.19,5.46,5.05,7.36,6.90,6.68,10.07,7.01,8.53,8.56,7.54,8.20,7.30
1942,7.84,6.16,5.81,8.01,7.49,7.34,10.83,7.66,9.07,9.09,8.17,8.84,7.96
1943,8.81,7.07,6.71,8.96,8.52,8.26,11.70,8.60,10.16,10.25,9.15,9.81,8.92
1944,7.87,6.09,5.62,8.01,7.65,7.33,10.62,7.67,9.33,9.47,8.23,8.88,7.99
1945,8.63,6.84,6.37,8.78,8.39,8.08,11.43,8.42,10.11,10.25,8.99,9.65,8.74
1946,8.85,7.09,6.63,9.01,8.61,8.32,11.62,8.66,10.27,10.37,9.22,9.90,8.98
1947,8.76,7.06,6.64,8.93,8.46,8.26,11.57,8.58,10.07,10.15,9.11,9.80,8.89
1948,8.74,7.03,6.62,8.90,8.44,8.22,11.56,8.55,10.10,10.21,9.09,9.74,8.86
1949,8.86,7.12,6.59,9.04,8.63,8.34,11.54,8.68,10.31,10.43,9.24,9.89,9.00
1950,9.09,7.35,6.83,9.28,8.84,8.58,11.79,8.93,10.48,10.56,9.46,10.17,9.23
1951,9.12,7.31,6.91,9.30,8.83,8.68,11.87,8.93,10.52,10.64,9.49,10.16,9.24
1952,8.25,6.39,6.02,8.46,7.95,7.80,11.03,8.07,9.67,9.76,8.63,9.30,8.39
1953,8.62,6.93,6.56,8.73,8.35,8.15,11.48,8.41,9.98,10.07,8.93,9.59,8.69
1954,7.62,5.96,5.64,7.72,7.27,7.20,10.53,7.42,8.90,8.97,7.90,8.55,7.67
1955,7.86,6.14,5.84,7.97,7.53,7.48,10.78,7.66,9.17,9.27,8.15,8.81,7.92
1956,7.31,5.54,5.22,7.44,7.02,6.85,10.21,7.10,8.67,8.79,7.62,8.29,7.39
1957,8.68,6.99,6.62,8.79,8.39,8.21,11.55,8.47,10.04,10.13,9.00,9.65,8.76
1958,8.82,6.99,6.59,9.02,8.54,8.29,11.56,8.63,10.26,10.34,9.21,9.87,8.97
1959,8.81,7.09,6.74,8.92,8.54,8.31,11.67,8.60,10.18,10.27,9.13,9.78,8.89
1960,8.55,6.71,6.35,8.72,8.28,8.05,11.33,8.34,9.96,10.10,8.91,9.58,8.67
1961,9.14,7.44,7.00,9.28,8.82,8.65,11.99,8.95,10.50,10.54,9.47,10.13,9.23
1962,7.50,5.78,5.43,7.66,7.13,7.03,10.44,7.31,8.81,8.88,7.81,8.49,7.59
1963,7.90,6.21,5.85,8.03,7.55,7.47,10.83,7.70,9.21,9.26,8.20,8.87,7.96
1964,8.26,6.65,6.28,8.38,7.96,7.77,11.18,8.07,9.53,9.52,8.55,9.21,8.33
1965,7.73,5.96,5.53,7.92,7.48,7.20,10.50,7.55,9.12,9.20,8.10,8.77,7.87
1966,8.83,7.02,6.57,9.02,8.59,8.19,11.50,8.62,10.29,10.47,9.22,9.88,8.98
1967,8.78,6.97,6.51,9.01,8.52,8.15,11.43,8.59,10.23,10.39,9.19,9.85,8.95
1968,8.41,6.63,6.19,8.62,8.11,7.87,11.15,8.22,9.82,9.95,8.78,9.45,8.54
1969,7.96,6.29,5.91,8.12,7.59,7.44,10.86,7.76,9.26,9.35,8.25,8.93,8.02
1970,7.94,6.09,5.68,8.19,7.64,7.38,10.69,7.76,9.38,9.50,8.34,9.02,8.10
1971,8.35,6.70,6.28,8.47,8.04,7.86,11.21,8.16,9.70,9.78,8.66,9.32,8.42
1972,8.25,6.55,6.19,8.38,7.90,7.83,11.19,8.05,9.57,9.66,8.53,9.21,8.29
1973,8.14,6.39,6.02,8.30,7.80,7.67,11.01,7.94,9.49,9.61,8.45,9.12,8.21
1974,8.67,6.86,6.44,8.80,8.46,8.17,11.40,8.46,10.11,10.33,9.03,9.67,8.79
1975,8.90,7.17,6.78,9.06,8.58,8.43,11.72,8.70,10.25,10.38,9.21,9.88,8.98
1976,8.19,6.52,6.12,8.32,7.88,7.69,11.02,7.98,9.53,9.73,8.48,9.14,8.24
1977,8.80,7.06,6.60,8.93,8.59,8.25,11.50,8.59,10.25,10.42,9.16,9.81,8.92
1978,7.58,5.93,5.55,7.67,7.26,7.08,10.48,7.36,8.92,9.05,7.87,8.52,7.63
1979,8.40,6.61,6.19,8.57,8.13,7.89,11.16,8.21,9.82,9.95,8.76,9.42,8.52
1980,7.62,5.91,5.50,7.73,7.34,7.07,10.45,7.42,9.00,9.10,7.96,8.60,7.73
1981,8.31,6.44,5.95,8.48,8.13,7.67,10.90,8.10,9.85,10.11,8.73,9.37,8.49
1982,8.80,7.11,6.72,8.91,8.51,8.30,11.66,8.58,10.17,10.27,9.09,9.75,8.85
1983,8.92,7.16,6.65,9.05,8.73,8.29,11.56,8.71,10.40,10.60,9.29,9.93,9.06
1984,8.00,6.24,5.78,8.15,7.76,7.40,10.71,7.79,9.44,9.64,8.36,9.02,8.12
1985,7.95,6.29,5.90,8.05,7.67,7.40,10.84,7.74,9.31,9.37,8.28,8.92,8.05
1986,8.13,6.51,6.13,8.24,7.79,7.62,11.07,7.91,9.45,9.58,8.39,9.07,8.16
1987,8.15,6.48,6.07,8.25,7.84,7.63,10.99,7.94,9.51,9.60,8.46,9.12,8.22
1988,8.86,7.11,6.68,8.98,8.62,8.29,11.62,8.66,10.29,10.46,9.21,9.85,8.97
1989,9.03,7.29,6.81,9.16,8.83,8.41,11.69,8.82,10.50,10.61,9.40,10.04,9.17
1990,9.23,7.46,7.05,9.40,8.95,8.73,12.03,9.04,10.64,10.78,9.58,10.25,9.34
1991,8.32,6.64,6.21,8.46,8.01,7.84,11.17,8.13,9.66,9.75,8.64,9.30,8.40
1992,9.50,7.69,7.26,9.66,9.30,8.95,12.18,9.30,10.96,11.09,9.88,10.53,9.64
1993,8.91,7.18,6.74,9.08,8.67,8.38,11.66,8.71,10.31,10.40,9.24,9.92,9.01
1994,10.16,8.36,7.90,10.36,9.97,9.59,12.81,9.97,11.62,11.74,10.55,11.21,10.31
1995,8.91,7.06,6.62,9.12,8.69,8.34,11.56,8.70,10.38,10.55,9.29,9.96,9.05
1996,8.18,6.49,6.07,8.38,7.86,7.69,11.05,8.00,9.51,9.50,8.50,9.18,8.26
1997,9.17,7.51,7.10,9.32,8.90,8.67,11.99,8.99,10.50,10.43,9.51,10.16,9.28
1998,9.30,7.54,7.09,9.45,9.07,8.69,12.01,9.10,10.74,10.87,9.66,10.31,9.42
1999,9.30,7.53,7.10,9.46,9.07,8.70,12.01,9.10,10.72,10.84,9.67,10.32,9.43
2000,10.15,8.28,7.85,10.32,9.98,9.50,12.78,9.92,11.70,11.85,10.55,11.22,10.29
2001,9.29,7.52,7.09,9.43,9.03,8.74,12.04,9.11,10.72,10.78,9.67,10.28,9.43
2002,9.93,8.17,7.75,10.08,9.65,9.37,12.71,9.71,11.36,11.49,10.29,10.94,10.04
2003,9.51,7.78,7.39,9.66,9.21,8.98,12.40,9.33,10.84,10.91,9.85,10.50,9.63
2004,8.90,7.16,6.77,9.04,8.60,8.37,11.76,8.68,10.29,10.43,9.22,9.89,8.98
2005,8.48,6.71,6.32,8.62,8.20,7.91,11.31,8.27,9.92,10.05,8.84,9.47,8.59
2006,9.38,7.64,7.24,9.56,9.09,8.84,12.19,9.18,10.76,10.85,9.73,10.41,9.49
2007,10.04,8.26,7.85,10.18,9.74,9.45,12.79,9.82,11.51,11.60,10.40,11.05,10.14
2008,9.90,8.09,7.66,10.06,9.62,9.30,12.61,9.66,11.39,11.56,10.27,10.94,10.01
2009,9.77,7.97,7.54,9.94,9.50,9.19,12.50,9.56,11.24,11.35,10.14,10.80,9.89
2010,8.84,7.08,6.65,9.01,8.58,8.29,11.61,8.65,10.27,10.33,9.21,9.87,8.97
2011,10.02,8.27,7.85,10.21,9.80,9.47,12.81,9.85,11.37,11.50,10.40,11.04,10.19
2012,9.95,8.14,7.70,10.13,9.68,9.35,12.67,9.72,11.42,11.58,10.33,11.03,10.07
2013,9.58,7.77,7.34,9.75,9.34,8.98,12.30,9.37,11.04,11.20,9.97,10.64,9.73
2014,10.45,8.69,8.25,10.56,10.19,9.89,13.20,10.23,11.92,12.05,10.82,11.43,10.57
2015,10.28,8.52,8.08,10.38,10.04,9.67,13.01,10.04,11.77,11.91,10.66,11.28,10.40
2016,9.90,8.12,7.70,10.03,9.65,9.32,12.65,9.66,11.37,11.48,10.28,10.92,10.02
2017,9.85,8.04,7.57,9.99,9.61,9.24,12.52,9.61,11.38,11.54,10.26,10.88,9.99
2018,10.67,8.92,8.50,10.77,10.43,10.09,13.43,10.44,12.16,12.30,11.03,11.64,10.78
2019,10.50,8.67,8.22,10.60,10.30,9.87,13.15,10.28,12.02,12.19,10.93,11.54,10.69
2020,10.30,8.63,8.18,10.41,10.05,9.73,13.04,10.12,11.69,11.82,10.63,11.26,10.41
