Variable:,tas
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1919,0.21,3.55,3.09,1.60,-3.41,0.32,3.20,1.50,1.11,-0.72,4.65,-0.75,3.49,4.09,1.20,2.42,1.22,-3.11,3.99,4.78
1920,2.11,4.91,4.43,2.99,-0.82,1.84,4.60,3.17,3.19,1.80,5.99,0.78,4.83,5.47,2.96,3.92,2.56,-0.44,5.37,6.12
1921,1.34,4.92,4.45,2.85,-2.37,1.54,4.35,2.57,2.11,0.25,6.14,0.41,4.86,5.36,2.27,3.49,2.51,-2.09,5.36,6.24
1922,0.54,3.45,3.04,1.60,-2.40,0.40,3.25,1.74,1.36,-0.20,4.49,-0.63,3.41,4.11,1.39,2.57,1.17,-2.28,3.98,4.64
1923,0.33,3.41,3.05,1.46,-2.62,0.10,3.07,1.36,1.06,-0.38,4.57,-0.93,3.37,4.04,1.01,2.30,1.09,-2.47,3.98,4.67
1924,1.17,4.13,3.70,2.28,-2.17,1.08,3.94,2.37,2.21,0.70,5.15,0.02,4.06,4.77,2.08,3.21,1.86,-1.70,4.63,5.30
1925,1.25,4.56,4.27,2.66,-2.47,1.17,4.26,2.45,2.13,0.53,5.80,0.18,4.57,5.25,2.09,3.41,2.35,-1.95,5.22,5.93
1926,0.87,4.44,4.11,2.62,-3.39,1.05,4.22,2.42,1.70,-0.24,5.61,0.14,4.45,5.17,1.93,3.41,2.26,-2.89,5.05,5.77
1927,0.57,3.75,3.42,1.86,-3.09,0.50,3.48,1.88,1.61,-0.07,4.96,-0.51,3.72,4.42,1.53,2.74,1.51,-2.59,4.37,5.06
1928,0.67,3.73,3.42,1.88,-2.60,0.43,3.52,1.80,1.55,0.08,4.89,-0.53,3.71,4.46,1.43,2.75,1.53,-2.23,4.38,5.02
1929,0.92,4.01,3.42,2.06,-2.52,0.90,3.65,2.08,1.96,0.46,5.00,-0.21,3.91,4.49,1.83,2.92,1.63,-1.92,4.33,5.13
1930,2.46,5.72,5.07,3.76,-1.51,2.66,5.33,3.84,3.72,1.91,6.69,1.53,5.64,6.14,3.63,4.61,3.30,-0.79,5.97,6.81
1931,0.70,3.68,3.34,1.84,-2.32,0.44,3.46,1.74,1.50,0.10,4.78,-0.57,3.66,4.39,1.39,2.66,1.47,-2.06,4.28,4.93
1932,1.85,5.19,4.65,3.15,-1.76,1.92,4.67,2.95,2.89,1.26,6.29,0.74,5.12,5.64,2.76,3.81,2.78,-1.23,5.55,6.40
1933,1.82,5.14,4.73,3.33,-2.20,1.98,4.97,3.28,2.76,0.91,6.15,0.97,5.08,5.83,2.90,4.20,2.91,-1.58,5.67,6.31
1934,2.88,6.32,5.59,4.18,-0.79,3.05,5.66,4.05,3.92,2.21,7.42,1.84,6.24,6.57,3.87,4.84,3.79,-0.24,6.47,7.52
1935,1.49,5.01,4.46,2.98,-2.12,1.59,4.50,2.67,2.24,0.56,6.18,0.49,4.96,5.45,2.32,3.65,2.61,-1.75,5.37,6.27
1936,1.72,5.10,4.61,3.16,-1.99,1.81,4.73,3.02,2.63,0.84,6.21,0.75,5.05,5.66,2.66,3.93,2.78,-1.59,5.55,6.33
1937,1.92,4.89,4.24,2.86,-1.02,1.77,4.40,2.92,3.01,1.56,5.94,0.60,4.78,5.28,2.72,3.68,2.42,-0.72,5.18,6.01
1938,2.87,5.96,5.24,3.85,-0.09,2.80,5.32,3.77,3.96,2.46,7.06,1.54,5.87,6.19,3.72,4.52,3.43,0.21,6.11,7.17
1939,1.48,4.85,4.44,2.92,-2.44,1.58,4.51,2.84,2.58,0.67,6.06,0.52,4.79,5.43,2.51,3.73,2.56,-2.01,5.38,6.14
1940,0.17,3.17,2.94,1.48,-3.11,-0.15,3.16,1.34,0.85,-0.48,4.34,-1.01,3.21,4.03,0.84,2.38,1.11,-2.70,3.89,4.50
1941,-0.07,2.99,2.77,1.33,-3.84,-0.20,3.04,1.35,0.79,-0.81,4.13,-1.06,2.98,3.90,0.84,2.32,0.93,-3.14,3.74,4.28
1942,-0.18,2.87,2.55,1.15,-3.80,-0.26,2.88,1.19,0.74,-0.90,3.94,-1.19,2.85,3.67,0.79,2.14,0.72,-3.31,3.49,4.11
1943,2.09,5.42,4.88,3.36,-1.37,2.18,4.90,3.24,3.09,1.34,6.55,1.00,5.33,5.86,3.02,4.08,2.99,-1.11,5.80,6.64
1944,1.70,4.97,4.57,3.01,-1.59,1.62,4.57,2.75,2.50,0.93,6.20,0.52,4.93,5.54,2.47,3.70,2.68,-1.38,5.49,6.31
1945,1.61,5.17,4.90,3.30,-2.73,1.76,4.93,3.02,2.48,0.69,6.41,0.77,5.15,5.89,2.61,4.07,2.98,-1.99,5.82,6.51
1946,1.67,4.77,4.40,2.95,-1.94,1.57,4.61,2.93,2.69,1.10,5.92,0.57,4.71,5.45,2.59,3.85,2.56,-1.38,5.33,6.04
1947,0.73,3.88,3.65,2.10,-2.81,0.65,3.78,1.98,1.62,-0.10,5.07,-0.34,3.86,4.68,1.62,2.95,1.75,-2.50,4.60,5.19
1948,1.81,4.94,4.59,3.04,-1.73,1.72,4.65,2.98,2.89,1.24,6.10,0.65,4.92,5.61,2.74,3.83,2.70,-1.25,5.55,6.23
1949,2.32,6.05,5.46,3.94,-1.70,2.61,5.38,3.55,3.20,1.35,7.23,1.41,6.01,6.38,3.31,4.48,3.60,-1.19,6.34,7.34
1950,1.60,4.70,4.38,2.87,-1.67,1.37,4.50,2.79,2.45,0.91,5.91,0.43,4.70,5.41,2.39,3.75,2.52,-1.41,5.32,6.04
1951,1.09,4.68,4.27,2.76,-2.83,1.25,4.35,2.52,1.79,-0.09,5.87,0.26,4.66,5.30,2.06,3.52,2.41,-2.55,5.18,6.00
1952,0.37,3.67,3.36,1.79,-3.02,0.28,3.38,1.62,1.10,-0.66,4.88,-0.67,3.66,4.37,1.18,2.60,1.45,-2.93,4.31,5.02
1953,2.54,5.74,5.25,3.83,-1.25,2.59,5.41,3.82,3.65,1.98,6.82,1.49,5.70,6.30,3.57,4.67,3.40,-0.57,6.16,6.97
1954,1.35,4.25,3.92,2.43,-1.70,1.06,4.10,2.47,2.27,0.85,5.34,0.07,4.23,5.02,2.11,3.37,2.06,-1.41,4.87,5.48
1955,0.23,4.17,3.85,2.31,-4.51,0.71,3.85,1.91,0.99,-1.33,5.35,-0.25,4.19,4.85,1.45,2.95,1.96,-4.09,4.77,5.51
1956,0.32,3.54,3.38,1.86,-3.61,0.31,3.56,1.79,1.16,-0.61,4.68,-0.53,3.56,4.45,1.31,2.81,1.51,-3.15,4.33,4.88
1957,1.36,4.66,4.28,2.74,-2.12,1.31,4.30,2.50,2.19,0.58,5.85,0.27,4.64,5.28,2.17,3.46,2.38,-1.79,5.20,5.99
1958,0.59,3.81,3.64,2.04,-3.15,0.45,3.72,1.85,1.37,-0.15,5.01,-0.45,3.80,4.69,1.39,2.93,1.73,-2.57,4.61,5.15
1959,2.26,5.48,4.97,3.52,-1.29,2.24,5.05,3.41,3.32,1.65,6.65,1.15,5.43,5.95,3.18,4.28,3.09,-0.75,5.88,6.74
1960,1.26,4.33,3.98,2.53,-2.07,1.09,4.24,2.47,1.99,0.57,5.42,0.15,4.28,5.11,2.02,3.47,2.16,-1.69,4.94,5.54
1961,2.05,5.35,4.83,3.37,-1.63,2.12,4.90,3.32,3.18,1.36,6.49,1.02,5.30,5.82,3.08,4.14,2.96,-1.26,5.74,6.60
1962,0.43,3.60,3.42,1.85,-3.38,0.35,3.50,1.78,1.39,-0.30,4.79,-0.57,3.60,4.46,1.39,2.73,1.52,-2.94,4.40,4.96
1963,0.91,3.53,3.09,1.77,-2.50,0.69,3.48,2.24,2.26,0.78,4.54,-0.31,3.46,4.20,1.99,2.96,1.26,-1.71,4.10,4.64
1964,1.47,4.40,3.95,2.49,-1.92,1.34,4.11,2.63,2.72,1.17,5.51,0.23,4.34,4.97,2.44,3.42,2.06,-1.30,4.90,5.60
1965,0.42,3.61,3.40,1.85,-3.59,0.42,3.54,1.84,1.52,-0.31,4.76,-0.53,3.60,4.46,1.46,2.79,1.50,-3.04,4.41,4.90
1966,-0.19,3.35,3.12,1.55,-4.53,-0.02,3.23,1.37,0.64,-1.33,4.53,-0.92,3.34,4.15,0.86,2.45,1.19,-4.00,4.10,4.62
1967,1.42,4.78,4.42,2.85,-2.17,1.45,4.42,2.69,2.23,0.47,5.98,0.41,4.74,5.40,2.34,3.62,2.47,-1.95,5.39,6.08
1968,0.39,3.90,3.85,2.10,-3.93,0.43,3.77,1.85,1.26,-0.62,5.25,-0.44,3.92,4.82,1.36,2.91,1.85,-3.30,4.88,5.35
1969,0.68,4.01,3.68,2.20,-3.28,0.69,3.81,2.11,1.55,-0.16,5.19,-0.21,4.00,4.72,1.65,3.05,1.82,-2.64,4.62,5.31
1970,0.58,3.38,3.19,1.68,-2.63,0.30,3.40,1.81,1.53,0.05,4.46,-0.62,3.36,4.26,1.42,2.71,1.29,-2.26,4.18,4.61
1971,1.14,4.95,4.59,3.04,-3.74,1.61,4.60,2.78,2.14,-0.03,6.13,0.58,4.91,5.57,2.41,3.74,2.68,-2.93,5.49,6.24
1972,1.89,4.85,4.31,2.88,-1.12,1.69,4.44,2.95,2.95,1.49,5.98,0.59,4.77,5.33,2.69,3.74,2.46,-0.75,5.21,6.05
1973,1.34,4.98,4.55,2.98,-2.85,1.68,4.48,2.71,2.38,0.28,6.17,0.53,4.92,5.47,2.47,3.62,2.61,-2.45,5.43,6.28
1974,2.34,5.55,5.09,3.63,-0.85,2.22,5.20,3.38,3.14,1.59,6.68,1.17,5.50,6.12,3.04,4.37,3.24,-0.60,6.00,6.77
1975,2.14,5.96,5.35,3.80,-2.06,2.53,5.24,3.35,3.17,1.17,7.14,1.27,5.86,6.24,3.18,4.31,3.41,-1.53,6.22,7.20
1976,0.79,4.32,4.08,2.48,-3.24,0.89,4.05,2.13,1.53,-0.25,5.58,-0.08,4.31,5.05,1.68,3.19,2.15,-2.79,4.98,5.73
1977,0.74,4.30,3.90,2.36,-3.09,0.83,3.89,1.97,1.48,-0.27,5.51,-0.19,4.28,4.90,1.57,3.01,2.01,-2.75,4.82,5.63
1978,0.43,4.00,3.80,2.19,-3.76,0.53,3.82,1.84,1.04,-0.66,5.22,-0.38,4.01,4.83,1.33,2.94,1.88,-3.12,4.75,5.36
1979,0.28,3.16,2.82,1.27,-2.79,-0.04,2.88,1.31,1.27,0.00,4.33,-1.05,3.11,3.83,1.00,2.17,0.90,-2.30,3.76,4.46
1980,0.63,3.76,3.68,2.07,-3.25,0.51,3.76,1.95,1.52,-0.05,4.93,-0.39,3.75,4.75,1.50,2.94,1.77,-2.63,4.70,5.10
1981,0.16,3.69,3.43,1.79,-3.90,0.28,3.40,1.55,0.99,-0.89,4.92,-0.70,3.64,4.41,1.13,2.56,1.47,-3.52,4.41,5.04
1982,1.49,4.89,4.45,3.03,-2.44,1.55,4.62,2.81,2.37,0.71,6.00,0.56,4.86,5.55,2.42,3.80,2.64,-1.88,5.39,6.16
1983,1.61,5.40,4.82,3.34,-2.61,1.97,4.78,2.95,2.52,0.57,6.58,0.85,5.34,5.77,2.64,3.88,2.95,-2.17,5.66,6.69
1984,1.72,5.09,4.56,3.15,-1.90,1.77,4.68,2.96,2.64,0.94,6.24,0.72,5.07,5.61,2.61,3.85,2.76,-1.54,5.43,6.38
1985,-0.21,2.87,2.83,1.31,-4.11,-0.37,3.09,1.35,0.56,-1.12,4.03,-1.09,2.91,3.99,0.75,2.38,0.97,-3.63,3.86,4.24
1986,0.73,3.96,3.43,2.07,-2.84,0.75,3.61,1.99,1.69,0.07,5.02,-0.29,3.92,4.50,1.67,2.86,1.62,-2.40,4.32,5.17
1987,0.26,3.10,3.07,1.57,-3.62,0.08,3.41,1.81,1.33,-0.36,4.15,-0.73,3.10,4.26,1.33,2.75,1.24,-3.06,4.07,4.39
1988,1.60,5.22,4.93,3.36,-2.96,1.95,4.94,3.19,2.68,0.54,6.35,0.92,5.21,5.95,2.85,4.09,3.04,-2.41,5.84,6.55
1989,2.70,6.21,5.64,4.11,-0.87,2.86,5.54,3.82,3.61,1.84,7.38,1.66,6.14,6.57,3.61,4.67,3.73,-0.56,6.48,7.51
1990,2.84,6.29,5.81,4.27,-1.02,2.95,5.75,4.01,3.80,2.16,7.47,1.83,6.24,6.75,3.74,4.91,3.88,-0.34,6.69,7.59
1991,1.92,5.27,4.79,3.33,-1.89,2.00,4.88,3.17,2.94,1.25,6.38,0.92,5.22,5.81,2.89,4.07,2.93,-1.33,5.69,6.53
1992,2.30,5.78,5.33,3.77,-1.46,2.39,5.31,3.46,3.11,1.46,6.93,1.28,5.71,6.31,3.16,4.44,3.41,-0.93,6.25,7.06
1993,1.31,4.57,4.16,2.63,-2.33,1.26,4.21,2.43,2.22,0.77,5.70,0.19,4.51,5.16,2.11,3.38,2.28,-1.68,5.04,5.86
1994,1.34,4.84,4.54,2.86,-2.17,1.27,4.42,2.43,1.91,0.39,6.11,0.25,4.83,5.48,2.01,3.49,2.55,-1.88,5.50,6.23
1995,1.44,4.88,4.60,2.97,-2.41,1.51,4.52,2.65,2.33,0.59,6.08,0.46,4.85,5.58,2.33,3.62,2.66,-1.97,5.51,6.26
1996,0.86,3.79,3.40,1.95,-2.36,0.60,3.60,1.94,1.87,0.52,4.90,-0.42,3.73,4.48,1.60,2.85,1.58,-1.92,4.32,5.03
1997,2.12,5.60,5.17,3.68,-2.09,2.35,5.25,3.42,3.17,1.37,6.68,1.23,5.53,6.21,3.14,4.36,3.34,-1.35,6.03,6.87
1998,1.35,4.87,4.52,2.97,-3.27,1.66,4.58,2.85,2.59,0.65,5.96,0.58,4.81,5.54,2.56,3.77,2.63,-2.36,5.41,6.11
1999,2.00,5.49,5.17,3.62,-2.21,2.21,5.21,3.37,2.93,1.11,6.61,1.18,5.44,6.20,3.03,4.37,3.27,-1.55,6.09,6.75
2000,2.73,6.18,5.62,4.19,-1.00,2.93,5.54,3.97,3.68,1.94,7.31,1.78,6.09,6.54,3.74,4.83,3.75,-0.61,6.49,7.31
2001,1.44,4.75,4.34,2.74,-2.14,1.49,4.37,2.62,2.35,0.69,5.88,0.34,4.63,5.37,2.36,3.55,2.43,-1.72,5.29,5.94
2002,2.15,5.63,5.29,3.74,-2.08,2.40,5.30,3.60,3.20,1.28,6.80,1.31,5.56,6.27,3.27,4.49,3.39,-1.50,6.22,6.89
2003,2.28,5.36,5.07,3.62,-1.47,2.33,5.30,3.67,3.26,1.56,6.47,1.34,5.30,6.11,3.31,4.58,3.19,-0.99,5.99,6.63
2004,2.33,5.44,5.20,3.68,-1.29,2.33,5.32,3.65,3.25,1.55,6.59,1.34,5.38,6.22,3.28,4.56,3.31,-0.94,6.11,6.74
2005,2.44,5.55,5.17,3.66,-0.91,2.42,5.23,3.59,3.39,1.79,6.70,1.33,5.45,6.15,3.31,4.47,3.29,-0.62,6.07,6.80
2006,2.76,6.05,5.72,4.23,-1.24,2.95,5.82,4.19,3.80,1.93,7.18,1.90,5.97,6.72,3.85,5.06,3.84,-0.73,6.65,7.31
2007,2.43,5.71,5.46,3.77,-1.13,2.41,5.33,3.56,3.33,1.69,6.96,1.29,5.65,6.45,3.26,4.43,3.54,-0.77,6.43,7.05
2008,2.59,6.14,5.85,4.21,-1.64,2.80,5.75,4.00,3.64,1.66,7.35,1.72,6.07,6.83,3.69,4.89,3.94,-1.12,6.79,7.44
2009,2.12,5.36,5.11,3.55,-1.71,2.08,5.24,3.46,3.10,1.34,6.54,1.11,5.32,6.19,3.05,4.43,3.20,-1.19,6.10,6.67
2010,0.25,3.20,3.07,1.47,-2.74,-0.14,3.25,1.31,0.94,-0.47,4.43,-1.07,3.16,4.18,0.82,2.37,1.16,-2.60,4.09,4.63
2011,2.85,5.87,5.40,3.91,-0.56,2.79,5.52,3.98,4.00,2.44,7.03,1.65,5.76,6.43,3.81,4.80,3.52,-0.03,6.34,7.05
2012,1.50,4.87,4.57,2.98,-2.17,1.53,4.60,2.79,2.31,0.54,6.08,0.50,4.82,5.61,2.40,3.74,2.67,-1.92,5.51,6.19
2013,2.20,5.14,4.73,3.22,-0.84,2.01,4.82,3.24,3.19,1.73,6.31,0.91,5.04,5.79,3.02,4.06,2.84,-0.55,5.67,6.35
2014,3.23,6.92,6.43,4.93,-1.10,3.55,6.41,4.70,4.23,2.21,8.03,2.49,6.87,7.39,4.36,5.60,4.55,-0.52,7.36,8.10
2015,2.83,5.97,5.49,4.13,-0.68,2.78,5.67,4.08,3.81,2.22,7.04,1.79,5.92,6.50,3.74,4.96,3.66,-0.22,6.41,7.16
2016,2.52,5.56,5.22,3.73,-0.60,2.32,5.32,3.63,3.34,1.81,6.73,1.34,5.53,6.23,3.28,4.56,3.33,-0.29,6.15,6.86
2017,2.18,5.42,5.07,3.62,-1.67,2.24,5.25,3.56,3.21,1.36,6.57,1.26,5.41,6.14,3.22,4.50,3.21,-1.18,6.02,6.71
2018,2.44,5.72,5.39,3.82,-1.00,2.38,5.35,3.58,3.27,1.58,6.96,1.35,5.70,6.32,3.24,4.53,3.47,-0.67,6.31,7.08
2019,2.18,5.82,5.52,3.88,-2.09,2.41,5.43,3.67,3.15,1.08,7.05,1.41,5.80,6.41,3.25,4.62,3.57,-1.61,6.45,7.17
2020,3.32,6.78,6.29,4.79,-0.49,3.50,6.23,4.66,4.28,2.44,7.88,2.42,6.73,7.16,4.34,5.51,4.38,-0.10,7.22,7.97
