Variable:,tas
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1942,2.21,2.86,2.89,2.28,1.33,2.46,3.08,1.22,4.54,3.95,3.11,3.11,2.69,1.49,1.89,3.11,1.64,3.42,2.32,2.37,0.99,2.66,2.46,2.66,3.38
1943,1.41,2.06,2.08,1.46,0.58,1.65,2.26,0.40,3.75,3.15,2.29,2.29,1.89,0.72,1.09,2.33,0.82,2.62,1.49,1.59,0.20,1.86,1.63,1.86,2.61
1944,1.52,2.17,2.20,1.59,0.63,1.77,2.39,0.53,3.86,3.27,2.42,2.42,2.01,0.80,1.20,2.42,0.95,2.74,1.62,1.68,0.30,1.97,1.76,1.97,2.68
1945,2.72,3.37,3.39,2.78,1.86,2.96,3.58,1.71,5.06,4.46,3.60,3.60,3.19,2.02,2.40,3.62,2.14,3.92,2.81,2.90,1.51,3.14,2.95,3.14,3.90
1946,2.84,3.49,3.52,2.91,1.96,3.10,3.70,1.84,5.19,4.58,3.75,3.75,3.33,2.12,2.55,3.74,2.26,4.06,2.94,2.99,1.63,3.29,3.09,3.29,4.00
1947,2.07,2.70,2.91,2.22,1.06,2.35,3.03,1.19,4.42,3.83,3.01,3.01,2.76,1.25,1.93,2.83,1.59,3.35,2.31,2.09,0.86,2.71,2.40,2.72,3.10
1948,2.01,2.65,2.73,2.10,1.10,2.26,2.90,1.05,4.37,3.74,2.91,2.91,2.55,1.28,1.75,2.87,1.46,3.24,2.15,2.15,0.80,2.52,2.27,2.52,3.15
1949,1.17,1.76,1.77,1.22,0.36,1.34,1.93,0.18,3.46,2.84,1.97,1.97,1.59,0.54,0.93,2.03,0.58,2.28,1.22,1.42,0.00,1.52,1.37,1.53,2.36
1950,1.76,2.41,2.43,1.82,0.93,2.00,2.59,0.73,4.17,3.52,2.63,2.63,2.26,1.06,1.44,2.67,1.14,2.95,1.85,1.95,0.50,2.20,1.99,2.21,3.01
1951,1.28,1.92,1.92,1.27,0.49,1.48,2.06,0.22,3.65,3.02,2.11,2.11,1.72,0.61,0.98,2.20,0.64,2.42,1.31,1.50,0.07,1.69,1.43,1.70,2.56
1952,1.49,2.13,2.22,1.55,0.65,1.73,2.37,0.45,3.85,3.28,2.38,2.38,2.03,0.79,1.18,2.37,0.88,2.74,1.61,1.67,0.24,2.00,1.73,1.99,2.69
1953,2.56,3.11,3.13,2.63,1.74,2.67,3.29,1.63,4.75,4.18,3.29,3.29,2.94,1.99,2.43,3.36,2.02,3.63,2.58,2.84,1.45,2.87,2.74,2.87,3.67
1954,1.91,2.51,2.56,1.98,1.06,2.09,2.75,0.92,4.22,3.64,2.73,2.73,2.35,1.28,1.70,2.75,1.33,3.13,1.92,2.14,0.71,2.35,2.10,2.35,3.05
1955,1.58,2.09,2.41,1.72,0.59,1.74,2.47,0.78,3.78,3.21,2.42,2.42,2.26,0.90,1.44,2.31,1.18,2.80,1.77,1.74,0.40,2.20,1.85,2.21,2.56
1956,2.31,2.90,2.94,2.40,1.45,2.54,3.14,1.33,4.60,4.03,3.18,3.18,2.75,1.69,2.09,3.13,1.75,3.51,2.35,2.56,1.13,2.73,2.57,2.74,3.40
1957,2.03,2.58,2.96,2.20,1.01,2.24,3.03,1.15,4.34,3.74,2.93,2.93,2.80,1.29,1.83,2.78,1.56,3.36,2.34,2.14,0.79,2.75,2.38,2.76,3.02
1958,1.76,2.49,2.51,1.74,0.94,2.06,2.69,0.61,4.30,3.67,2.75,2.75,2.33,1.02,1.37,2.75,1.06,3.18,1.88,1.92,0.41,2.35,1.95,2.35,3.05
1959,2.34,2.79,2.95,2.33,1.60,2.35,3.05,1.40,4.39,3.84,3.00,3.00,2.75,1.86,2.27,3.11,1.77,3.33,2.35,2.74,1.24,2.71,2.44,2.72,3.44
1960,2.70,3.32,3.55,2.74,1.85,2.91,3.63,1.64,5.04,4.44,3.60,3.60,3.38,1.98,2.36,3.59,2.08,3.99,2.89,2.86,1.39,3.34,2.93,3.34,3.90
1961,2.10,2.58,2.89,2.00,1.47,2.15,2.91,1.00,4.33,3.69,2.86,2.86,2.75,1.58,1.80,2.93,1.38,3.29,2.21,2.62,0.81,2.72,2.16,2.73,3.30
1962,1.56,2.16,2.39,1.62,0.68,1.81,2.53,0.56,3.93,3.31,2.54,2.54,2.21,0.82,1.27,2.37,0.98,2.93,1.80,1.78,0.28,2.14,1.78,2.15,2.66
1963,1.56,2.34,2.12,1.35,0.96,1.83,2.34,0.28,4.14,3.51,2.47,2.47,1.94,0.92,1.08,2.73,0.66,2.86,1.45,1.89,0.19,2.04,1.57,2.03,3.09
1964,2.46,3.13,3.27,2.50,1.56,2.77,3.46,1.41,4.92,4.35,3.47,3.47,3.08,1.69,2.08,3.31,1.84,3.88,2.63,2.63,1.17,3.12,2.72,3.12,3.59
1965,1.33,2.35,2.08,1.22,0.39,1.83,2.29,0.11,4.14,3.57,2.43,2.43,1.93,0.27,0.70,2.65,0.52,2.89,1.34,1.11,-0.04,2.20,1.47,2.17,2.89
1966,0.77,1.46,1.51,0.62,0.15,0.96,1.57,-0.48,3.39,2.69,1.63,1.63,1.39,0.08,0.29,1.87,-0.06,2.12,0.84,1.09,-0.65,1.43,0.79,1.44,2.23
1967,0.82,1.61,1.48,0.73,0.17,1.13,1.66,-0.42,3.48,2.82,1.75,1.75,1.29,-0.01,0.28,1.98,0.04,2.16,0.84,0.98,-0.56,1.36,0.92,1.34,2.33
1968,0.91,1.94,1.62,0.93,0.02,1.45,1.93,-0.38,3.78,3.11,2.07,2.07,1.39,-0.13,0.22,2.26,0.13,2.44,0.96,0.67,-0.54,1.56,1.18,1.54,2.54
1969,0.56,1.33,1.09,0.40,-0.19,0.81,1.36,-0.61,3.19,2.50,1.45,1.45,0.88,-0.18,0.16,1.71,-0.24,1.89,0.46,0.68,-0.71,1.05,0.62,1.01,2.04
1970,0.96,1.67,1.69,0.95,0.22,1.23,1.87,-0.21,3.42,2.79,1.89,1.89,1.50,0.21,0.50,1.98,0.25,2.29,1.08,1.15,-0.39,1.54,1.16,1.53,2.32
1971,1.28,2.18,1.63,1.17,0.60,1.63,2.02,0.02,3.96,3.29,2.19,2.19,1.36,0.60,0.80,2.54,0.48,2.47,1.05,1.49,-0.04,1.43,1.37,1.40,2.84
1972,2.57,3.03,3.11,2.59,1.85,2.64,3.31,1.63,4.62,4.04,3.32,3.32,2.90,2.13,2.45,3.26,2.00,3.58,2.56,3.07,1.48,2.84,2.70,2.84,3.57
1973,1.04,1.74,1.66,1.11,0.21,1.34,1.94,-0.02,3.50,2.84,1.98,1.98,1.42,0.35,0.68,1.99,0.42,2.25,1.12,1.24,-0.21,1.33,1.30,1.33,2.27
1974,2.34,2.96,3.05,2.47,1.42,2.60,3.27,1.37,4.57,3.99,3.26,3.26,2.84,1.68,2.10,3.13,1.80,3.55,2.48,2.59,1.13,2.80,2.64,2.80,3.36
1975,1.37,2.15,1.85,1.42,0.58,1.70,2.19,0.24,3.77,3.19,2.30,2.30,1.60,0.73,0.98,2.40,0.71,2.53,1.31,1.61,0.11,1.60,1.59,1.58,2.68
1976,2.15,2.56,2.83,2.27,1.11,2.20,2.97,1.48,4.10,3.54,2.89,2.89,2.64,1.63,2.22,2.71,1.77,3.20,2.25,2.40,1.25,2.57,2.41,2.58,2.91
1977,1.53,2.30,2.19,1.57,0.78,1.82,2.37,0.37,3.94,3.33,2.44,2.44,2.01,0.77,1.06,2.62,0.83,2.74,1.60,1.68,0.20,2.02,1.74,2.01,2.91
1978,1.66,2.24,2.54,1.80,0.75,1.88,2.66,0.72,3.90,3.29,2.59,2.59,2.35,0.87,1.33,2.50,1.15,2.94,1.92,1.75,0.44,2.32,1.97,2.32,2.77
1979,-0.09,0.55,0.88,-0.05,-0.85,0.18,0.92,-1.28,2.33,1.68,0.89,0.89,0.73,-0.88,-0.68,0.88,-0.79,1.32,0.22,0.09,-1.51,0.74,0.22,0.73,1.19
1980,1.67,2.23,2.50,1.82,0.72,1.87,2.57,0.79,3.91,3.29,2.56,2.56,2.32,0.90,1.43,2.48,1.19,2.88,1.90,1.75,0.50,2.18,1.98,2.19,2.74
1981,0.49,1.15,0.99,0.48,-0.25,0.72,1.23,-0.57,2.90,2.27,1.34,1.34,0.77,-0.11,0.23,1.42,-0.16,1.63,0.41,0.76,-0.70,0.73,0.64,0.72,1.71
1982,1.26,1.82,1.83,1.24,0.47,1.42,2.04,0.26,3.49,2.92,2.06,2.06,1.60,0.75,1.10,2.05,0.64,2.43,1.22,1.61,0.13,1.65,1.43,1.63,2.32
1983,0.71,1.26,1.31,0.78,-0.08,0.83,1.47,-0.23,2.96,2.31,1.49,1.49,1.12,0.18,0.52,1.53,0.19,1.80,0.75,1.07,-0.47,1.01,0.89,1.02,1.82
1984,1.97,2.09,2.50,1.92,1.19,1.69,2.47,1.28,3.60,3.04,2.37,2.37,2.38,1.91,2.33,2.36,1.53,2.67,1.89,2.72,1.15,2.18,1.95,2.21,2.65
1985,1.36,2.08,2.38,1.46,0.43,1.71,2.41,0.23,3.85,3.23,2.39,2.39,2.24,0.50,0.87,2.31,0.72,2.77,1.71,1.39,-0.06,2.20,1.72,2.21,2.57
1986,1.40,1.83,2.09,1.39,0.74,1.43,2.17,0.39,3.61,2.91,2.12,2.12,1.92,0.96,1.21,2.15,0.79,2.48,1.48,1.90,0.20,1.79,1.55,1.80,2.50
1987,2.57,3.17,3.31,2.71,1.50,2.84,3.49,1.72,4.77,4.27,3.50,3.50,3.10,1.88,2.49,3.31,2.10,3.79,2.71,2.62,1.48,3.05,2.89,3.04,3.52
1988,1.13,1.88,1.70,1.15,0.31,1.41,1.94,0.09,3.59,2.94,2.05,2.05,1.47,0.36,0.75,2.19,0.51,2.34,1.10,1.20,-0.08,1.49,1.33,1.46,2.46
1989,1.27,1.63,1.78,1.25,0.65,1.25,1.97,0.33,3.31,2.70,1.94,1.94,1.57,0.97,1.19,1.92,0.69,2.28,1.22,1.90,0.19,1.52,1.36,1.51,2.27
1990,1.65,2.11,2.34,1.73,0.78,1.77,2.52,0.79,3.80,3.20,2.48,2.48,2.14,1.04,1.51,2.35,1.17,2.81,1.79,1.92,0.55,2.07,1.89,2.07,2.65
1991,2.46,2.93,3.04,2.56,1.60,2.55,3.25,1.65,4.49,3.96,3.22,3.22,2.81,1.93,2.42,3.13,2.00,3.48,2.51,2.77,1.45,2.72,2.68,2.73,3.40
1992,1.69,2.08,2.26,1.76,0.84,1.74,2.46,0.89,3.70,3.14,2.41,2.41,2.03,1.28,1.69,2.27,1.21,2.73,1.72,2.15,0.68,1.95,1.91,1.95,2.54
1993,1.59,2.19,2.22,1.66,0.68,1.81,2.44,0.74,3.83,3.26,2.46,2.46,2.01,0.93,1.39,2.36,1.11,2.79,1.64,1.80,0.51,2.02,1.83,2.01,2.61
1994,1.47,1.92,1.97,1.46,0.75,1.48,2.14,0.55,3.54,2.90,2.14,2.14,1.81,1.05,1.38,2.20,0.93,2.44,1.45,1.98,0.38,1.72,1.59,1.73,2.51
1995,0.98,1.48,1.57,1.00,0.22,1.07,1.75,0.06,3.19,2.53,1.74,1.74,1.41,0.44,0.79,1.76,0.45,2.09,1.02,1.37,-0.17,1.36,1.16,1.37,2.06
1996,2.18,2.73,2.94,2.33,1.24,2.37,3.12,1.31,4.37,3.79,3.05,3.05,2.77,1.43,1.95,2.97,1.72,3.41,2.40,2.27,1.00,2.71,2.51,2.72,3.25
1997,2.13,2.81,2.71,2.22,1.23,2.39,2.95,1.12,4.49,3.88,3.02,3.02,2.53,1.43,1.87,3.03,1.57,3.30,2.17,2.28,0.94,2.47,2.36,2.48,3.29
1998,1.49,2.35,2.20,1.56,0.64,1.89,2.42,0.29,4.12,3.43,2.54,2.54,2.02,0.58,0.91,2.64,0.84,2.87,1.63,1.48,0.10,1.99,1.79,1.98,2.93
1999,1.69,2.18,2.36,1.78,0.76,1.81,2.51,0.85,3.83,3.25,2.46,2.46,2.18,1.14,1.61,2.38,1.22,2.80,1.81,1.98,0.57,2.11,1.94,2.13,2.63
2000,2.02,2.42,2.78,2.20,1.00,2.09,2.89,1.31,4.04,3.46,2.75,2.75,2.60,1.44,2.03,2.61,1.64,3.09,2.23,2.22,1.04,2.51,2.33,2.53,2.85
2001,2.25,2.93,2.97,2.39,1.33,2.52,3.13,1.28,4.59,3.99,3.15,3.15,2.79,1.49,1.89,3.16,1.73,3.47,2.41,2.38,1.02,2.72,2.56,2.73,3.43
2002,2.51,3.16,3.07,2.52,1.72,2.69,3.27,1.51,4.81,4.19,3.31,3.31,2.87,1.85,2.21,3.47,1.89,3.60,2.49,2.74,1.35,2.82,2.68,2.83,3.75
2003,3.22,3.79,4.07,3.41,2.14,3.48,4.21,2.40,5.49,4.90,4.14,4.14,3.87,2.49,3.01,3.92,2.80,4.49,3.47,3.33,2.07,3.82,3.60,3.84,4.11
2004,2.86,3.40,3.57,3.02,1.87,3.02,3.72,2.08,5.05,4.45,3.66,3.66,3.38,2.22,2.69,3.61,2.45,3.98,2.99,3.06,1.77,3.30,3.14,3.32,3.83
2005,2.05,2.69,2.87,2.16,1.11,2.35,3.02,1.08,4.40,3.80,3.01,3.01,2.68,1.30,1.72,2.90,1.49,3.34,2.27,2.18,0.80,2.65,2.39,2.65,3.15
2006,2.64,3.18,3.19,2.69,1.83,2.79,3.38,1.68,4.85,4.24,3.41,3.41,3.02,2.06,2.47,3.47,2.08,3.72,2.64,2.93,1.53,2.95,2.81,2.95,3.78
2007,2.52,3.11,3.26,2.62,1.56,2.78,3.42,1.56,4.84,4.24,3.45,3.45,3.08,1.84,2.25,3.33,1.98,3.79,2.66,2.72,1.32,3.02,2.80,3.03,3.56
2008,2.28,2.86,3.17,2.45,1.25,2.59,3.32,1.35,4.63,4.06,3.28,3.28,2.99,1.54,2.01,3.03,1.77,3.63,2.57,2.40,1.05,2.94,2.66,2.95,3.28
2009,2.54,3.18,3.18,2.54,1.69,2.79,3.41,1.48,4.94,4.31,3.44,3.44,2.99,1.88,2.26,3.46,1.89,3.75,2.60,2.76,1.32,2.99,2.74,2.99,3.76
2010,2.73,3.41,3.62,2.88,1.71,3.15,3.81,1.72,5.20,4.64,3.85,3.85,3.41,1.87,2.30,3.60,2.18,4.18,3.01,2.74,1.42,3.41,3.13,3.41,3.84
2011,2.37,2.98,3.00,2.42,1.52,2.61,3.21,1.37,4.70,4.09,3.27,3.27,2.83,1.72,2.10,3.24,1.78,3.57,2.44,2.60,1.19,2.80,2.59,2.80,3.54
2012,2.49,3.11,3.36,2.64,1.51,2.81,3.53,1.53,4.86,4.27,3.51,3.51,3.16,1.66,2.15,3.32,1.98,3.86,2.76,2.54,1.21,3.14,2.89,3.14,3.58
2013,2.15,2.75,2.86,2.20,1.27,2.39,3.03,1.22,4.43,3.87,3.04,3.04,2.65,1.48,1.92,2.99,1.58,3.36,2.25,2.35,0.97,2.62,2.40,2.62,3.28
2014,3.25,3.84,3.93,3.31,2.39,3.45,4.10,2.31,5.48,4.92,4.11,4.11,3.73,2.59,2.99,4.10,2.70,4.42,3.35,3.46,2.08,3.68,3.48,3.69,4.38
2015,1.90,2.49,2.52,1.93,1.06,2.08,2.70,0.97,4.14,3.54,2.71,2.71,2.33,1.29,1.68,2.75,1.33,3.02,1.94,2.15,0.76,2.29,2.09,2.30,3.05
2016,3.15,3.76,3.86,3.24,2.23,3.38,4.03,2.22,5.43,4.87,4.04,4.04,3.68,2.46,2.92,3.99,2.61,4.37,3.28,3.30,1.96,3.63,3.40,3.64,4.24
2017,2.94,3.53,3.68,3.02,2.02,3.14,3.82,2.01,5.19,4.62,3.79,3.79,3.50,2.27,2.74,3.77,2.39,4.12,3.10,3.13,1.76,3.45,3.20,3.46,4.02
2018,2.74,3.26,3.52,2.83,1.77,2.87,3.56,1.84,4.94,4.32,3.53,3.53,3.38,2.10,2.61,3.50,2.22,3.90,2.93,2.94,1.59,3.31,2.95,3.33,3.73
2019,2.78,3.40,3.56,2.87,1.83,3.03,3.69,1.82,5.13,4.51,3.69,3.69,3.39,2.04,2.51,3.62,2.24,4.06,2.97,2.88,1.57,3.36,3.05,3.36,3.86
2020,2.50,3.10,3.27,2.59,1.56,2.73,3.40,1.56,4.79,4.18,3.38,3.38,3.10,1.80,2.27,3.33,1.96,3.73,2.68,2.64,1.31,3.07,2.77,3.08,3.58
