Variable:,tas
,Israel,"Central District",Haifa,Jerusalem,Northern,"Southern District","Tel Aviv"
1937,20.16,19.96,19.87,19.67,19.08,20.44,19.96
1938,19.38,19.19,19.10,18.90,18.31,19.66,19.20
1939,20.18,19.96,19.84,19.69,19.03,20.48,19.95
1940,19.87,19.66,19.55,19.38,18.77,20.16,19.66
1941,20.01,19.76,19.59,19.54,18.78,20.34,19.71
1942,19.84,19.63,19.49,19.37,18.67,20.15,19.60
1943,19.42,19.20,19.07,18.96,18.25,19.72,19.16
1944,19.57,19.38,19.29,19.10,18.51,19.85,19.37
1945,19.09,18.95,18.88,18.64,18.08,19.35,18.97
1946,19.85,19.71,19.58,19.41,18.75,20.12,19.72
1947,20.29,20.12,20.07,19.82,19.29,20.54,20.13
1948,18.94,18.78,18.69,18.48,17.89,19.20,18.79
1949,18.84,18.68,18.58,18.39,17.77,19.11,18.68
1950,19.25,19.14,19.02,18.81,18.15,19.52,19.16
1951,20.11,20.06,20.02,19.76,19.23,20.31,20.07
1952,20.25,20.13,20.05,19.86,19.23,20.50,20.11
1953,19.29,19.19,19.06,18.91,18.26,19.54,19.14
1954,19.88,19.80,19.77,19.53,19.00,20.09,19.80
1955,20.25,20.24,20.25,19.96,19.49,20.41,20.26
1956,19.42,19.39,19.40,19.11,18.57,19.60,19.42
1957,19.52,19.40,19.38,19.09,18.60,19.75,19.45
1958,20.02,19.91,19.89,19.59,19.10,20.24,19.97
1959,18.91,18.77,18.75,18.45,17.98,19.14,18.82
1960,20.61,20.49,20.49,20.18,19.71,20.83,20.55
1961,19.34,19.16,19.11,18.86,18.35,19.59,19.17
1962,20.65,20.45,20.33,20.18,19.56,20.94,20.43
1963,20.31,20.08,20.04,19.78,19.25,20.59,20.09
1964,19.06,18.88,18.84,18.56,18.07,19.32,18.90
1965,19.64,19.49,19.48,19.13,18.70,19.87,19.55
1966,20.30,20.12,20.14,19.78,19.39,20.54,20.17
1967,18.79,18.67,18.57,18.37,17.77,19.04,18.67
1968,19.68,19.56,19.47,19.24,18.67,19.93,19.58
1969,19.95,19.75,19.66,19.43,18.85,20.25,19.76
1970,19.64,19.49,19.46,19.14,18.68,19.89,19.53
1971,19.27,19.08,19.00,18.78,18.20,19.54,19.09
1972,19.12,18.97,18.86,18.67,18.04,19.40,18.98
1973,19.36,19.20,19.14,18.89,18.34,19.62,19.23
1974,19.31,19.14,19.06,18.85,18.27,19.58,19.14
1975,19.31,19.14,19.00,18.88,18.20,19.60,19.11
1976,19.24,19.08,18.93,18.81,18.11,19.54,19.05
1977,19.44,19.32,19.20,19.02,18.38,19.71,19.32
1978,19.70,19.53,19.45,19.24,18.65,19.97,19.53
1979,20.16,20.00,19.93,19.70,19.14,20.42,20.00
1980,19.59,19.41,19.31,19.10,18.48,19.88,19.42
1981,19.55,19.42,19.34,19.13,18.56,19.80,19.42
1982,18.86,18.78,18.67,18.47,17.85,19.10,18.79
1983,18.74,18.62,18.50,18.34,17.68,19.00,18.61
1984,19.31,19.21,19.12,18.90,18.29,19.56,19.23
1985,19.86,19.74,19.66,19.45,18.86,20.10,19.74
1986,19.57,19.43,19.38,19.15,18.62,19.80,19.42
1987,19.53,19.33,19.25,19.08,18.49,19.80,19.30
1988,19.66,19.50,19.36,19.27,18.56,19.93,19.45
1989,19.51,19.38,19.38,19.04,18.61,19.73,19.44
1990,19.81,19.68,19.60,19.41,18.81,20.06,19.68
1991,19.83,19.70,19.61,19.45,18.81,20.08,19.68
1992,18.84,18.71,18.56,18.44,17.74,19.11,18.70
1993,19.74,19.70,19.59,19.41,18.76,19.97,19.70
1994,20.31,20.23,20.17,19.92,19.39,20.52,20.24
1995,19.88,19.73,19.61,19.44,18.80,20.16,19.73
1996,20.48,20.31,20.23,20.03,19.42,20.74,20.31
1997,19.77,19.64,19.52,19.37,18.70,20.03,19.63
1998,20.93,20.84,20.79,20.58,19.99,21.16,20.81
1999,20.54,20.27,20.49,20.06,19.84,20.73,20.23
2000,19.82,19.64,19.76,19.39,19.10,20.01,19.62
2001,20.67,20.54,20.62,20.25,19.92,20.85,20.53
2002,20.51,20.40,20.36,20.11,19.59,20.74,20.40
2003,20.40,20.21,20.31,19.92,19.59,20.60,20.20
2004,20.27,20.07,20.20,19.78,19.48,20.48,20.08
2005,20.17,19.92,20.09,19.69,19.37,20.38,19.92
2006,20.04,19.81,19.96,19.62,19.21,20.25,19.80
2007,20.30,20.08,20.30,19.90,19.56,20.48,20.09
2008,20.62,20.41,20.52,20.18,19.76,20.84,20.40
2009,20.78,20.59,20.55,20.32,19.79,21.04,20.58
2010,22.06,21.83,22.01,21.69,21.28,22.26,21.83
2011,20.27,20.09,20.00,19.81,19.20,20.55,20.08
2012,21.06,20.90,20.78,20.62,19.99,21.34,20.90
2013,20.87,20.68,20.57,20.43,19.79,21.14,20.63
2014,20.95,20.78,20.67,20.50,19.90,21.22,20.76
2015,20.80,20.57,20.46,20.34,19.69,21.10,20.53
2016,21.20,21.03,20.91,20.75,20.12,21.48,21.02
2017,20.81,20.62,20.58,20.36,19.82,21.06,20.59
2018,21.51,21.33,21.29,21.06,20.51,21.77,21.31
2019,20.93,20.79,20.73,20.50,19.95,21.18,20.79
2020,20.94,20.79,20.77,20.52,19.99,21.18,20.78
