Variable:,tas
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1917,7.95,5.49,13.42,5.68,7.45,11.81,10.21,7.66,10.59,6.43,9.08,6.43,7.61,5.72,6.48,6.22,10.45,6.36,6.63,11.81,14.21,6.31
1918,8.00,5.57,13.45,5.75,7.53,11.76,10.17,7.72,10.58,6.51,9.03,6.51,7.60,5.79,6.57,6.35,10.51,6.41,6.72,11.76,14.16,6.41
1919,7.83,5.34,13.32,5.53,7.32,11.70,10.10,7.53,10.44,6.29,8.97,6.29,7.49,5.57,6.35,6.11,10.33,6.22,6.49,11.70,14.07,6.18
1920,8.42,5.97,13.79,6.10,7.92,12.36,10.74,8.14,11.17,6.91,9.63,6.91,8.15,6.14,6.95,6.74,10.86,6.59,7.11,12.36,14.56,6.80
1921,8.37,5.95,13.70,6.10,7.92,12.23,10.62,8.10,11.04,6.89,9.51,6.89,8.05,6.13,6.95,6.69,10.80,6.65,7.09,12.23,14.40,6.78
1922,7.62,5.11,13.12,5.28,7.06,11.58,9.97,7.32,10.40,6.07,8.84,6.06,7.35,5.33,6.10,5.92,10.12,5.92,6.27,11.58,14.10,5.95
1923,8.90,6.46,14.29,6.63,8.41,12.72,11.13,8.63,11.50,7.41,10.00,7.40,8.55,6.67,7.45,7.17,11.37,7.27,7.60,12.72,15.02,7.29
1924,7.71,5.21,13.22,5.38,7.18,11.68,10.05,7.42,10.44,6.17,8.91,6.15,7.40,5.43,6.19,5.96,10.22,6.03,6.36,11.68,14.16,6.03
1925,8.23,5.79,13.64,5.96,7.75,12.08,10.48,7.96,10.85,6.74,9.36,6.73,7.90,6.00,6.77,6.50,10.70,6.60,6.93,12.08,14.46,6.61
1926,8.87,6.43,14.28,6.60,8.39,12.73,11.12,8.60,11.49,7.38,9.99,7.37,8.53,6.64,7.41,7.11,11.35,7.23,7.56,12.73,15.05,7.24
1927,8.92,6.43,14.39,6.60,8.41,12.83,11.24,8.62,11.61,7.38,10.11,7.37,8.63,6.65,7.42,7.18,11.41,7.25,7.57,12.83,15.27,7.25
1928,8.43,5.93,13.91,6.10,7.90,12.37,10.76,8.14,11.18,6.89,9.64,6.88,8.15,6.14,6.94,6.70,10.92,6.73,7.09,12.37,14.73,6.77
1929,7.66,5.18,13.13,5.36,7.13,11.58,9.97,7.37,10.38,6.13,8.84,6.11,7.36,5.40,6.15,5.92,10.16,6.03,6.32,11.58,13.92,5.98
1930,8.94,6.51,14.36,6.67,8.46,12.82,11.22,8.67,11.62,7.45,10.09,7.44,8.62,6.70,7.49,7.22,11.42,7.24,7.64,12.82,15.07,7.32
1931,7.87,5.39,13.42,5.59,7.34,11.71,10.13,7.57,10.46,6.33,8.99,6.32,7.52,5.64,6.37,6.16,10.41,6.33,6.53,11.71,14.18,6.21
1932,7.83,5.36,13.32,5.54,7.31,11.70,10.11,7.53,10.55,6.30,8.98,6.29,7.51,5.58,6.34,6.14,10.34,6.20,6.49,11.70,14.08,6.18
1933,7.07,4.53,12.54,4.72,6.54,10.95,9.35,6.78,9.77,5.53,8.22,5.52,6.75,4.77,5.60,5.39,9.56,5.43,5.75,10.95,13.29,5.44
1934,9.23,6.78,14.63,6.94,8.73,13.11,11.51,8.95,11.89,7.72,10.39,7.72,8.92,6.98,7.77,7.56,11.69,7.53,7.92,13.11,15.35,7.61
1935,8.17,5.67,13.69,5.87,7.64,12.02,10.43,7.87,10.78,6.63,9.29,6.62,7.82,5.91,6.68,6.46,10.69,6.60,6.83,12.02,14.45,6.52
1936,8.63,6.12,14.09,6.30,8.13,12.50,10.90,8.38,11.26,7.13,9.77,7.11,8.31,6.34,7.15,6.94,11.13,6.98,7.34,12.50,14.83,6.99
1937,8.66,6.23,14.20,6.43,8.14,12.49,10.91,8.33,11.22,7.11,9.77,7.11,8.29,6.47,7.13,6.93,11.20,7.15,7.28,12.49,14.98,6.97
1938,8.26,5.81,13.79,6.00,7.73,12.11,10.52,7.95,10.87,6.73,9.37,6.72,7.90,6.04,6.76,6.53,10.79,6.70,6.91,12.11,14.54,6.60
1939,8.40,5.93,13.91,6.12,7.87,12.27,10.68,8.10,11.02,6.87,9.54,6.86,8.07,6.16,6.90,6.70,10.92,6.80,7.06,12.27,14.66,6.74
1940,6.54,4.08,12.18,4.30,5.98,10.36,8.79,6.22,9.19,4.98,7.64,4.97,6.17,4.35,4.99,4.78,9.14,5.10,5.15,10.36,12.98,4.83
1941,7.27,4.76,12.96,4.97,6.67,11.21,9.62,6.92,9.99,5.66,8.46,5.65,6.94,5.02,5.69,5.48,9.87,5.76,5.84,11.21,13.77,5.53
1942,7.63,4.96,13.19,5.16,7.02,11.69,10.08,7.32,10.52,6.00,8.95,5.99,7.42,5.20,6.09,5.93,10.13,5.89,6.25,11.69,14.02,5.93
1943,8.64,6.03,14.00,6.20,8.13,12.59,10.97,8.40,11.42,7.12,9.87,7.11,8.40,6.24,7.21,7.01,11.06,6.82,7.37,12.59,14.76,7.05
1944,8.07,5.60,13.43,5.77,7.61,11.89,10.29,7.81,10.68,6.58,9.16,6.58,7.72,5.81,6.64,6.43,10.52,6.41,6.80,11.89,14.20,6.48
1945,8.49,6.00,13.88,6.17,8.00,12.38,10.77,8.23,11.20,6.99,9.65,6.98,8.19,6.21,7.05,6.81,10.95,6.79,7.20,12.38,14.64,6.88
1946,8.92,6.52,14.22,6.69,8.49,12.66,11.06,8.67,11.48,7.48,9.94,7.47,8.53,6.73,7.51,7.27,11.36,7.33,7.67,12.66,14.95,7.35
1947,8.78,6.31,14.23,6.48,8.28,12.68,11.08,8.49,11.46,7.25,9.95,7.25,8.47,6.52,7.32,7.05,11.27,7.11,7.45,12.68,15.04,7.15
1948,8.46,5.93,13.75,6.10,8.02,12.33,10.72,8.24,11.13,7.00,9.61,6.99,8.16,6.14,7.09,6.80,10.88,6.73,7.24,12.33,14.44,6.92
1949,8.60,6.05,13.93,6.22,8.12,12.50,10.89,8.37,11.33,7.11,9.78,7.10,8.33,6.25,7.19,6.95,11.03,6.83,7.35,12.50,14.49,7.02
1950,9.31,6.86,14.67,7.03,8.85,13.16,11.56,9.05,11.95,7.83,10.44,7.83,8.98,7.06,7.89,7.60,11.76,7.65,8.03,13.16,15.37,7.72
1951,9.22,6.75,14.63,6.92,8.72,13.05,11.45,8.90,11.87,7.68,10.32,7.71,8.87,6.96,7.83,7.63,11.68,7.56,7.92,13.05,15.38,7.67
1952,9.01,6.55,14.46,6.73,8.50,12.88,11.28,8.71,11.67,7.49,10.14,7.48,8.67,6.77,7.54,7.31,11.50,7.38,7.68,12.88,15.24,7.38
1953,8.05,5.56,13.45,5.73,7.54,11.91,10.31,7.75,10.75,6.52,9.19,6.52,7.73,5.76,6.61,6.44,10.50,6.34,6.74,11.91,14.20,6.45
1954,7.55,5.09,13.03,5.26,7.04,11.48,9.87,7.28,10.28,6.04,8.74,6.01,7.25,5.30,6.00,5.81,10.06,5.88,6.20,11.48,13.78,5.84
1955,8.26,5.83,13.74,6.00,7.72,12.14,10.55,7.98,10.95,6.76,9.42,6.73,7.94,6.04,6.73,6.47,10.77,6.63,6.92,12.14,14.49,6.57
1956,7.33,4.87,12.83,5.04,6.79,11.22,9.62,7.03,10.05,5.80,8.49,5.78,7.01,5.09,5.81,5.62,9.84,5.68,5.98,11.22,13.67,5.65
1957,8.50,6.05,13.95,6.22,7.99,12.38,10.78,8.21,11.19,6.99,9.66,6.97,8.19,6.26,7.01,6.81,10.99,6.86,7.17,12.38,14.68,6.85
1958,8.68,6.19,14.08,6.36,8.14,12.55,10.94,8.39,11.37,7.15,9.82,7.16,8.36,6.40,7.26,7.04,11.14,7.01,7.38,12.55,14.84,7.10
1959,7.92,5.42,13.33,5.59,7.41,11.79,10.19,7.61,10.62,6.38,9.07,6.39,7.60,5.63,6.49,6.31,10.38,6.22,6.61,11.79,14.06,6.33
1960,8.61,6.17,14.05,6.34,8.11,12.48,10.87,8.30,11.29,7.09,9.74,7.09,8.28,6.38,7.16,6.94,11.09,6.96,7.29,12.48,14.80,7.00
1961,8.78,6.28,14.14,6.46,8.28,12.61,11.03,8.48,11.46,7.24,9.92,7.26,8.47,6.49,7.37,7.16,11.21,7.11,7.48,12.61,14.87,7.21
1962,8.14,5.73,13.63,5.90,7.59,12.08,10.45,7.85,10.85,6.63,9.31,6.60,7.82,5.94,6.60,6.41,10.66,6.51,6.79,12.08,14.38,6.44
1963,8.24,5.81,13.77,5.97,7.65,12.23,10.58,7.97,10.98,6.74,9.42,6.68,7.92,6.01,6.64,6.46,10.78,6.57,6.87,12.23,14.52,6.48
1964,7.90,5.45,13.42,5.62,7.34,11.88,10.23,7.65,10.64,6.41,9.09,6.35,7.59,5.66,6.32,6.15,10.44,6.23,6.55,11.88,14.16,6.16
1965,7.81,5.38,13.28,5.54,7.26,11.75,10.12,7.51,10.54,6.29,8.98,6.27,7.49,5.58,6.29,6.09,10.31,6.13,6.46,11.75,14.01,6.13
1966,8.65,6.20,14.07,6.38,8.19,12.46,10.88,8.35,11.30,7.13,9.75,7.14,8.30,6.42,7.21,7.01,11.13,7.06,7.34,12.46,14.81,7.05
1967,8.16,5.68,13.54,5.86,7.66,12.01,10.43,7.87,10.86,6.64,9.32,6.64,7.87,5.90,6.71,6.51,10.61,6.51,6.85,12.01,14.28,6.55
1968,8.27,5.80,13.64,5.99,7.81,12.11,10.51,7.96,10.93,6.74,9.39,6.76,7.93,6.03,6.85,6.63,10.71,6.70,6.97,12.11,14.38,6.69
1969,7.91,5.43,13.38,5.60,7.36,11.83,10.23,7.62,10.65,6.38,9.10,6.36,7.62,5.64,6.38,6.19,10.41,6.23,6.56,11.83,14.11,6.23
1970,8.05,5.61,13.49,5.77,7.53,11.95,10.35,7.78,10.78,6.55,9.23,6.52,7.75,5.81,6.52,6.31,10.54,6.37,6.72,11.95,14.24,6.36
1971,8.05,5.56,13.48,5.73,7.55,11.93,10.33,7.76,10.74,6.52,9.21,6.52,7.74,5.77,6.59,6.38,10.52,6.37,6.74,11.93,14.22,6.43
1972,8.19,5.71,13.57,5.89,7.71,12.04,10.45,7.90,10.87,6.67,9.33,6.68,7.88,5.92,6.75,6.55,10.64,6.54,6.89,12.04,14.31,6.59
1973,7.86,5.38,13.28,5.55,7.33,11.74,10.14,7.57,10.55,6.34,9.02,6.33,7.56,5.59,6.39,6.19,10.33,6.20,6.54,11.74,14.03,6.23
1974,8.01,5.49,13.39,5.68,7.57,11.87,10.25,7.67,10.68,6.44,9.13,6.49,7.66,5.72,6.65,6.44,10.43,6.38,6.71,11.87,14.12,6.48
1975,8.10,5.59,13.45,5.77,7.65,11.93,10.34,7.78,10.75,6.55,9.22,6.59,7.77,5.81,6.73,6.50,10.52,6.43,6.80,11.93,14.19,6.56
1976,7.41,4.91,12.85,5.08,6.90,11.31,9.71,7.13,10.13,5.88,8.59,5.88,7.12,5.12,5.94,5.74,9.89,5.69,6.09,11.31,13.60,5.78
1977,8.52,6.05,13.90,6.22,8.04,12.38,10.78,8.23,11.21,7.01,9.66,7.01,8.21,6.26,7.09,6.86,10.97,6.87,7.22,12.38,14.63,6.93
1978,7.51,5.03,12.97,5.20,6.97,11.42,9.81,7.23,10.25,5.99,8.68,5.97,7.21,5.24,6.01,5.78,10.01,5.82,6.18,11.42,13.72,5.84
1979,8.46,5.96,13.90,6.13,7.95,12.36,10.74,8.17,11.17,6.93,9.61,6.93,8.14,6.17,7.00,6.77,10.94,6.78,7.14,12.36,14.64,6.84
1980,7.44,4.98,12.93,5.15,6.88,11.37,9.76,7.17,10.20,5.93,8.63,5.89,7.15,5.19,5.90,5.71,9.96,5.76,6.10,11.37,13.67,5.74
1981,8.03,5.55,13.42,5.72,7.57,11.86,10.27,7.72,10.69,6.49,9.14,6.52,7.69,5.76,6.64,6.41,10.48,6.36,6.73,11.86,14.16,6.48
1982,8.50,6.00,13.93,6.16,7.98,12.40,10.80,8.20,11.25,6.96,9.68,6.97,8.21,6.20,7.06,6.86,10.97,6.77,7.18,12.40,14.68,6.90
1983,8.22,5.71,13.58,5.88,7.77,12.05,10.45,7.90,10.88,6.67,9.33,6.71,7.89,5.92,6.86,6.64,10.65,6.53,6.94,12.05,14.31,6.70
1984,7.83,5.33,13.28,5.50,7.30,11.75,10.14,7.54,10.57,6.29,9.01,6.28,7.53,5.54,6.34,6.16,10.31,6.14,6.50,11.75,14.03,6.18
1985,8.01,5.53,13.54,5.68,7.41,12.00,10.38,7.76,10.82,6.51,9.25,6.44,7.75,5.72,6.40,6.25,10.55,6.23,6.66,12.00,14.29,6.25
1986,8.30,5.81,13.76,5.98,7.79,12.23,10.61,8.03,11.04,6.79,9.48,6.77,8.00,6.02,6.80,6.60,10.79,6.60,6.98,12.23,14.51,6.64
1987,8.09,5.63,13.58,5.80,7.56,12.01,10.39,7.79,10.84,6.56,9.25,6.55,7.77,5.84,6.59,6.38,10.60,6.43,6.75,12.01,14.31,6.44
1988,8.60,6.09,14.04,6.25,8.07,12.51,10.91,8.32,11.35,7.07,9.79,7.06,8.31,6.29,7.13,6.93,11.08,6.86,7.28,12.51,14.78,6.97
1989,8.35,5.85,13.64,6.03,7.95,12.13,10.54,8.02,10.96,6.80,9.43,6.86,7.99,6.07,7.03,6.81,10.73,6.71,7.08,12.13,14.38,6.87
1990,8.98,6.49,14.35,6.66,8.50,12.82,11.22,8.71,11.63,7.47,10.10,7.48,8.66,6.70,7.58,7.36,11.43,7.28,7.71,12.82,15.09,7.42
1991,7.88,5.37,13.34,5.53,7.35,11.83,10.21,7.62,10.64,6.37,9.08,6.34,7.60,5.57,6.38,6.20,10.37,6.12,6.57,11.83,14.06,6.23
1992,8.78,6.24,14.08,6.42,8.36,12.59,11.02,8.48,11.47,7.24,9.91,7.28,8.48,6.46,7.44,7.22,11.17,7.08,7.52,12.59,14.74,7.28
1993,8.45,5.95,13.88,6.11,7.94,12.35,10.75,8.18,11.21,6.93,9.63,6.92,8.17,6.15,6.99,6.77,10.93,6.71,7.15,12.35,14.53,6.83
1994,9.63,7.14,15.03,7.30,9.16,13.49,11.90,9.34,12.34,8.10,10.78,8.12,9.32,7.33,8.21,8.00,12.09,7.87,8.33,13.49,15.64,8.05
1995,8.30,5.79,13.68,5.96,7.83,12.17,10.56,8.01,11.02,6.77,9.44,6.78,7.98,6.00,6.90,6.66,10.74,6.58,7.01,12.17,14.35,6.73
1996,7.96,5.49,13.43,5.66,7.42,11.86,10.25,7.67,10.68,6.43,9.12,6.41,7.65,5.70,6.44,6.28,10.46,6.28,6.62,11.86,14.12,6.28
1997,8.26,5.78,13.69,5.94,7.72,12.18,10.58,8.01,11.03,6.76,9.46,6.73,7.99,5.97,6.75,6.57,10.74,6.51,6.95,12.18,14.39,6.58
1998,8.79,6.31,14.21,6.47,8.26,12.70,11.09,8.53,11.54,7.29,9.97,7.26,8.50,6.50,7.30,7.09,11.27,7.04,7.48,12.70,14.91,7.14
1999,8.95,6.49,14.41,6.65,8.41,12.88,11.26,8.68,11.70,7.45,10.13,7.42,8.65,6.69,7.44,7.26,11.45,7.25,7.63,12.88,15.12,7.28
2000,9.70,7.18,15.03,7.34,9.27,13.53,11.94,9.40,12.39,8.16,10.83,8.20,9.38,7.38,8.34,8.12,12.11,7.95,8.43,13.53,15.65,8.18
2001,9.02,6.54,14.46,6.70,8.51,12.95,11.33,8.73,11.76,7.49,10.20,7.49,8.72,6.74,7.57,7.36,11.49,7.28,7.70,12.95,15.15,7.41
2002,9.50,7.03,14.91,7.19,9.01,13.38,11.77,9.20,12.20,7.97,10.65,7.98,9.18,7.22,8.07,7.86,11.96,7.76,8.19,13.38,15.52,7.91
2003,8.98,6.49,14.42,6.65,8.46,12.92,11.30,8.70,11.74,7.46,10.18,7.45,8.70,6.69,7.50,7.31,11.46,7.24,7.66,12.92,15.15,7.34
2004,8.71,6.23,14.13,6.40,8.20,12.60,10.99,8.42,11.42,7.19,9.87,7.18,8.40,6.44,7.24,7.03,11.18,7.02,7.39,12.60,14.84,7.08
2005,8.17,5.68,13.59,5.85,7.64,12.09,10.47,7.88,10.90,6.64,9.35,6.63,7.87,5.89,6.68,6.48,10.63,6.50,6.84,12.09,14.35,6.52
2006,8.78,6.29,14.22,6.45,8.27,12.71,11.08,8.48,11.51,7.25,9.95,7.25,8.47,6.48,7.35,7.15,11.25,7.02,7.47,12.71,14.92,7.18
2007,9.61,7.11,14.99,7.28,9.11,13.46,11.86,9.30,12.30,8.07,10.74,8.10,9.29,7.32,8.25,8.01,12.05,7.90,8.32,13.46,15.64,8.08
2008,9.71,7.23,15.09,7.40,9.21,13.58,11.98,9.41,12.40,8.18,10.86,8.20,9.40,7.44,8.30,8.11,12.15,8.02,8.41,13.58,15.76,8.14
2009,9.54,7.06,14.93,7.23,9.03,13.43,11.81,9.24,12.25,8.01,10.69,8.02,9.22,7.26,8.13,7.91,11.99,7.84,8.24,13.43,15.58,7.97
2010,8.99,6.53,14.43,6.70,8.47,12.89,11.29,8.71,11.71,7.48,10.16,7.46,8.69,6.74,7.48,7.29,11.48,7.35,7.66,12.89,15.17,7.33
2011,9.26,6.77,14.68,6.93,8.74,13.17,11.55,8.96,11.99,7.73,10.43,7.73,8.95,6.96,7.80,7.63,11.73,7.50,7.94,13.17,15.33,7.64
2012,9.66,7.20,15.07,7.36,9.16,13.58,11.96,9.37,12.39,8.14,10.83,8.14,9.35,7.40,8.19,7.98,12.12,7.95,8.34,13.58,15.74,8.02
2013,9.65,7.18,15.09,7.34,9.14,13.53,11.94,9.37,12.35,8.14,10.81,8.12,9.35,7.38,8.16,7.96,12.14,7.95,8.33,13.53,15.76,8.00
2014,9.92,7.43,15.30,7.60,9.41,13.78,12.18,9.61,12.61,8.38,11.06,8.40,9.60,7.63,8.53,8.32,12.36,8.21,8.63,13.78,15.91,8.37
2015,9.92,7.45,15.29,7.61,9.41,13.78,12.19,9.64,12.64,8.41,11.08,8.41,9.63,7.65,8.47,8.28,12.37,8.21,8.62,13.78,15.90,8.31
2016,9.66,7.18,15.07,7.34,9.15,13.56,11.96,9.37,12.39,8.14,10.84,8.14,9.37,7.38,8.21,8.01,12.12,7.93,8.35,13.56,15.74,8.05
2017,9.69,7.20,15.09,7.36,9.17,13.60,11.98,9.39,12.41,8.16,10.85,8.16,9.38,7.40,8.26,8.06,12.14,7.96,8.38,13.60,15.73,8.10
2018,10.36,7.89,15.76,8.04,9.89,14.23,12.65,10.08,13.07,8.85,11.53,8.84,10.07,8.08,8.88,8.68,12.82,8.61,9.04,14.23,16.38,8.72
2019,10.41,7.96,15.72,8.13,9.95,14.16,12.62,10.14,13.06,8.92,11.53,8.92,10.11,8.17,8.99,8.79,12.83,8.78,9.14,14.16,16.31,8.83
2020,9.94,7.48,15.32,7.65,9.45,13.77,12.20,9.66,12.62,8.44,11.09,8.43,9.65,7.69,8.49,8.27,12.40,8.27,8.64,13.77,15.98,8.33
