Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1977,26.18,25.60,29.38,20.49,28.86,26.60,19.46,26.13
1978,26.41,25.92,29.52,20.71,28.91,26.90,19.70,26.37
1979,26.74,26.35,29.80,21.00,29.10,27.24,19.99,26.71
1980,26.93,26.45,30.05,21.24,29.45,27.42,20.20,26.88
1981,26.27,25.97,29.32,20.37,28.55,26.81,19.40,26.27
1982,26.14,25.62,29.23,20.46,28.68,26.65,19.44,26.05
1983,26.25,25.68,29.30,20.65,28.82,26.78,19.57,26.13
1984,26.69,26.40,29.44,20.88,28.76,27.47,19.91,26.56
1985,26.50,26.16,29.48,20.71,28.71,27.11,19.75,26.44
1986,26.39,25.92,29.41,20.79,28.74,27.00,19.75,26.29
1987,26.35,25.89,29.51,20.65,28.80,26.85,19.62,26.30
1988,26.04,25.49,29.19,20.40,28.66,26.49,19.26,25.97
1989,25.67,25.17,28.91,19.95,28.27,26.05,18.89,25.68
1990,26.48,26.02,29.58,20.83,28.90,27.01,19.79,26.42
1991,26.51,26.05,29.60,20.80,29.00,27.02,19.79,26.46
1992,25.84,25.24,29.01,20.21,28.53,26.29,19.15,25.75
1993,26.44,26.08,29.47,20.67,28.74,26.96,19.70,26.43
1994,26.35,25.87,29.50,20.66,28.83,26.80,19.65,26.34
1995,26.19,25.65,29.36,20.53,28.90,26.54,19.50,26.16
1996,26.67,26.27,29.76,20.96,29.06,27.15,20.00,26.64
1997,26.59,26.12,29.67,20.92,29.03,27.11,19.89,26.53
1998,26.91,26.45,30.03,21.24,29.38,27.37,20.25,26.89
1999,26.81,26.57,29.84,20.96,28.91,27.37,20.09,26.85
2000,26.75,26.35,29.81,21.02,29.08,27.30,20.05,26.72
2001,26.87,26.52,29.89,21.08,29.14,27.41,20.15,26.85
2002,27.23,26.78,30.28,21.53,29.60,27.76,20.57,27.19
2003,26.94,26.49,30.04,21.22,29.42,27.41,20.23,26.92
2004,26.84,26.42,29.92,21.05,29.28,27.35,20.09,26.80
2005,27.12,26.76,30.16,21.35,29.43,27.66,20.39,27.10
2006,26.81,26.37,29.91,21.07,29.26,27.29,20.11,26.79
2007,26.72,26.33,29.83,20.97,29.13,27.17,19.99,26.71
2008,26.89,26.54,29.93,21.11,29.15,27.40,20.20,26.90
2009,27.54,27.11,30.57,21.82,29.89,28.11,20.84,27.48
2010,27.69,27.44,30.73,21.93,29.72,28.24,21.02,27.74
2011,27.08,26.61,30.19,21.42,29.45,27.62,20.43,27.03
2012,27.24,26.86,30.36,21.57,29.52,27.75,20.59,27.26
2013,27.34,26.91,30.38,21.63,29.73,27.89,20.64,27.29
2014,26.99,26.61,30.03,21.23,29.41,27.44,20.25,27.00
2015,27.55,27.13,30.60,21.80,29.94,28.06,20.88,27.53
2016,27.57,27.19,30.59,21.84,29.91,28.10,20.87,27.53
2017,27.36,27.00,30.40,21.61,29.70,27.85,20.66,27.36
2018,27.23,26.91,30.34,21.49,29.45,27.71,20.55,27.28
2019,26.98,26.54,30.10,21.26,29.43,27.47,20.29,26.95
2020,26.65,26.20,29.77,20.96,29.10,27.13,19.96,26.63
