Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1919,19.52,20.80,12.19,8.27,10.92,10.10,16.03,11.51,13.80,8.06,17.66,16.69,15.38,15.55,21.45,11.24,26.22,24.32,11.02,18.04,21.71,10.53,22.40,13.13,23.72,25.39
1920,19.08,20.43,11.45,7.73,10.41,9.53,15.50,11.05,13.28,7.45,16.94,16.08,14.74,14.86,20.97,10.55,26.02,23.87,10.62,17.36,21.42,10.09,21.77,12.76,23.59,24.83
1921,18.79,20.10,10.85,7.45,10.18,9.23,15.03,10.85,13.03,7.11,16.42,15.75,14.37,14.26,20.54,10.11,25.84,23.68,10.47,16.93,21.17,9.93,21.24,12.62,23.49,24.47
1922,19.53,20.94,12.42,8.19,10.74,10.06,16.23,11.23,13.68,8.05,17.82,16.68,15.38,15.81,21.63,11.33,26.30,24.15,10.66,18.10,21.82,10.20,22.62,12.72,23.76,25.42
1923,19.55,20.93,12.43,8.29,10.85,10.15,16.23,11.31,13.78,8.12,17.83,16.75,15.43,15.81,21.63,11.35,26.24,24.24,10.76,18.13,21.82,10.31,22.62,12.81,23.76,25.45
1924,19.54,20.94,12.40,8.23,10.81,10.08,16.23,11.30,13.72,8.05,17.79,16.68,15.37,15.81,21.63,11.30,26.28,24.19,10.76,18.08,21.82,10.29,22.62,12.82,23.76,25.41
1925,19.57,20.93,12.42,8.34,10.92,10.19,16.23,11.37,13.83,8.15,17.82,16.78,15.45,15.81,21.63,11.35,26.23,24.30,10.84,18.13,21.82,10.39,22.62,12.92,23.76,25.47
1926,19.85,20.95,12.44,9.01,11.63,10.71,16.23,11.91,14.50,8.47,17.86,17.10,15.68,15.81,21.63,11.46,26.35,24.98,11.58,18.24,21.82,11.17,22.62,13.60,23.76,25.67
1927,19.78,20.94,12.44,8.95,11.45,10.66,16.23,11.58,14.42,8.44,17.86,17.07,15.66,15.81,21.63,11.46,26.28,24.92,11.21,18.23,21.82,10.90,22.62,13.15,23.76,25.65
1928,19.81,20.94,12.44,8.96,11.53,10.66,16.23,11.76,14.44,8.45,17.86,17.07,15.66,15.81,21.63,11.46,26.29,24.93,11.41,18.23,21.82,11.04,22.62,13.39,23.76,25.65
1929,19.75,20.94,12.44,8.82,11.33,10.56,16.23,11.54,14.30,8.38,17.86,17.01,15.62,15.81,21.63,11.44,26.30,24.79,11.12,18.21,21.82,10.79,22.62,13.11,23.76,25.61
1930,19.63,20.94,12.44,8.40,11.02,10.22,16.23,11.50,13.90,8.15,17.85,16.79,15.47,15.81,21.63,11.39,26.31,24.37,11.03,18.16,21.82,10.54,22.62,13.08,23.76,25.49
1931,19.69,20.95,12.44,8.55,11.13,10.34,16.23,11.53,14.05,8.25,17.85,16.89,15.52,15.81,21.63,11.41,26.37,24.56,11.04,18.18,21.82,10.66,22.62,13.03,23.76,25.55
1932,19.62,20.94,12.44,8.44,11.06,10.28,16.23,11.55,13.93,8.20,17.85,16.87,15.49,15.81,21.63,11.41,26.24,24.40,11.06,18.16,21.82,10.58,22.62,13.09,23.76,25.50
1933,19.53,20.94,12.44,8.20,10.79,10.06,16.23,11.34,13.71,8.06,17.85,16.68,15.40,15.81,21.63,11.36,26.23,24.22,10.79,18.13,21.82,10.31,22.62,12.84,23.76,25.45
1934,19.53,20.93,12.44,8.26,10.85,10.10,16.23,11.39,13.76,8.09,17.85,16.72,15.42,15.81,21.63,11.37,26.18,24.23,10.83,18.14,21.82,10.39,22.62,12.87,23.76,25.45
1935,19.58,20.94,12.44,8.34,10.94,10.17,16.23,11.48,13.85,8.13,17.85,16.76,15.45,15.81,21.63,11.38,26.23,24.35,10.94,18.15,21.82,10.48,22.62,13.00,23.76,25.49
1936,19.66,20.95,12.44,8.53,11.11,10.34,16.23,11.58,14.02,8.24,17.85,16.89,15.51,15.81,21.63,11.41,26.29,24.51,11.07,18.17,21.82,10.65,22.62,13.11,23.76,25.53
1937,19.84,20.97,12.93,8.55,11.10,10.42,16.29,11.72,14.10,8.48,18.52,17.05,15.95,16.03,21.63,11.92,26.36,24.62,11.07,18.81,21.82,10.66,22.91,13.09,23.76,26.08
1938,19.70,20.97,12.91,8.21,10.79,10.09,16.29,11.54,13.79,8.19,18.48,16.75,15.74,16.03,21.63,11.79,26.31,24.34,10.83,18.69,21.82,10.38,22.91,12.88,23.76,25.96
1939,19.89,20.97,12.94,8.74,11.29,10.63,16.29,11.84,14.27,8.69,18.54,17.29,16.10,16.04,21.63,12.05,26.26,24.76,11.24,18.89,21.82,10.79,22.93,13.27,23.76,26.15
1940,20.08,20.99,13.15,8.98,11.53,10.87,16.32,12.13,14.51,8.95,18.83,17.53,16.38,16.14,21.64,12.33,26.41,24.99,11.50,19.19,21.82,11.06,23.05,13.52,23.76,26.44
1941,20.32,21.02,13.35,9.36,11.83,11.31,16.35,12.29,14.84,9.45,19.15,18.00,16.88,16.23,21.64,12.73,26.58,25.23,11.69,19.64,21.82,11.21,23.18,13.66,23.76,26.85
1942,20.07,21.00,13.40,8.76,11.27,10.68,16.35,11.88,14.32,8.86,19.17,17.39,16.46,16.25,21.64,12.49,26.42,24.84,11.16,19.47,21.82,10.76,23.21,13.13,23.76,26.67
1943,20.79,22.61,14.46,9.35,11.76,11.34,18.03,12.29,14.86,9.61,19.83,18.13,17.18,17.72,23.40,13.33,26.99,25.25,11.58,20.08,23.56,11.08,24.47,13.48,25.45,27.12
1944,20.62,22.65,14.07,9.10,11.52,11.09,17.99,12.04,14.59,9.32,19.39,17.86,16.82,17.52,23.41,12.91,27.05,24.95,11.33,19.66,23.66,10.83,24.31,13.22,25.58,26.71
1945,20.38,22.03,13.72,8.93,11.43,10.87,17.36,12.08,14.45,9.06,19.16,17.62,16.55,17.00,22.74,12.63,26.83,24.88,11.38,19.42,22.97,10.90,23.84,13.36,24.90,26.56
1946,19.93,21.65,13.26,8.33,10.87,10.27,16.98,11.48,13.86,8.40,18.62,16.98,15.88,16.60,22.37,11.94,26.60,24.31,10.86,18.77,22.55,10.30,23.41,12.90,24.49,25.98
1947,19.63,20.94,12.69,8.20,10.72,10.14,16.21,11.24,13.70,8.27,18.25,16.85,15.72,15.88,21.58,11.70,26.32,24.16,10.66,18.55,21.80,10.12,22.78,12.69,23.76,25.81
1948,19.50,21.13,12.47,7.91,10.46,9.83,16.35,11.05,13.43,7.93,17.88,16.50,15.36,15.88,21.77,11.33,26.38,23.92,10.46,18.15,22.02,9.91,22.71,12.60,23.99,25.44
1949,19.11,20.55,11.90,7.75,10.32,9.58,15.77,10.85,13.28,7.49,17.32,16.14,14.84,15.30,21.16,10.74,25.91,23.83,10.34,17.60,21.38,9.84,22.16,12.39,23.34,25.02
1950,18.69,19.93,11.28,7.47,10.07,9.25,15.11,10.64,13.01,7.05,16.75,15.74,14.35,14.64,20.49,10.18,25.49,23.60,10.21,17.06,20.70,9.71,21.54,12.32,22.71,24.58
1951,19.19,20.77,12.18,7.86,10.47,9.72,16.07,11.01,13.28,7.70,17.48,16.40,14.98,15.60,21.55,11.04,25.91,23.70,10.48,17.73,21.78,9.94,22.33,12.54,23.73,24.93
1952,18.99,20.40,11.85,7.66,10.39,9.51,15.66,11.01,13.12,7.39,17.18,16.15,14.71,15.23,21.07,10.74,25.77,23.54,10.55,17.44,21.29,9.89,22.03,12.62,23.27,24.68
1953,19.38,20.98,12.53,7.90,10.58,9.74,16.31,11.25,13.35,7.78,17.80,16.47,15.15,15.90,21.78,11.30,26.13,23.79,10.71,17.94,21.99,10.10,22.64,12.79,23.89,25.09
1954,18.79,20.11,11.41,7.31,9.86,9.18,15.32,10.69,12.93,7.19,16.89,15.76,14.53,14.86,20.70,10.36,25.68,23.52,10.22,17.15,20.88,9.72,21.78,12.36,22.86,24.70
1955,18.84,20.28,11.69,7.29,9.85,9.12,15.52,10.64,12.90,7.13,17.07,15.71,14.55,15.11,20.89,10.48,25.74,23.54,10.02,17.28,21.09,9.61,21.97,12.12,23.04,24.72
1956,18.65,20.11,11.48,7.12,9.73,8.93,15.36,10.49,12.71,6.93,16.85,15.53,14.31,14.92,20.76,10.27,25.55,23.32,9.88,17.06,20.96,9.45,21.76,11.99,22.91,24.48
1957,19.47,21.31,12.59,8.15,10.88,10.01,16.63,11.41,13.43,7.97,17.90,16.79,15.20,16.05,22.20,11.46,26.14,23.69,10.87,18.03,22.44,10.12,22.67,12.98,24.36,25.00
1958,19.47,20.84,12.25,8.27,11.04,10.06,16.14,11.54,13.68,7.95,17.61,16.67,15.15,15.68,21.60,11.16,26.16,24.12,11.14,17.86,21.79,10.56,22.45,13.19,23.68,25.14
1959,19.38,20.85,12.23,7.92,10.67,9.78,16.12,11.29,13.40,7.79,17.61,16.46,15.12,15.67,21.54,11.10,26.24,23.85,10.73,17.86,21.72,10.17,22.49,12.80,23.64,25.13
1960,19.34,20.73,12.23,7.77,10.41,9.72,15.99,10.91,13.27,7.84,17.69,16.43,15.19,15.59,21.35,11.11,26.34,23.66,10.31,17.98,21.44,9.84,22.51,12.35,23.35,25.24
1961,19.63,20.76,12.36,8.23,10.80,10.07,16.05,11.31,13.86,8.17,17.86,16.67,15.50,15.71,21.43,11.33,26.45,24.50,10.85,18.16,21.49,10.47,22.66,12.84,23.39,25.66
1962,19.57,20.74,12.26,8.22,10.66,10.06,15.96,11.10,13.79,8.16,17.78,16.62,15.44,15.63,21.27,11.22,26.46,24.36,10.59,18.07,21.43,10.28,22.61,12.55,23.39,25.60
1963,19.72,20.99,12.54,8.21,10.76,10.06,16.29,11.18,13.78,8.16,18.02,16.70,15.56,15.93,21.62,11.43,26.66,24.36,10.68,18.29,21.69,10.25,22.85,12.72,23.62,25.73
1964,19.38,20.57,12.06,7.85,10.36,9.63,15.72,10.95,13.49,7.69,17.59,16.23,15.03,15.39,20.98,10.81,26.41,24.11,10.58,17.73,21.14,10.28,22.48,12.55,23.05,25.38
1965,19.80,21.17,12.94,8.42,11.05,10.29,16.67,11.72,13.89,8.35,18.26,16.96,15.68,16.28,22.20,11.74,26.43,24.33,11.21,18.37,22.26,10.66,22.92,13.22,24.16,25.64
1966,19.57,20.92,12.46,7.95,10.49,9.80,16.21,11.31,13.55,7.86,17.92,16.41,15.20,15.83,21.54,11.12,26.55,24.17,10.79,17.99,21.64,10.37,22.78,12.84,23.58,25.48
1967,19.20,20.41,11.91,7.67,10.34,9.48,15.66,11.17,13.30,7.48,17.39,16.07,14.80,15.25,21.01,10.68,26.15,23.95,10.70,17.51,21.11,10.26,22.26,12.77,23.06,25.08
1968,19.28,20.47,11.92,7.93,10.46,9.67,15.71,11.06,13.54,7.62,17.47,16.22,14.97,15.30,21.02,10.84,26.15,24.15,10.54,17.74,21.16,10.14,22.30,12.61,23.13,25.26
1969,20.11,21.49,13.07,8.79,11.36,10.63,16.92,12.02,14.31,8.60,18.50,17.25,15.90,16.49,22.38,11.93,26.75,24.82,11.55,18.72,22.41,10.99,23.23,13.60,24.30,26.00
1970,19.49,20.75,12.12,8.03,10.70,9.89,15.96,11.42,13.63,7.89,17.66,16.49,15.13,15.53,21.28,11.02,26.39,24.21,10.95,17.91,21.43,10.46,22.53,13.01,23.42,25.35
1971,19.14,20.39,11.90,7.73,10.29,9.54,15.69,10.83,13.28,7.59,17.44,16.15,14.92,15.27,21.08,10.81,26.00,23.79,10.41,17.70,21.18,9.92,22.21,12.42,23.07,25.09
1972,20.05,21.82,13.40,8.57,11.19,10.50,17.31,11.65,13.92,8.67,18.61,17.32,15.93,16.87,22.92,12.16,26.73,24.21,11.14,18.73,22.98,10.40,23.47,13.23,24.78,25.77
1973,19.32,20.51,12.04,8.06,10.76,9.98,15.77,11.44,13.55,7.95,17.52,16.61,15.17,15.34,21.15,11.09,26.05,24.00,10.98,17.84,21.32,10.38,22.26,13.06,23.23,25.17
1974,18.73,20.08,11.61,7.42,10.08,9.28,15.37,10.78,12.94,7.21,16.98,15.92,14.50,14.95,20.81,10.49,25.42,23.47,10.14,17.23,20.99,9.61,21.72,12.30,22.92,24.57
1975,18.78,20.09,11.60,7.43,9.94,9.27,15.37,10.72,13.05,7.25,17.04,15.86,14.62,14.94,20.79,10.54,25.48,23.66,9.94,17.40,20.97,9.60,21.76,12.05,22.89,24.76
1976,19.24,20.82,12.62,7.99,10.46,9.89,16.34,11.05,13.40,7.88,17.76,16.62,15.27,15.96,21.99,11.51,25.70,23.72,10.31,18.02,22.08,9.85,22.38,12.39,23.92,25.05
1977,19.38,20.91,12.57,8.12,10.66,10.03,16.29,11.10,13.52,8.05,17.83,16.76,15.42,15.90,21.83,11.53,25.97,23.85,10.46,18.17,21.99,9.90,22.50,12.54,23.90,25.25
1978,19.33,21.00,12.38,7.86,10.43,9.81,16.28,10.86,13.33,7.87,17.70,16.52,15.28,15.83,21.68,11.30,26.12,23.70,10.21,18.06,21.85,9.73,22.58,12.29,23.78,25.23
1979,19.61,21.33,12.70,8.14,10.65,10.06,16.63,11.08,13.57,8.13,18.07,16.81,15.56,16.18,21.98,11.61,26.40,23.91,10.39,18.40,22.08,9.89,22.91,12.47,24.02,25.54
1980,19.70,21.35,12.74,8.28,10.87,10.24,16.65,11.34,13.68,8.28,18.11,16.99,15.65,16.21,22.00,11.69,26.50,23.97,10.64,18.45,22.02,10.09,22.96,12.73,23.85,25.58
1981,19.34,21.03,12.35,7.79,10.34,9.70,16.15,10.91,13.17,7.69,17.73,16.41,15.12,15.72,21.46,11.18,26.36,23.52,10.22,18.01,21.77,9.60,22.58,12.35,23.74,25.16
1982,19.74,21.62,12.83,8.21,10.86,10.08,16.87,11.37,13.56,8.04,18.13,16.78,15.47,16.31,22.35,11.62,26.64,23.88,10.77,18.35,22.63,10.13,23.03,12.85,24.63,25.42
1983,20.42,22.23,13.63,9.04,11.77,10.95,17.55,12.29,14.33,8.91,18.93,17.69,16.32,17.01,23.06,12.52,27.11,24.53,11.64,19.18,23.23,10.91,23.66,13.73,25.12,26.14
1984,19.42,21.07,12.49,7.83,10.48,9.75,16.29,11.22,13.27,7.78,17.86,16.47,15.19,15.84,21.67,11.27,26.32,23.74,10.49,18.03,21.90,9.92,22.67,12.61,23.83,25.25
1985,19.21,20.72,12.05,7.69,10.37,9.50,15.88,11.13,13.24,7.44,17.48,16.16,14.92,15.43,21.22,10.96,26.10,23.82,10.46,17.74,21.48,9.94,22.30,12.61,23.41,25.06
1986,19.36,20.99,12.35,7.75,10.36,9.63,16.19,11.16,13.28,7.66,17.76,16.32,15.14,15.73,21.61,11.19,26.27,23.82,10.37,17.99,21.85,9.89,22.56,12.47,23.81,25.23
1987,20.12,21.64,13.34,8.84,11.45,10.73,17.09,12.16,14.32,8.75,18.60,17.46,16.12,16.70,22.64,12.27,26.59,24.74,11.41,18.90,22.79,10.88,23.23,13.54,24.64,25.97
1988,19.50,20.79,12.32,7.99,10.53,9.89,15.96,11.40,13.70,8.00,17.85,16.58,15.41,15.59,21.28,11.30,26.29,24.36,10.59,18.19,21.52,10.26,22.50,12.73,23.53,25.56
1989,19.21,20.62,12.16,7.78,10.42,9.70,15.87,11.06,13.26,7.72,17.60,16.40,15.12,15.47,21.25,11.16,26.03,23.66,10.39,17.91,21.46,9.80,22.30,12.48,23.41,25.09
1990,19.51,21.11,12.53,7.99,10.58,9.94,16.33,11.10,13.46,8.00,17.89,16.67,15.37,15.93,21.72,11.42,26.37,23.89,10.51,18.19,22.06,9.96,22.72,12.60,24.04,25.34
1991,19.61,21.21,12.69,8.09,10.62,10.00,16.49,11.30,13.53,8.07,18.04,16.71,15.46,16.06,21.94,11.54,26.46,23.96,10.60,18.27,22.17,10.08,22.82,12.72,24.13,25.46
1992,20.00,21.56,13.43,8.53,11.05,10.48,16.99,11.58,13.88,8.54,18.76,17.23,16.00,16.72,22.38,12.20,26.73,24.20,10.78,18.93,22.48,10.28,23.38,12.85,24.34,25.94
1993,19.77,21.36,13.06,8.40,11.00,10.30,16.74,11.59,13.76,8.32,18.40,17.02,15.73,16.37,22.19,11.90,26.40,24.09,10.89,18.62,22.31,10.31,23.03,12.96,24.20,25.63
1994,19.77,21.17,12.78,8.44,10.95,10.29,16.49,11.65,13.93,8.26,18.19,16.91,15.67,16.10,21.88,11.68,26.44,24.40,10.99,18.45,22.00,10.54,22.91,13.07,23.90,25.74
1995,19.83,21.36,12.77,8.25,10.78,10.15,16.56,11.43,13.78,8.24,18.23,16.81,15.69,16.17,21.87,11.64,26.73,24.24,10.78,18.49,22.09,10.32,23.05,12.82,24.09,25.83
1996,19.23,20.61,11.95,7.88,10.28,9.69,15.69,10.82,13.40,7.66,17.45,16.28,15.04,15.28,20.94,10.90,26.14,23.89,10.22,17.80,21.28,9.85,22.28,12.27,23.38,25.24
1997,20.27,22.03,13.62,8.75,11.31,10.69,17.40,11.78,14.12,8.76,18.90,17.43,16.18,17.01,22.86,12.34,27.01,24.40,11.15,19.07,23.05,10.58,23.66,13.19,25.00,26.13
1998,20.49,22.08,13.65,9.04,11.57,11.00,17.39,12.12,14.41,9.10,19.07,17.72,16.50,16.99,22.82,12.57,27.25,24.71,11.49,19.32,23.00,10.89,23.73,13.48,24.94,26.43
1999,19.34,20.79,12.39,7.95,10.43,9.90,16.05,10.94,13.33,7.94,17.87,16.55,15.38,15.67,21.40,11.34,26.15,23.63,10.31,18.15,21.57,9.75,22.48,12.34,23.51,25.39
2000,19.53,20.93,12.65,8.02,10.58,9.95,16.26,11.17,13.48,8.07,18.09,16.63,15.52,15.96,21.65,11.52,26.33,23.87,10.51,18.34,21.70,9.98,22.79,12.58,23.55,25.59
2001,19.36,20.71,12.27,7.94,10.53,9.88,15.98,11.04,13.45,7.95,17.73,16.56,15.32,15.59,21.35,11.29,26.15,23.88,10.45,18.09,21.54,9.95,22.42,12.48,23.50,25.33
2002,19.79,21.40,12.94,8.21,10.72,10.14,16.73,11.28,13.69,8.26,18.30,16.86,15.68,16.33,22.15,11.77,26.67,24.10,10.60,18.52,22.34,10.11,23.09,12.63,24.28,25.67
2003,19.70,21.26,12.85,8.12,10.64,10.06,16.61,11.12,13.57,8.20,18.20,16.82,15.63,16.23,21.99,11.71,26.61,23.95,10.47,18.43,22.15,9.98,22.99,12.51,24.06,25.57
2004,19.83,21.32,12.93,8.29,10.81,10.20,16.65,11.46,13.80,8.33,18.33,16.90,15.79,16.29,22.03,11.83,26.66,24.24,10.74,18.60,22.22,10.26,23.07,12.84,24.14,25.78
2005,19.67,21.13,12.72,8.04,10.53,9.97,16.43,11.13,13.60,8.15,18.19,16.67,15.67,16.05,21.76,11.66,26.56,24.08,10.40,18.52,21.96,9.98,22.88,12.44,23.92,25.74
2006,19.77,21.26,12.94,8.32,10.85,10.24,16.62,11.39,13.76,8.31,18.33,16.97,15.71,16.27,22.01,11.81,26.55,24.12,10.69,18.59,22.18,10.21,23.03,12.76,24.11,25.70
2007,19.23,20.57,12.14,7.69,10.19,9.61,15.85,10.78,13.28,7.77,17.65,16.28,15.20,15.46,21.19,11.12,26.11,23.80,10.13,17.97,21.37,9.70,22.33,12.18,23.33,25.29
2008,19.51,21.11,12.81,7.90,10.34,9.86,16.49,10.89,13.33,8.02,18.20,16.59,15.51,16.14,21.86,11.63,26.36,23.69,10.09,18.44,22.03,9.65,22.89,12.14,23.92,25.55
2009,19.86,21.43,12.98,8.39,10.85,10.34,16.74,11.28,13.78,8.41,18.38,17.04,15.82,16.36,22.17,11.86,26.71,24.13,10.61,18.65,22.35,10.12,23.09,12.65,24.29,25.84
2010,19.82,21.21,12.72,8.29,10.75,10.22,16.46,11.27,13.86,8.39,18.21,16.87,15.83,16.06,21.83,11.71,26.70,24.34,10.62,18.58,22.03,10.20,22.89,12.65,23.98,25.93
2011,19.56,20.92,12.59,8.19,10.65,10.08,16.23,11.10,13.66,8.13,18.03,16.72,15.54,15.88,21.64,11.51,26.33,24.07,10.43,18.37,21.81,10.04,22.64,12.46,23.74,25.63
2012,19.77,21.22,13.05,8.42,10.79,10.34,16.61,11.20,13.83,8.43,18.40,17.04,15.82,16.33,22.03,11.91,26.48,24.14,10.43,18.69,22.18,10.06,23.00,12.47,24.08,25.79
2013,19.38,20.76,12.24,7.89,10.34,9.81,16.01,10.86,13.46,7.91,17.70,16.45,15.33,15.59,21.38,11.20,26.30,23.90,10.23,18.08,21.59,9.84,22.43,12.27,23.55,25.42
2014,19.78,21.32,12.87,8.30,10.78,10.20,16.64,11.42,13.77,8.30,18.23,16.89,15.70,16.23,22.11,11.76,26.59,24.20,10.69,18.52,22.30,10.26,22.96,12.77,24.26,25.69
2015,20.36,21.95,13.61,8.87,11.29,10.82,17.33,11.85,14.32,8.91,18.91,17.54,16.31,16.97,22.83,12.42,27.12,24.71,11.09,19.17,22.97,10.69,23.64,13.17,24.91,26.28
2016,20.30,21.85,13.46,8.83,11.35,10.75,17.19,11.88,14.29,8.81,18.82,17.42,16.22,16.82,22.60,12.26,27.09,24.66,11.21,19.05,22.76,10.75,23.57,13.27,24.66,26.24
2017,20.06,21.71,13.35,8.41,10.97,10.33,17.07,11.61,13.95,8.42,18.67,16.99,15.93,16.69,22.49,11.97,26.86,24.41,10.91,18.81,22.63,10.45,23.50,12.97,24.51,26.05
2018,19.65,21.20,12.59,8.11,10.67,10.04,16.49,11.26,13.60,8.11,18.05,16.74,15.50,16.01,21.92,11.48,26.54,24.01,10.61,18.30,22.13,10.13,22.86,12.67,24.07,25.54
2019,19.97,21.78,12.83,8.29,10.85,10.19,17.05,11.43,13.84,8.25,18.26,16.83,15.69,16.45,22.50,11.58,26.93,24.31,10.83,18.52,22.73,10.37,23.28,12.92,24.65,25.84
2020,20.01,21.54,12.83,8.48,11.09,10.35,16.83,11.73,14.03,8.37,18.30,16.95,15.83,16.33,22.25,11.66,26.84,24.51,11.15,18.61,22.44,10.64,23.22,13.23,24.35,25.97
