Variable:,tas
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1960,6.09,9.48,5.09,8.36,7.52,3.65,6.04,2.80,4.39,9.80
1961,6.80,9.98,5.85,8.94,8.20,4.45,6.64,3.73,5.38,10.36
1962,5.07,8.37,4.12,7.29,6.48,2.65,4.93,1.90,3.61,8.73
1963,5.40,8.58,4.61,7.50,6.80,3.10,5.32,2.23,3.71,8.91
1964,5.93,8.95,5.12,7.95,7.30,3.69,5.78,2.95,4.62,9.34
1965,5.28,8.54,4.33,7.49,6.75,2.89,5.22,2.00,3.60,8.94
1966,6.44,9.94,5.38,8.84,7.89,3.91,6.43,2.99,4.53,10.33
1967,6.43,9.89,5.33,8.83,7.82,3.90,6.37,3.05,4.65,10.33
1968,6.01,9.43,4.98,8.33,7.44,3.55,5.93,2.69,4.25,9.81
1969,5.64,8.91,4.64,7.90,7.07,3.24,5.50,2.45,4.04,9.34
1970,5.54,8.99,4.41,7.93,6.96,2.99,5.45,2.21,3.89,9.41
1971,6.10,9.34,5.14,8.33,7.56,3.76,5.93,2.90,4.45,9.74
1972,5.88,9.18,4.99,8.09,7.29,3.54,5.72,2.71,4.19,9.49
1973,5.81,9.19,4.80,8.13,7.25,3.37,5.66,2.51,4.12,9.57
1974,6.51,9.92,5.40,8.90,8.00,4.05,6.40,3.13,4.69,10.35
1975,6.51,9.90,5.58,8.82,7.90,4.08,6.40,3.19,4.71,10.27
1976,6.01,9.29,4.98,8.31,7.46,3.57,5.87,2.74,4.47,9.72
1977,6.58,9.87,5.61,8.85,8.08,4.22,6.51,3.26,4.71,10.25
1978,5.45,8.62,4.44,7.69,6.96,3.14,5.25,2.28,3.86,9.06
1979,6.01,9.41,5.05,8.26,7.44,3.61,5.92,2.72,4.28,9.68
1980,5.30,8.54,4.33,7.51,6.73,2.93,5.20,2.10,3.72,8.96
1981,6.12,9.70,4.91,8.62,7.58,3.52,6.04,2.63,4.30,10.12
1982,6.58,9.77,5.63,8.75,8.00,4.26,6.42,3.48,5.12,10.14
1983,6.84,10.22,5.73,9.19,8.26,4.40,6.67,3.59,5.20,10.63
1984,5.76,9.18,4.69,8.13,7.17,3.24,5.67,2.42,4.11,9.59
1985,5.60,8.78,4.70,7.74,6.98,3.24,5.49,2.48,4.14,9.16
1986,6.01,9.14,4.99,8.23,7.49,3.71,5.77,2.91,4.50,9.62
1987,5.86,9.04,4.91,8.02,7.25,3.54,5.70,2.74,4.40,9.47
1988,6.76,10.00,5.62,9.10,8.25,4.32,6.59,3.52,5.20,10.53
1989,7.02,10.19,5.91,9.31,8.46,4.65,6.82,3.88,5.54,10.73
1990,6.99,10.28,5.92,9.28,8.40,4.59,6.81,3.84,5.53,10.71
1991,6.08,9.24,5.08,8.28,7.48,3.75,5.88,3.04,4.68,9.70
1992,7.28,10.54,6.23,9.55,8.73,4.91,7.16,4.06,5.45,10.97
1993,6.65,9.84,5.69,8.85,8.10,4.32,6.54,3.47,4.91,10.27
1994,7.89,11.16,6.88,10.17,9.37,5.48,7.82,4.60,6.06,11.61
1995,6.64,9.99,5.56,8.99,8.10,4.15,6.57,3.32,4.91,10.43
1996,5.66,8.80,4.87,7.67,6.95,3.39,5.57,2.68,4.25,9.10
1997,6.79,9.80,5.99,8.80,8.11,4.52,6.69,3.82,5.51,10.19
1998,6.95,10.33,5.95,9.29,8.32,4.43,6.93,3.61,5.18,10.75
1999,6.96,10.34,5.94,9.35,8.34,4.44,6.92,3.57,5.13,10.84
2000,7.81,11.26,6.77,10.22,9.20,5.26,7.82,4.32,5.83,11.70
2001,6.82,10.14,5.95,9.02,8.20,4.39,6.80,3.52,5.13,10.44
2002,7.55,10.88,6.61,9.75,8.98,5.17,7.49,4.29,5.83,11.17
2003,7.10,10.33,6.16,9.27,8.47,4.73,6.99,3.96,5.65,10.65
2004,6.58,9.88,5.59,8.85,7.99,4.15,6.46,3.36,5.00,10.28
2005,6.20,9.52,5.15,8.48,7.61,3.74,6.07,2.98,4.78,9.90
2006,7.01,10.19,6.07,9.09,8.44,4.70,6.87,3.99,5.59,10.48
2007,7.62,11.09,6.64,9.96,9.05,5.12,7.58,4.19,5.72,11.36
2008,7.48,11.07,6.48,9.91,8.91,4.94,7.47,3.94,5.36,11.41
2009,7.30,10.83,6.35,9.63,8.69,4.78,7.26,3.86,5.43,11.13
2010,6.34,9.83,5.45,8.63,7.75,3.85,6.36,2.87,4.31,10.17
2011,7.71,10.83,6.79,9.76,9.15,5.49,7.60,4.66,6.21,11.17
2012,7.48,11.00,6.52,9.76,8.90,5.05,7.47,4.08,5.55,11.19
2013,7.15,10.70,6.21,9.45,8.57,4.67,7.18,3.63,5.16,10.99
2014,8.17,11.69,7.12,10.57,9.59,5.66,8.08,4.74,6.40,12.10
2015,8.08,11.50,6.98,10.43,9.56,5.61,7.96,4.74,6.43,11.86
2016,7.59,10.99,6.57,9.90,9.03,5.14,7.51,4.24,5.87,11.33
2017,7.50,11.00,6.45,9.80,8.92,4.99,7.46,4.14,5.87,11.20
2018,8.31,11.80,7.29,10.69,9.73,5.74,8.26,4.88,6.62,12.16
2019,8.16,11.77,7.12,10.57,9.58,5.57,8.14,4.65,6.31,12.08
2020,8.08,11.33,7.06,10.29,9.53,5.67,7.93,4.91,6.66,11.72
