Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1989,24.57,25.32,19.41,26.68,24.67,23.80,24.57,23.05
1990,24.80,25.54,19.64,26.89,24.89,24.04,24.85,23.29
1991,24.92,25.66,19.77,27.03,25.01,24.16,24.94,23.41
1992,24.91,25.66,19.74,27.04,25.00,24.14,24.94,23.38
1993,24.89,25.61,19.75,26.97,24.98,24.15,24.92,23.37
1994,24.89,25.65,19.71,27.03,24.97,24.11,24.89,23.36
1995,24.87,25.60,19.74,26.96,24.96,24.12,24.88,23.36
1996,24.36,25.10,19.22,26.45,24.45,23.60,24.36,22.85
1997,24.92,25.69,19.75,27.08,25.01,24.14,24.91,23.39
1998,25.10,25.86,19.95,27.23,25.19,24.33,25.10,23.58
1999,24.18,24.93,19.04,26.30,24.27,23.44,24.18,22.68
2000,24.42,25.19,19.27,26.58,24.52,23.64,24.40,22.91
2001,24.85,25.62,19.69,27.00,24.95,24.07,24.84,23.35
2002,25.00,25.76,19.84,27.13,25.11,24.23,25.00,23.49
2003,25.06,25.83,19.91,27.21,25.15,24.28,25.04,23.56
2004,24.88,25.64,19.73,27.03,24.96,24.10,24.86,23.37
2005,24.76,25.52,19.59,26.92,24.84,23.97,24.74,23.25
2006,24.93,25.68,19.77,27.06,25.02,24.16,24.93,23.44
2007,24.73,25.49,19.60,26.86,24.82,23.97,24.72,23.25
2008,24.69,25.49,19.52,26.87,24.79,23.89,24.65,23.19
2009,25.10,25.86,19.92,27.26,25.17,24.31,25.09,23.59
2010,24.92,25.67,19.77,27.05,25.00,24.14,24.93,23.44
2011,24.74,25.50,19.59,26.87,24.82,23.96,24.74,23.24
2012,24.76,25.48,19.62,26.84,24.82,24.00,24.79,23.27
2013,24.90,25.61,19.78,26.96,24.96,24.17,24.95,23.42
2014,25.05,25.76,19.90,27.12,25.10,24.30,25.10,23.56
2015,25.06,25.79,19.93,27.15,25.15,24.33,25.07,23.56
2016,25.16,25.92,20.02,27.27,25.25,24.40,25.14,23.66
2017,24.93,25.72,19.77,27.09,25.04,24.15,24.88,23.42
2018,24.54,25.26,19.39,26.62,24.61,23.80,24.57,23.03
2019,24.90,25.63,19.76,26.98,24.98,24.17,24.92,23.39
2020,25.09,25.87,19.94,27.21,25.21,24.34,25.06,23.58
