Variable:,tas
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1947,6.48,6.57,6.47,6.46,6.46,6.46,6.46,6.55,6.46,6.46,6.46,6.46
1948,6.28,6.37,6.27,6.26,6.26,6.26,6.26,6.35,6.26,6.26,6.26,6.26
1949,6.45,6.55,6.44,6.43,6.43,6.43,6.43,6.52,6.43,6.43,6.43,6.43
1950,6.21,6.31,6.20,6.19,6.19,6.19,6.19,6.29,6.19,6.19,6.19,6.19
1951,5.99,6.08,5.98,5.97,5.97,5.97,5.97,6.06,5.97,5.97,5.97,5.97
1952,5.40,5.50,5.39,5.38,5.38,5.38,5.38,5.48,5.38,5.38,5.38,5.38
1953,6.01,6.11,6.00,5.99,5.99,5.99,5.99,6.08,5.99,5.99,5.99,5.99
1954,5.00,5.10,4.99,4.98,4.98,4.98,4.98,5.08,4.98,4.98,4.98,4.98
1955,5.17,5.27,5.16,5.15,5.15,5.15,5.15,5.25,5.15,5.15,5.15,5.15
1956,4.41,4.51,4.40,4.39,4.39,4.39,4.39,4.49,4.39,4.39,4.39,4.39
1957,5.84,5.93,5.83,5.82,5.82,5.82,5.82,5.91,5.82,5.82,5.82,5.82
1958,5.78,5.88,5.77,5.76,5.76,5.76,5.76,5.86,5.76,5.76,5.76,5.76
1959,6.40,6.49,6.39,6.38,6.38,6.38,6.38,6.47,6.38,6.38,6.38,6.38
1960,5.58,5.68,5.57,5.56,5.56,5.56,5.56,5.66,5.56,5.56,5.56,5.56
1961,6.58,6.68,6.57,6.56,6.56,6.56,6.56,6.65,6.56,6.56,6.56,6.56
1962,4.80,4.90,4.79,4.78,4.78,4.78,4.78,4.87,4.78,4.78,4.78,4.78
1963,4.91,5.01,4.90,4.89,4.89,4.89,4.89,4.98,4.89,4.89,4.89,4.89
1964,5.82,5.92,5.81,5.80,5.80,5.80,5.80,5.90,5.80,5.80,5.80,5.80
1965,4.80,4.90,4.79,4.78,4.78,4.78,4.78,4.88,4.78,4.78,4.78,4.78
1966,5.70,5.80,5.69,5.68,5.68,5.68,5.68,5.78,5.68,5.68,5.68,5.68
1967,5.83,5.93,5.82,5.81,5.81,5.81,5.81,5.91,5.81,5.81,5.81,5.81
1968,5.45,5.55,5.44,5.43,5.43,5.43,5.43,5.52,5.43,5.43,5.43,5.43
1969,5.24,5.33,5.23,5.22,5.22,5.22,5.22,5.31,5.22,5.22,5.22,5.22
1970,5.08,5.18,5.07,5.06,5.06,5.06,5.06,5.16,5.06,5.06,5.06,5.06
1971,5.66,5.76,5.65,5.64,5.64,5.64,5.64,5.73,5.64,5.64,5.64,5.64
1972,5.39,5.48,5.38,5.37,5.37,5.37,5.37,5.46,5.37,5.37,5.37,5.37
1973,5.32,5.42,5.31,5.30,5.30,5.30,5.30,5.39,5.30,5.30,5.30,5.30
1974,5.88,5.98,5.87,5.86,5.86,5.86,5.86,5.96,5.86,5.86,5.86,5.86
1975,5.91,6.01,5.90,5.89,5.89,5.89,5.89,5.98,5.89,5.89,5.89,5.89
1976,5.70,5.80,5.69,5.68,5.68,5.68,5.68,5.78,5.68,5.68,5.68,5.68
1977,5.91,6.01,5.90,5.89,5.89,5.89,5.89,5.98,5.89,5.89,5.89,5.89
1978,5.07,5.17,5.06,5.05,5.05,5.05,5.05,5.15,5.05,5.05,5.05,5.05
1979,5.49,5.59,5.48,5.47,5.47,5.47,5.47,5.57,5.47,5.47,5.47,5.47
1980,4.91,5.01,4.90,4.89,4.89,4.89,4.89,4.99,4.89,4.89,4.89,4.89
1981,5.50,5.60,5.49,5.48,5.48,5.48,5.48,5.58,5.48,5.48,5.48,5.48
1982,6.34,6.44,6.33,6.32,6.32,6.32,6.32,6.41,6.32,6.32,6.32,6.32
1983,6.41,6.51,6.40,6.39,6.39,6.39,6.39,6.48,6.39,6.39,6.39,6.39
1984,5.33,5.43,5.32,5.31,5.31,5.31,5.31,5.41,5.31,5.31,5.31,5.31
1985,5.35,5.45,5.34,5.33,5.33,5.33,5.33,5.42,5.33,5.33,5.33,5.33
1986,5.69,5.79,5.68,5.67,5.67,5.67,5.67,5.76,5.67,5.67,5.67,5.67
1987,5.61,5.71,5.60,5.59,5.59,5.59,5.59,5.68,5.59,5.59,5.59,5.59
1988,6.40,6.50,6.39,6.38,6.38,6.38,6.38,6.48,6.38,6.38,6.38,6.38
1989,6.75,6.85,6.74,6.73,6.73,6.73,6.73,6.82,6.73,6.73,6.73,6.73
1990,6.75,6.85,6.74,6.73,6.73,6.73,6.73,6.83,6.73,6.73,6.73,6.73
1991,5.84,5.93,5.83,5.82,5.82,5.82,5.82,5.91,5.82,5.82,5.82,5.82
1992,6.63,6.72,6.62,6.61,6.61,6.61,6.61,6.70,6.61,6.61,6.61,6.61
1993,6.09,6.18,6.08,6.07,6.07,6.07,6.07,6.16,6.07,6.07,6.07,6.07
1994,7.25,7.35,7.24,7.23,7.23,7.23,7.23,7.32,7.23,7.23,7.23,7.23
1995,6.11,6.21,6.10,6.09,6.09,6.09,6.09,6.18,6.09,6.09,6.09,6.09
1996,5.45,5.54,5.44,5.43,5.43,5.43,5.43,5.52,5.43,5.43,5.43,5.43
1997,6.70,6.79,6.69,6.68,6.68,6.68,6.68,6.77,6.68,6.68,6.68,6.68
1998,6.36,6.46,6.35,6.34,6.34,6.34,6.34,6.43,6.34,6.34,6.34,6.34
1999,6.32,6.42,6.31,6.30,6.30,6.30,6.30,6.39,6.30,6.30,6.30,6.30
2000,7.04,7.13,7.03,7.02,7.02,7.02,7.02,7.11,7.02,7.02,7.02,7.02
2001,6.35,6.45,6.34,6.33,6.33,6.33,6.33,6.43,6.33,6.33,6.33,6.33
2002,7.04,7.14,7.03,7.02,7.02,7.02,7.02,7.11,7.02,7.02,7.02,7.02
2003,6.86,6.96,6.85,6.84,6.84,6.84,6.84,6.93,6.84,6.84,6.84,6.84
2004,6.22,6.32,6.21,6.20,6.20,6.20,6.20,6.30,6.20,6.20,6.20,6.20
2005,6.01,6.11,6.00,5.99,5.99,5.99,5.99,6.09,5.99,5.99,5.99,5.99
2006,6.80,6.90,6.79,6.78,6.78,6.78,6.78,6.87,6.78,6.78,6.78,6.78
2007,6.94,7.04,6.93,6.92,6.92,6.92,6.92,7.01,6.92,6.92,6.92,6.92
2008,6.57,6.67,6.56,6.55,6.55,6.55,6.55,6.64,6.55,6.55,6.55,6.55
2009,6.64,6.74,6.63,6.62,6.62,6.62,6.62,6.71,6.62,6.62,6.62,6.62
2010,5.51,5.61,5.50,5.49,5.49,5.49,5.49,5.58,5.49,5.49,5.49,5.49
2011,7.42,7.51,7.41,7.40,7.40,7.40,7.40,7.49,7.40,7.40,7.40,7.40
2012,6.75,6.84,6.74,6.73,6.73,6.73,6.73,6.82,6.73,6.73,6.73,6.73
2013,6.35,6.45,6.34,6.33,6.33,6.33,6.33,6.43,6.33,6.33,6.33,6.33
2014,7.63,7.73,7.62,7.61,7.61,7.61,7.61,7.71,7.61,7.61,7.61,7.61
2015,7.64,7.74,7.63,7.62,7.62,7.62,7.62,7.72,7.62,7.62,7.62,7.62
2016,7.10,7.19,7.09,7.08,7.08,7.08,7.08,7.17,7.08,7.08,7.08,7.08
2017,7.11,7.21,7.10,7.09,7.09,7.09,7.09,7.19,7.09,7.09,7.09,7.09
2018,7.85,7.96,7.84,7.83,7.83,7.83,7.83,7.93,7.83,7.83,7.83,7.83
2019,7.53,7.63,7.52,7.51,7.51,7.51,7.51,7.61,7.51,7.51,7.51,7.51
2020,7.86,7.97,7.85,7.84,7.84,7.84,7.84,7.94,7.84,7.84,7.84,7.84
