Variable:,tas
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1980,12.15,13.15,10.45,12.27,14.66,13.19,13.29,10.26,11.91,12.73,10.84
1981,11.44,12.46,9.83,11.65,13.85,12.46,12.52,9.60,11.19,11.98,10.14
1982,12.20,13.30,10.65,12.46,14.66,13.25,13.28,10.33,11.90,12.69,10.86
1983,12.83,13.92,11.26,13.07,15.33,13.90,13.92,10.93,12.52,13.31,11.47
1984,12.42,13.50,10.82,12.66,14.94,13.49,13.52,10.50,12.11,12.92,11.06
1985,12.76,13.82,11.15,12.95,15.19,13.79,13.84,10.95,12.50,13.27,11.46
1986,12.59,13.65,11.01,12.79,15.05,13.64,13.67,10.77,12.31,13.08,11.26
1987,12.59,13.67,11.01,12.81,15.09,13.65,13.68,10.73,12.29,13.08,11.24
1988,12.04,13.06,10.46,12.24,14.42,13.03,13.12,10.25,11.80,12.58,10.75
1989,11.92,12.97,10.26,12.06,14.32,12.95,12.99,10.11,11.69,12.45,10.63
1990,12.16,13.28,10.63,12.45,14.58,13.21,13.21,10.30,11.87,12.62,10.83
1991,12.38,13.33,10.74,12.51,14.84,13.37,13.52,10.52,12.20,12.99,11.08
1992,12.98,14.11,11.49,13.28,15.37,14.03,13.99,11.21,12.65,13.37,11.66
1993,12.67,13.72,11.12,12.88,15.13,13.70,13.74,10.85,12.39,13.17,11.33
1994,11.81,12.86,10.13,11.94,14.34,12.88,12.97,9.89,11.53,12.39,10.46
1995,12.28,13.45,10.73,12.54,14.70,13.33,13.33,10.45,11.97,12.73,10.95
1996,11.77,12.84,10.15,11.94,14.23,12.80,12.89,9.90,11.50,12.32,10.43
1997,12.00,13.11,10.39,12.20,14.48,13.05,13.13,10.12,11.71,12.56,10.64
1998,12.55,13.66,10.98,12.77,15.01,13.59,13.65,10.72,12.22,13.06,11.17
1999,12.95,14.00,11.18,13.04,15.51,14.03,14.19,10.95,12.69,13.63,11.56
2000,11.86,12.89,10.21,12.02,14.36,12.90,13.00,9.97,11.61,12.43,10.54
2001,12.28,13.31,10.67,12.46,14.78,13.32,13.41,10.42,12.01,12.83,10.95
2002,12.33,13.35,10.79,12.54,14.80,13.34,13.42,10.51,12.04,12.84,10.99
2003,12.66,13.69,11.15,12.90,15.13,13.68,13.76,10.84,12.36,13.17,11.31
2004,12.86,13.89,11.28,13.06,15.37,13.90,13.97,11.00,12.56,13.38,11.51
2005,12.93,13.96,11.42,13.17,15.42,13.95,14.02,11.10,12.62,13.42,11.58
2006,12.30,13.33,10.69,12.48,14.80,13.33,13.42,10.44,12.02,12.84,10.96
2007,12.75,13.81,11.14,12.94,15.25,13.80,13.87,10.87,12.46,13.27,11.41
2008,12.77,13.81,11.22,12.98,15.26,13.80,13.89,10.92,12.47,13.30,11.43
2009,12.59,13.63,10.98,12.77,15.11,13.63,13.73,10.72,12.30,13.13,11.25
2010,13.02,14.05,11.38,13.19,15.56,14.07,14.16,11.12,12.73,13.58,11.67
2011,12.30,13.35,10.71,12.51,14.77,13.33,13.40,10.45,12.02,12.81,10.98
2012,12.59,13.65,11.01,12.80,15.04,13.62,13.67,10.75,12.31,13.08,11.27
2013,12.59,13.60,10.96,12.75,15.10,13.62,13.72,10.71,12.32,13.16,11.25
2014,12.81,13.82,11.19,12.97,15.31,13.83,13.94,10.95,12.53,13.36,11.47
2015,13.24,14.28,11.66,13.44,15.73,14.26,14.35,11.41,12.95,13.77,11.91
2016,13.42,14.44,11.79,13.59,15.93,14.45,14.55,11.54,13.14,13.97,12.08
2017,12.97,14.01,11.37,13.17,15.47,14.00,14.10,11.11,12.69,13.51,11.64
2018,13.15,14.20,11.59,13.38,15.61,14.18,14.24,11.32,12.87,13.65,11.83
2019,13.81,14.88,12.23,14.03,16.31,14.85,14.92,11.94,13.52,14.33,12.48
2020,12.91,13.95,11.29,13.09,15.43,13.96,14.05,11.02,12.64,13.47,11.58
