Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1925,24.58,16.02,26.27,25.10,18.48,27.69,21.17,22.31,20.38
1926,24.75,16.35,26.43,25.26,18.84,27.56,21.62,22.67,20.82
1927,24.60,16.14,26.29,25.12,18.62,27.52,21.36,22.45,20.56
1928,24.97,16.49,26.68,25.50,18.95,28.00,21.64,22.74,20.85
1929,22.73,13.97,24.39,23.28,16.40,26.06,19.02,20.36,18.27
1930,22.90,14.22,24.54,23.43,16.67,26.06,19.35,20.63,18.60
1931,24.01,15.52,25.73,24.52,17.96,27.05,20.68,21.76,19.86
1932,23.33,14.90,25.00,23.80,17.40,26.18,20.20,21.25,19.40
1933,23.77,15.23,25.47,24.29,17.67,26.86,20.37,21.51,19.57
1934,23.78,15.22,25.46,24.31,17.66,26.84,20.39,21.54,19.58
1935,23.74,15.22,25.44,24.25,17.68,26.77,20.41,21.53,19.61
1936,23.59,15.06,25.29,24.10,17.50,26.65,20.23,21.35,19.42
1937,23.80,15.16,25.51,24.36,17.56,27.03,20.23,21.45,19.43
1938,23.81,15.30,25.49,24.32,17.75,26.80,20.50,21.62,19.69
1939,24.13,15.58,25.83,24.67,18.00,27.21,20.71,21.87,19.91
1940,24.50,16.03,26.18,24.98,18.51,27.49,21.23,22.32,20.43
1941,24.36,15.91,25.96,24.87,18.35,27.24,21.23,22.25,20.45
1942,24.30,15.80,25.86,24.82,18.23,27.25,21.05,22.20,20.32
1943,24.26,15.78,25.84,24.78,18.20,27.21,21.04,22.11,20.28
1944,24.51,16.02,26.13,25.02,18.45,27.52,21.22,22.33,20.44
1945,24.45,16.00,26.10,24.97,18.44,27.42,21.19,22.29,20.42
1946,24.46,15.98,26.12,24.99,18.44,27.43,21.12,22.27,20.33
1947,24.26,15.73,25.84,24.81,18.18,27.22,20.91,22.12,20.15
1948,24.26,15.81,25.98,24.75,18.29,27.20,21.02,22.08,20.20
1949,24.38,16.05,26.18,24.86,18.56,27.20,21.31,22.23,20.44
1950,23.93,15.45,25.70,24.44,17.94,26.87,20.64,21.73,19.82
1951,24.53,16.02,26.17,25.07,18.50,27.48,21.23,22.36,20.45
1952,24.93,16.46,26.64,25.46,18.93,27.83,21.60,22.76,20.80
1953,24.90,16.44,26.55,25.45,18.92,27.76,21.67,22.78,20.86
1954,24.67,16.19,26.35,25.21,18.69,27.56,21.40,22.52,20.59
1955,24.60,16.11,26.21,25.13,18.60,27.53,21.35,22.44,20.55
1956,24.13,15.71,25.87,24.62,18.23,27.05,20.96,21.95,20.13
1957,24.50,16.12,26.24,25.00,18.62,27.37,21.35,22.35,20.52
1958,24.75,16.34,26.45,25.25,18.83,27.56,21.62,22.65,20.82
1959,24.61,16.19,26.34,25.10,18.69,27.47,21.43,22.48,20.62
1960,24.43,16.03,26.08,24.93,18.52,27.23,21.32,22.36,20.54
1961,24.52,16.17,26.41,25.00,18.70,27.36,21.37,22.35,20.51
1962,24.26,15.82,26.05,24.76,18.30,27.23,20.98,22.04,20.18
1963,24.16,15.76,25.83,24.68,18.24,27.00,21.00,22.06,20.20
1964,24.05,15.69,25.75,24.56,18.18,26.83,20.96,21.98,20.14
1965,24.21,15.82,25.88,24.72,18.31,27.02,21.08,22.13,20.28
1966,24.47,16.10,26.22,24.96,18.59,27.27,21.36,22.35,20.54
1967,24.15,15.76,25.98,24.63,18.28,26.96,21.00,22.01,20.17
1968,23.69,15.21,25.38,24.19,17.71,26.53,20.51,21.59,19.74
1969,24.54,16.12,26.36,25.01,18.64,27.43,21.38,22.37,20.54
1970,24.57,16.14,26.27,25.06,18.61,27.51,21.34,22.41,20.55
1971,24.04,15.60,25.71,24.53,18.08,26.94,20.86,21.91,20.07
1972,24.62,16.24,26.30,25.14,18.73,27.46,21.42,22.49,20.62
1973,24.80,16.41,26.46,25.32,18.89,27.64,21.62,22.70,20.83
1974,24.35,15.98,26.12,24.84,18.47,27.18,21.20,22.22,20.39
1975,24.33,15.93,26.03,24.83,18.43,27.15,21.17,22.23,20.37
1976,24.61,16.22,26.27,25.13,18.72,27.46,21.45,22.50,20.64
1977,24.57,16.15,26.18,25.08,18.62,27.39,21.42,22.50,20.65
1978,24.44,15.99,26.08,24.95,18.48,27.31,21.27,22.34,20.47
1979,24.51,16.04,26.08,25.04,18.51,27.35,21.32,22.46,20.58
1980,24.74,16.28,26.29,25.27,18.75,27.57,21.55,22.68,20.78
1981,24.64,16.20,26.19,25.15,18.69,27.39,21.56,22.64,20.80
1982,24.57,16.16,26.14,25.07,18.63,27.31,21.51,22.58,20.74
1983,25.02,16.63,26.68,25.52,19.11,27.76,21.92,22.98,21.13
1984,24.53,16.12,26.04,25.04,18.62,27.28,21.47,22.55,20.70
1985,24.39,15.98,26.04,24.88,18.47,27.18,21.31,22.35,20.51
1986,24.62,16.18,26.23,25.11,18.64,27.41,21.48,22.58,20.72
1987,25.05,16.64,26.66,25.54,19.10,27.77,21.97,23.06,21.19
1988,24.93,16.54,26.65,25.42,19.03,27.68,21.83,22.87,21.01
1989,24.27,15.88,25.92,24.77,18.36,27.08,21.16,22.20,20.36
1990,24.67,16.28,26.27,25.16,18.77,27.40,21.64,22.69,20.84
1991,24.78,16.36,26.45,25.29,18.86,27.57,21.63,22.72,20.81
1992,24.68,16.28,26.34,25.19,18.76,27.48,21.56,22.62,20.77
1993,24.59,16.22,26.20,25.08,18.69,27.33,21.56,22.58,20.76
1994,24.76,16.39,26.47,25.25,18.90,27.51,21.66,22.70,20.83
1995,24.97,16.57,26.51,25.47,19.04,27.71,21.92,22.97,21.16
1996,24.84,16.41,26.45,25.36,18.88,27.64,21.69,22.80,20.93
1997,24.81,16.41,26.44,25.31,18.89,27.57,21.73,22.79,20.95
1998,25.02,16.62,26.67,25.52,19.09,27.82,21.88,22.97,21.10
1999,24.87,16.54,26.57,25.36,19.04,27.60,21.89,22.82,21.05
2000,24.92,16.54,26.50,25.40,19.04,27.62,21.96,22.94,21.18
2001,25.11,16.79,26.64,25.61,19.23,27.79,22.14,23.16,21.40
2002,25.39,17.00,26.86,25.90,19.44,28.06,22.45,23.46,21.70
2003,25.36,17.03,27.00,25.83,19.53,28.00,22.45,23.39,21.65
2004,25.05,16.64,26.47,25.56,19.11,27.71,22.18,23.17,21.45
2005,24.98,16.53,26.31,25.49,18.96,27.65,22.09,23.11,21.40
2006,25.12,16.67,26.59,25.65,19.13,27.84,22.04,23.17,21.33
2007,25.01,16.52,26.45,25.53,19.00,27.67,21.97,23.12,21.25
2008,24.96,16.51,26.38,25.48,18.94,27.64,21.90,23.07,21.21
2009,25.56,17.14,26.96,26.09,19.58,28.24,22.52,23.66,21.82
2010,25.42,16.98,26.93,25.93,19.44,28.05,22.37,23.51,21.66
2011,25.21,16.73,26.68,25.76,19.18,27.97,22.04,23.24,21.33
2012,24.92,16.46,26.50,25.45,18.93,27.73,21.75,22.89,20.99
2013,25.16,16.70,26.72,25.69,19.16,27.97,21.98,23.12,21.23
2014,25.12,16.63,26.70,25.66,19.09,27.93,21.90,23.06,21.14
2015,25.22,16.71,26.83,25.77,19.20,28.00,21.94,23.16,21.15
2016,25.56,17.15,27.20,26.09,19.61,28.38,22.36,23.49,21.59
2017,25.37,16.93,27.08,25.87,19.44,28.14,22.21,23.30,21.40
2018,25.02,16.63,26.69,25.52,19.12,27.79,21.91,22.97,21.12
2019,25.51,17.14,27.29,26.01,19.64,28.29,22.35,23.41,21.53
2020,25.43,16.99,27.05,25.96,19.44,28.26,22.21,23.36,21.46
