Variable:,tas
,Spain,Andalucía,Aragón,Canarias,Cantabria,"Castilla-La Mancha","Castilla y León",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Ciudad Autónoma de Melilla","Comunidad de Madrid","Comunidad Foral de Navarra","Comunitat Valenciana",Extremadura,Galicia,"Illes Balears","La Rioja","País Vasco/Euskadi","Principado de Asturias","Región de Murcia"
1954,12.65,15.45,11.06,17.10,10.49,12.73,10.45,12.11,17.11,17.44,12.35,10.94,14.41,14.96,11.34,16.11,9.42,10.86,9.88,14.79
1955,13.68,16.60,11.96,18.12,11.43,13.78,11.45,12.97,18.40,18.69,13.42,11.87,15.39,16.10,12.33,17.01,10.34,11.79,10.80,15.85
1956,12.10,14.78,10.51,16.87,10.11,12.09,9.96,11.65,16.52,16.87,11.73,10.41,13.84,14.35,10.97,15.56,8.89,10.39,9.53,14.22
1957,12.70,15.43,11.06,17.09,10.76,12.70,10.55,12.17,17.15,17.52,12.36,11.00,14.41,15.02,11.58,16.03,9.45,10.97,10.19,14.78
1958,13.17,15.85,11.66,17.67,11.07,13.24,11.00,12.72,17.55,17.88,12.89,11.55,14.99,15.36,11.83,16.66,10.02,11.46,10.40,15.33
1959,13.19,15.79,11.70,17.21,11.37,13.21,11.08,12.79,17.40,17.80,12.85,11.67,14.96,15.34,12.02,16.54,10.13,11.64,10.74,15.32
1960,13.00,15.74,11.44,17.52,10.96,13.07,10.85,12.43,17.46,17.78,12.72,11.36,14.75,15.19,11.70,16.34,9.86,11.30,10.31,15.20
1961,13.80,16.51,12.19,18.31,11.74,13.85,11.68,13.22,18.09,18.40,13.53,12.13,15.51,16.19,12.53,17.08,10.58,12.04,11.12,15.89
1962,12.98,15.90,11.24,17.69,10.73,13.11,10.79,12.16,17.52,17.82,12.73,11.11,14.68,15.40,11.66,16.10,9.65,11.04,10.15,15.18
1963,12.60,15.55,10.86,17.48,10.26,12.72,10.37,11.81,17.17,17.47,12.32,10.71,14.36,15.02,11.24,15.93,9.24,10.64,9.69,14.86
1964,13.26,16.02,11.64,17.82,11.05,13.39,11.09,12.67,17.57,17.85,13.04,11.44,15.08,15.60,11.92,16.60,9.97,11.37,10.44,15.42
1965,12.82,15.52,11.26,17.45,10.71,12.93,10.67,12.26,17.11,17.44,12.57,11.12,14.65,15.07,11.50,16.27,9.64,11.07,10.08,15.01
1966,13.20,15.72,11.79,17.89,11.21,13.28,11.10,12.82,17.23,17.61,13.00,11.66,15.02,15.32,11.86,16.60,10.17,11.58,10.54,15.27
1967,12.96,15.52,11.58,17.32,10.90,13.03,10.79,12.73,17.03,17.42,12.70,11.42,14.83,15.11,11.53,16.55,9.87,11.30,10.19,15.02
1968,13.17,15.75,11.70,17.27,11.17,13.27,11.09,12.64,17.29,17.65,12.99,11.59,14.97,15.37,11.85,16.60,10.13,11.52,10.51,15.25
1969,12.52,15.28,11.03,17.55,10.46,12.59,10.33,12.03,16.99,17.28,12.17,10.92,14.32,14.70,11.13,15.86,9.38,10.84,9.78,14.64
1970,13.04,15.76,11.54,17.65,10.91,13.13,10.86,12.54,17.39,17.71,12.78,11.42,14.80,15.32,11.63,16.35,9.88,11.29,10.24,15.07
1971,12.50,15.10,11.12,16.72,10.40,12.55,10.30,12.28,16.59,16.93,12.16,10.96,14.34,14.69,11.14,16.07,9.35,10.81,9.76,14.54
1972,12.20,14.88,10.81,16.46,10.15,12.30,9.97,11.93,16.47,16.70,11.85,10.72,13.97,14.36,10.75,15.58,9.16,10.62,9.38,14.22
1973,12.81,15.54,11.28,17.31,10.71,12.89,10.65,12.36,17.03,17.32,12.53,11.15,14.51,15.17,11.49,16.02,9.60,11.02,10.05,14.73
1974,12.71,15.56,11.22,16.98,10.60,12.79,10.47,12.26,17.08,17.33,12.36,11.13,14.39,15.04,11.25,15.91,9.58,11.00,9.88,14.65
1975,12.74,15.40,11.28,17.28,10.74,12.79,10.61,12.31,16.99,17.21,12.45,11.21,14.44,14.97,11.41,15.97,9.70,11.12,10.03,14.71
1976,12.78,15.31,11.34,17.15,11.00,12.78,10.75,12.38,16.84,17.01,12.47,11.34,14.38,15.03,11.60,15.86,9.79,11.31,10.32,14.53
1977,12.84,15.49,11.30,17.45,10.84,12.88,10.75,12.34,17.03,17.43,12.58,11.21,14.53,15.13,11.60,16.21,9.73,11.15,10.23,14.88
1978,12.99,15.74,11.35,17.72,10.87,13.10,10.87,12.26,17.32,17.64,12.75,11.23,14.70,15.33,11.73,16.08,9.79,11.17,10.25,15.04
1979,13.09,15.78,11.55,17.64,10.90,13.26,10.92,12.53,17.27,17.77,12.87,11.41,14.96,15.25,11.68,16.39,9.98,11.33,10.21,15.39
1980,12.87,15.86,11.07,17.67,10.50,13.04,10.64,12.01,17.44,17.82,12.63,10.89,14.62,15.32,11.53,15.98,9.46,10.80,9.93,15.16
1981,13.47,16.19,11.78,17.71,11.41,13.57,11.42,12.67,17.66,17.96,13.31,11.70,15.09,15.94,12.30,16.56,10.27,11.64,10.79,15.42
1982,13.48,15.89,12.21,17.38,11.57,13.60,11.37,13.23,17.40,17.78,13.28,12.16,15.31,15.51,12.07,16.89,10.63,12.06,10.80,15.51
1983,13.47,16.20,11.99,18.09,11.37,13.60,11.27,12.95,17.78,18.10,13.21,11.87,15.25,15.71,12.04,16.90,10.35,11.75,10.67,15.62
1984,12.73,15.52,11.11,17.43,10.70,12.84,10.59,12.07,17.18,17.43,12.48,11.07,14.38,15.03,11.42,15.86,9.62,11.06,10.04,14.78
1985,13.38,16.28,11.57,17.88,11.10,13.59,11.21,12.40,17.84,18.09,13.24,11.43,15.10,15.85,12.09,16.54,10.01,11.38,10.53,15.54
1986,13.19,15.83,11.71,17.47,11.06,13.41,11.01,12.64,17.26,17.57,13.07,11.57,15.05,15.35,11.71,16.55,10.14,11.50,10.32,15.32
1987,13.64,16.32,11.92,18.60,11.42,13.84,11.57,12.70,17.75,18.03,13.54,11.78,15.46,15.99,12.48,16.86,10.44,11.73,10.86,15.76
1988,13.44,16.17,11.98,17.83,11.44,13.56,11.25,12.95,17.64,17.93,13.14,11.85,15.21,15.62,12.04,16.72,10.35,11.75,10.73,15.50
1989,14.23,16.78,12.73,18.00,12.41,14.30,12.20,13.60,18.23,18.55,13.98,12.69,15.87,16.51,13.04,17.13,11.19,12.67,11.75,16.07
1990,14.04,16.59,12.61,18.32,12.23,14.13,11.97,13.53,17.97,18.33,13.79,12.55,15.69,16.23,12.72,17.13,11.08,12.52,11.51,15.90
1991,13.33,15.90,11.81,17.53,11.32,13.44,11.29,12.73,17.23,17.40,13.17,11.71,14.91,15.70,12.12,16.23,10.27,11.67,10.70,15.04
1992,13.33,15.90,11.80,17.61,11.38,13.39,11.29,12.80,17.35,17.48,13.11,11.70,14.90,15.67,12.15,16.28,10.24,11.68,10.73,15.08
1993,12.92,15.41,11.48,17.28,11.06,12.96,10.87,12.57,16.85,17.34,12.61,11.37,14.72,15.05,11.69,16.35,9.90,11.33,10.39,14.93
1994,13.95,16.40,12.70,17.78,12.07,14.00,11.80,13.76,17.75,18.27,13.57,12.59,15.82,16.06,12.49,17.48,11.08,12.51,11.28,15.97
1995,14.27,16.82,12.79,18.65,12.36,14.38,12.24,13.67,18.30,18.53,14.06,12.75,15.92,16.53,13.00,17.24,11.30,12.70,11.65,16.14
1996,13.47,16.09,12.05,18.07,11.40,13.59,11.36,13.04,17.61,17.74,13.25,11.90,15.14,15.68,12.10,16.61,10.44,11.79,10.69,15.34
1997,14.36,16.80,13.05,18.66,12.55,14.42,12.32,14.08,18.27,18.53,14.08,12.98,16.04,16.47,13.04,17.54,11.50,12.91,11.73,16.20
1998,13.88,16.42,12.40,18.76,11.82,14.01,11.82,13.36,17.88,18.04,13.71,12.25,15.55,16.11,12.58,16.87,10.83,12.18,11.13,15.76
1999,13.76,16.19,12.43,18.22,11.92,13.85,11.69,13.50,17.61,18.05,13.47,12.31,15.59,15.81,12.42,17.22,10.83,12.24,11.17,15.77
2000,13.84,16.37,12.54,18.11,11.87,13.88,11.71,13.69,17.83,18.31,13.50,12.38,15.69,15.86,12.42,17.30,10.87,12.26,11.10,15.93
2001,13.91,16.61,12.46,18.91,11.72,14.04,11.70,13.50,18.17,18.61,13.63,12.27,15.84,16.00,12.37,17.33,10.81,12.13,10.98,16.16
2002,13.89,16.36,12.65,18.55,11.95,14.00,11.76,13.69,17.85,18.21,13.56,12.56,15.73,15.86,12.40,17.21,11.05,12.43,11.13,15.90
2003,14.27,16.79,12.94,18.53,12.32,14.37,12.18,13.96,18.18,18.50,14.00,12.81,16.08,16.34,12.87,17.56,11.30,12.69,11.55,16.28
2004,13.82,16.44,12.37,18.34,11.76,13.95,11.71,13.41,17.94,18.16,13.61,12.24,15.63,15.94,12.42,17.06,10.74,12.10,11.02,15.85
2005,13.63,16.22,12.09,18.28,11.77,13.71,11.61,13.00,17.69,17.93,13.42,12.03,15.25,15.91,12.48,16.53,10.54,12.00,11.10,15.41
2006,14.38,16.82,13.02,18.44,12.49,14.44,12.39,14.04,18.23,18.67,14.13,12.93,16.18,16.45,13.08,17.72,11.46,12.84,11.72,16.35
2007,13.70,16.29,12.27,18.20,11.66,13.79,11.57,13.42,17.79,18.12,13.43,12.11,15.48,15.81,12.31,17.10,10.62,11.99,10.92,15.73
2008,13.65,16.30,12.18,18.31,11.56,13.73,11.52,13.29,17.81,18.09,13.36,12.02,15.47,15.83,12.29,17.05,10.54,11.90,10.84,15.71
2009,14.30,16.87,12.86,18.65,12.28,14.39,12.24,13.83,18.33,18.62,14.06,12.75,16.06,16.48,12.91,17.40,11.33,12.68,11.52,16.25
2010,13.59,16.48,11.86,19.10,11.40,13.71,11.44,12.75,18.35,18.54,13.33,11.75,15.34,15.93,12.19,16.76,10.35,11.70,10.72,15.74
2011,14.40,16.89,13.13,18.41,12.55,14.42,12.32,14.14,18.33,18.57,14.05,13.07,16.15,16.47,13.08,17.49,11.49,12.93,11.80,16.25
2012,13.91,16.44,12.51,18.59,11.90,13.97,11.83,13.59,17.88,18.21,13.62,12.39,15.68,16.04,12.52,17.23,10.92,12.28,11.14,15.85
2013,13.73,16.34,12.21,18.69,11.68,13.86,11.65,13.24,17.76,18.00,13.55,12.06,15.40,15.97,12.35,16.82,10.64,11.98,10.94,15.66
2014,14.54,16.98,13.29,18.51,12.60,14.64,12.43,14.40,18.28,18.64,14.25,13.17,16.42,16.51,13.08,17.90,11.61,12.99,11.80,16.57
2015,14.48,17.13,13.13,18.52,12.42,14.58,12.30,14.16,18.51,18.88,14.18,12.99,16.33,16.57,12.96,17.66,11.44,12.83,11.63,16.58
2016,14.34,17.11,12.96,18.76,12.17,14.44,12.10,14.04,18.72,19.01,14.01,12.81,16.24,16.42,12.74,17.72,11.25,12.60,11.37,16.57
2017,14.59,17.29,13.12,19.12,12.54,14.69,12.45,14.03,18.92,19.07,14.33,13.01,16.41,16.79,13.20,17.68,11.50,12.91,11.82,16.68
2018,14.19,16.55,13.12,17.87,12.35,14.19,12.09,14.30,17.77,18.11,13.80,13.04,15.89,16.13,12.74,17.44,11.41,12.84,11.50,16.01
2019,14.38,16.88,13.16,18.58,12.47,14.42,12.28,14.23,18.35,18.60,14.05,13.08,16.12,16.42,12.95,17.51,11.47,12.90,11.66,16.29
2020,14.64,17.08,13.37,19.02,12.82,14.68,12.57,14.39,18.57,18.92,14.33,13.32,16.42,16.72,13.34,17.73,11.72,13.19,12.07,16.54
