Variable:,tas
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1990,27.99,27.56,27.89,28.41,28.61,27.68
1991,28.13,27.70,28.02,28.55,28.76,27.81
1992,27.75,27.35,27.66,28.19,28.38,27.41
1993,27.75,27.29,27.65,28.14,28.40,27.45
1994,27.93,27.50,27.83,28.34,28.55,27.61
1995,28.07,27.68,27.96,28.52,28.70,27.74
1996,28.15,27.72,28.05,28.56,28.78,27.83
1997,28.14,27.70,28.04,28.54,28.74,27.82
1998,28.50,28.07,28.40,28.91,29.13,28.19
1999,27.89,27.40,27.76,28.27,28.55,27.59
2000,28.17,27.72,28.08,28.57,28.79,27.86
2001,28.23,27.78,28.14,28.63,28.85,27.92
2002,28.78,28.33,28.69,29.19,29.38,28.46
2003,28.51,28.06,28.40,28.92,29.15,28.20
2004,28.40,27.94,28.31,28.79,29.01,28.08
2005,28.49,28.04,28.40,28.89,29.09,28.18
2006,28.41,27.99,28.33,28.82,29.01,28.08
2007,28.22,27.79,28.13,28.63,28.83,27.90
2008,28.19,27.74,28.09,28.59,28.81,27.88
2009,28.97,28.51,28.88,29.36,29.59,28.66
2010,28.58,28.07,28.50,28.92,29.19,28.29
2011,28.49,28.03,28.41,28.87,29.08,28.18
2012,28.47,27.99,28.38,28.84,29.09,28.17
2013,28.84,28.39,28.74,29.24,29.46,28.52
2014,28.54,28.13,28.44,28.97,29.15,28.22
2015,29.10,28.66,29.02,29.50,29.69,28.78
2016,28.97,28.53,28.88,29.37,29.58,28.66
2017,28.76,28.31,28.65,29.16,29.39,28.45
2018,28.35,27.88,28.26,28.71,28.99,28.06
2019,28.46,28.01,28.35,28.87,29.10,28.16
2020,28.17,27.73,28.09,28.56,28.78,27.85
